Nome: BRAZLANDIA
Codigo Estacao: A042
Latitude: -15.59972221
Longitude: -48.1311111
Altitude: 1143
Situacao: Operante
Data Inicial: 2017-07-18
Data Final: 2023-09-30
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2017-07-18;null;null;null;null;null;null;null;null;null;null;
2017-07-19;null;null;null;null;null;null;null;27;6.8;null;
2017-07-20;null;891.870833;5.6875;26.7;20.591667;15.9;38.625;25;10;2.05;
2017-07-21;0;892.3875;5.645833;27.1;21.05;15.8;38;22;8.5;2.35;
2017-07-22;0;892.095833;5.779167;27.1;21.191667;14.6;37.875;24;10.6;2.379167;
2017-07-23;0;892.583333;4.129167;25.5;20.154167;16;35.708333;23;14.8;4.058333;
2017-07-24;0;894.358333;5.966667;23.7;17.854167;12.3;47.166667;30;14.1;3.6625;
2017-07-25;0;894.195833;7.591667;25.1;18.6;13.3;49.541667;33;12.6;3.5125;
2017-07-26;0;893.0875;5.520833;23.6;17.2125;12.3;48.833333;23;13.8;3.525;
2017-07-27;0;892.416667;6.716667;23.2;16.854167;12.4;52.833333;33;12.2;3.491667;
2017-07-28;0;892.620833;7.804167;24.4;17.85;13.1;52.708333;36;15.5;4.195833;
2017-07-29;0;893.908333;8.370833;24.9;18.425;13.3;54.416667;30;14.2;4.308333;
2017-07-30;0;894.445833;8.6625;21.8;16.933333;13.3;59.75;39;13.4;3.725;
2017-07-31;0;892.65;6.141667;23.3;16.4;10.2;52.791667;30;11;3;
2017-08-01;0;890.9125;5.266667;24.7;18.241667;12.9;44.5;26;13.9;3.170833;
2017-08-02;0;891.558333;4.754167;25.9;19.625;13.7;38.791667;25;8;2.370833;
2017-08-03;0;891.383333;4.379167;27.8;21.208333;15.5;34.625;21;7.3;1.375;
2017-08-04;0;890.666667;6.745833;27.9;21.258333;13.5;40.666667;22;8;1.970833;
2017-08-05;0;890.479167;6.9625;28.1;21.583333;15.4;40.583333;23;11.6;2.204167;
2017-08-06;0;889.983333;6.466667;28;21.708333;15.5;38.416667;23;10.7;2.516667;
2017-08-07;0;889.9;9.9875;28.7;22.183333;16.8;47.791667;26;10.8;3.0625;
2017-08-08;0;890.075;9.5375;28.7;22.675;18;44.583333;25;9.5;2.725;
2017-08-09;0;890.204167;7.641667;29.8;24.025;18.1;36.666667;20;7;1.725;
2017-08-10;0;889.295833;null;30.5;24.570833;18.5;36.75;26;7.9;2.445833;
2017-08-11;0;888.875;null;30.3;24.704167;19.3;null;null;10.2;3.441667;
2017-08-12;0;889.479167;null;29.7;23.666667;18;30.3125;21;10.6;3.183333;
2017-08-13;0;889.845833;5.541667;29.8;23.116667;17.1;33.5;19;9.5;2.854167;
2017-08-14;0;889.020833;4.675;31.1;24.245833;16.7;29.333333;17;8.5;2.15;
2017-08-15;0;888.179167;4.529167;30.4;24.608333;19.3;28.291667;17;11.2;3.583333;
2017-08-16;0;888.3375;6.395833;30.3;23.716667;17.8;34.083333;21;11.5;3.791667;
2017-08-17;0;888.116667;6.108333;30.3;23.275;15.9;34.625;21;8.9;2.720833;
2017-08-18;0;887.9875;3.9375;30.4;24.116667;17.5;27.625;19;12.1;2.591667;
2017-08-19;0;887.275;4.908333;31.3;24.541667;18.8;28.833333;19;10.4;2.829167;
2017-08-20;0;888.466667;4.575;31.4;24.3625;17.3;28.958333;17;10.4;2.4875;
2017-08-21;0;null;null;30.9;null;18.3;48.882353;23;12.6;null;
2017-08-22;null;891.091667;11.295833;28.4;22.095833;18.3;51.791667;32;15.7;4.3375;
2017-08-23;0;891.133333;10.591667;26.9;20.554167;14.6;54.875;33;14;3.545833;
2017-08-24;0;890.670833;10.7375;26.7;20.558333;15;55.041667;34;12.5;3.579167;
2017-08-25;0;890.529167;10.204167;27.8;20.283333;14.6;54.166667;31;11.5;3.066667;
2017-08-26;0;890.170833;8.195833;29.1;22.3375;16.8;42.166667;24;8.7;3.158333;
2017-08-27;0;889.016667;5.254167;29.9;23.458333;17.5;32.458333;15;8.5;2.979167;
2017-08-28;0;888.766667;3.3;31.1;24.25;17.3;26.75;15;10.2;2.8375;
2017-08-29;0;889.075;1.965;30.4;24.475;19.6;24.1;13;11.2;3.279167;
2017-08-30;0;889.786957;null;30.8;24.995652;19.6;20.928571;12;9.3;3.152174;
2017-08-31;0;889.727273;null;32.5;25.55;19.7;20.533333;15;11.4;3.35;
2017-09-01;0;891.468182;3.286364;30.2;24.427273;19.7;25.590909;17;13.4;4.063636;
2017-09-02;0;893.247826;7.830435;27.9;21.686957;16.2;42.130435;27;13.9;4.234783;
2017-09-03;0;892.65;8.413636;27.2;20.654545;15.3;47.772727;25;13.3;3.986364;
2017-09-04;null;892.157895;5.210526;25.8;null;13.6;42.578947;20;14.1;3.768421;
2017-09-05;null;891.8;2.9;26.9;20.283333;15.1;32.875;19;12.1;3.2;
2017-09-06;0;890.622727;4.868182;29;22.518182;16.7;32.727273;22;11.8;2.954545;
2017-09-07;0;889.74;5.905;30.2;null;18.5;31.8;23;9.5;3.3;
2017-09-08;null;888.145455;5.495455;30.8;24.536364;19.4;30.363636;18;10.2;3.640909;
2017-09-09;0;888.295455;3.972727;29.8;23.281818;17.9;29.272727;19;12;4.227273;
2017-09-10;0;888.795652;4.93913;30.5;23.552174;18.2;31.565217;14;11.1;3.552174;
2017-09-11;0;889.995455;7.959091;31.3;24.340909;18.8;36.636364;20;9;3.345455;
2017-09-12;0;890.340909;6.45;29.6;23.222727;17.5;35.727273;19;13.1;4.4;
2017-09-13;null;891.266667;5.738095;28.6;null;15.3;35.571429;26;12.9;4.042857;
2017-09-14;null;891.318182;8.159091;29.1;22.981818;17.5;40.136364;23;11.7;3.613636;
2017-09-15;0;891.708696;7.53913;29.7;23.126087;18.3;37.826087;22;11.9;3.526087;
2017-09-16;0;890.913043;5.034783;28.4;22.695652;17.9;33.478261;18;11.9;3.821739;
2017-09-17;0;890.495455;6.463636;28.5;21.409091;15.8;38.954545;25;11.6;3.340909;
2017-09-18;0;890.973913;6.508696;29.6;22.834783;17.1;36;23;10.8;2.956522;
2017-09-19;0;890.686957;7.226087;29.5;23.521739;18;36.478261;22;13;3.686957;
2017-09-20;0;890.313636;6.709091;30.7;23.95;18.8;34.363636;19;11.3;3.663636;
2017-09-21;0;890.704167;8.245833;27.2;22.104167;17.5;41.625;27;13.7;4.495833;
2017-09-22;0;890.533333;9.716667;25.3;20.679167;18.4;49.708333;36;10.2;3.241667;
2017-09-23;0;889.7875;8.108333;29.7;22.683333;16.1;40.625;25;9.6;2.7375;
2017-09-24;0;888.558333;8.029167;29.9;23.7125;18.8;37.416667;26;11.2;3.75;
2017-09-25;0;888.670833;7.483333;30.4;23.583333;18;36.875;22;12.6;3.941667;
2017-09-26;0;887.729167;7.458333;29.4;23.295833;17.2;37.041667;22;11;3.6875;
2017-09-27;0;888.856522;9.582609;25.3;20.295652;20;53.434783;34;12.5;3.769565;
2017-09-28;4;889.5875;12.725;23.8;20.433333;15.7;62.25;48;9.2;2.441667;
2017-09-29;0;887.575;10.457143;32;25.1125;19.1;41.571429;25;13.2;2.666667;
2017-09-30;0;886.359091;14.236364;27.1;20.418182;17.3;69.5;39;15.2;4;
2017-10-01;0;884.341667;12.6875;30.7;22.945833;16;55.083333;32;11.3;3.025;
2017-10-02;0;884.6375;16.166667;24.6;21.425;19.3;72.875;55;8.6;2.333333;
2017-10-03;20.2;889.321739;15.017391;20.5;16.704348;13.8;90.086957;74;9.4;2.93913;
