Nome: GAMA (PONTE ALTA)
Codigo Estacao: A046
Latitude: -15.93527777
Longitude: -48.13749999
Altitude: 990
Situacao: Operante
Data Inicial: 2014-09-30
Data Final: 2023-09-30
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2014-09-30;null;null;null;null;null;null;null;null;null;null;
2014-10-01;null;null;null;null;null;null;null;null;null;null;
2014-10-02;null;null;null;null;null;null;null;null;null;null;
2014-10-03;null;null;null;null;null;null;null;null;null;null;
2014-10-04;null;null;null;null;null;null;null;null;null;null;
2014-10-05;null;null;null;null;null;null;null;null;null;null;
2014-10-06;null;null;null;null;null;null;null;null;null;null;
2014-10-07;null;null;null;null;null;null;null;null;null;null;
2014-10-08;null;null;null;null;null;null;null;null;null;null;
2014-10-09;null;null;null;null;null;null;null;null;null;null;
2014-10-10;null;null;null;null;null;null;null;null;null;null;
2014-10-11;null;null;null;null;null;null;null;null;null;null;
2014-10-12;null;null;null;null;null;null;null;null;null;null;
2014-10-13;null;null;null;null;null;null;null;15;10.9;null;
2014-10-14;0;905.373913;6.478261;34.2;27.621739;19.1;27.869565;15;9.6;2.513043;
2014-10-15;0;905.108333;3.591667;35.6;28.504167;21.4;21.541667;12;8.5;3.258333;
2014-10-16;0;904.920833;3.8875;34.8;28.404167;23.8;22.041667;12;12.3;4.195833;
2014-10-17;0;904.525;6.008333;34.4;27.979167;22;25.458333;18;9.8;3.141667;
2014-10-18;0;903.120833;7.0375;35.6;28.783333;21.7;27;13;10.4;3.545833;
2014-10-19;0;902.9875;9.566667;34.9;26.679167;19.9;35.291667;20;10.2;2.420833;
2014-10-20;0;903.452174;13.169565;33;25.604348;17.5;48.26087;28;14.1;3.156522;
2014-10-21;1;903.3625;16.066667;32.2;24.070833;19.1;63.75;32;12;2.558333;
2014-10-22;2.8;904.734783;15.865217;29.5;23.582609;19.1;63.304348;41;11.5;3.386957;
2014-10-23;0;905.766667;15.7625;28.3;22.645833;19.3;66.166667;41;13.3;3.108333;
2014-10-24;0;903.804167;14.495833;31.2;23.058333;16.2;61.625;31;9.7;2.708333;
2014-10-25;0;903.045833;15.645833;28.9;21.804167;18;69.25;38;10.5;1.958333;
2014-10-26;.8;903.526087;17.191304;27;20.556522;18;82.130435;42;6.5;1.726087;
2014-10-27;15.4;904.491667;16.8;29.8;22.1625;17.7;74.541667;34;11.1;1.533333;
2014-10-28;6.8;903.658333;17.279167;31.2;23.166667;17.5;72.791667;35;14;2.6875;
2014-10-29;28.2;902.308696;17.595652;28;22.321739;18.8;76;48;9.5;2.569565;
2014-10-30;0;902.545833;17.2125;27.2;21.916667;19.2;75.333333;54;9.7;2.179167;
2014-10-31;3;904.583333;17.325;25.9;21.416667;18.4;78.166667;59;11.3;2.020833;
2014-11-01;0;905.3125;17.016667;28.5;22.091667;18.7;75.166667;37;10.1;2.045833;
2014-11-02;7.6;904.241667;16.5625;31.2;23.854167;18.9;68.25;34;8.3;1.695833;
2014-11-03;0;902.33913;16.643478;30.9;23.043478;17.3;70.565217;34;8.5;1.873913;
2014-11-04;.4;902.520833;17.725;29;22.408333;18.6;76.875;46;13.6;1.675;
2014-11-05;5.8;904.2875;16.979167;30.3;22.020833;18.7;76.333333;36;20.1;2.0125;
2014-11-06;16.4;905.616667;16.358333;30.3;22.9125;16.8;68.791667;36;14.3;2.566667;
2014-11-07;1;903.633333;16.475;31.4;24.345833;19.8;63.75;34;10.4;2.520833;
2014-11-08;22.2;902.975;17.3375;29.5;23.125;18.7;71.833333;41;11.8;2.470833;
2014-11-09;0;902.116667;17.675;30.3;23.079167;18.7;73.5;41;7.8;1.375;
