Nome: PIRANHAS
Codigo Estacao: A371
Latitude: -9.62222221
Longitude: -37.76722221
Altitude: 187
Situacao: Operante
Data Inicial: 2017-09-19
Data Final: 2023-09-30
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2017-09-19;null;null;null;null;null;null;null;null;null;null;
2017-09-20;null;997.227273;17.6;30.4;23.704545;null;71.863636;37;12.6;2.709091;
2017-09-21;.8;997.5;18.9875;28.3;22.754167;19.9;80.541667;52;14.6;2.829167;
2017-09-22;11;996.729167;19.329167;28.5;22.6625;20;83.5;52;11.9;3.483333;
2017-09-23;.2;996.765217;18.445455;28.6;22.643478;19;79.727273;24;10.7;2.382609;
2017-09-24;0;995.7625;18.416667;28.3;21.420833;17.9;83.833333;21;13.9;2.3125;
2017-09-25;2;995.734783;18.665217;29.8;23.769565;20;75.521739;44;12.4;3.521739;
2017-09-26;1;995.1625;18.395833;30.3;23.729167;19.7;74.708333;43;10.1;2.845833;
2017-09-27;0;994.891667;7.5;30.1;24.508333;20.9;41.833333;21;10.8;3.066667;
2017-09-28;1.8;995.426087;19.1;30.9;24.665217;21.4;74.913043;43;10.9;3.4;
2017-09-29;0;994.595652;16.595652;31.2;25.2;21.5;64.347826;23;11.6;3.6;
2017-09-30;0;993.13913;6.356522;30.9;24.730435;20.3;38.434783;20;12.1;2.791304;
2017-10-01;0;991.658333;12.733333;31.7;24.595833;18.8;55.583333;19;9.8;2.908333;
2017-10-02;0;991.758333;16.533333;32.2;25.370833;20.5;63.291667;21;11.9;3.504167;
2017-10-03;0;993.508333;17.908333;32.2;25.345833;20.3;67.5;31;9.8;3.245833;
2017-10-04;0;994.075;15.829167;32.6;25.720833;22;59.291667;23;12.9;4.208333;
2017-10-05;0;995.326087;8.756522;32.2;25.291304;21.3;41.086957;21;13.5;3.491304;
2017-10-06;0;995.825;19.195833;30.2;24.045833;20.9;75.416667;49;14;2.95;
2017-10-07;0;994.754167;16.083333;32.5;24.795833;20.2;63.875;27;13;2.675;
2017-10-08;0;994.426087;19.117391;30.6;24.6;21.2;72;27;11.9;3.495652;
2017-10-09;0;993.918182;19.195455;31.9;24.7;19.5;72;72;12.9;3.068182;
2017-10-10;0;993.541667;16.895833;33.1;24.9875;19.6;63.75;34;12.9;3.066667;
2017-10-11;0;993.195833;18.654167;31.6;24.895833;20.9;70.083333;44;12;3.1875;
2017-10-12;0;993.234783;18.178261;32.5;25.26087;19.2;67.695652;39;11.3;2.930435;
2017-10-13;0;992.9375;18.095833;32.5;25.354167;19.7;66.791667;38;11.4;2.854167;
2017-10-14;0;992.604167;18.729167;34.2;26.216667;20.6;67.291667;34;12.4;3.2125;
2017-10-15;0;992.983333;18.670833;34.7;26.745833;20.8;65.333333;32;11.7;2.841667;
2017-10-16;0;995.054167;18.145833;34.2;26.370833;22;64.041667;30;13.6;3.833333;
2017-10-17;.6;996.0875;17.9;32.8;25.591667;21.1;65.083333;36;12.9;3.45;
2017-10-18;.4;995.636364;19.481818;31.5;24.868182;20.7;73.545455;48;13.2;2.618182;
2017-10-19;.8;995.179167;4.579167;33.4;26.029167;21.3;27.75;23;12.6;3.916667;
2017-10-20;0;994.729167;2.608333;33.2;25.554167;20.1;23;23;12.7;3.245833;
2017-10-21;0;995.008333;3.541667;33.3;26.658333;22.1;23;23;14.6;4.6375;
2017-10-22;0;994.340909;3.345455;32.7;26.422727;21.7;23;23;14.4;3.972727;
2017-10-23;0;993.125;10.4;33.6;25.845833;18.7;43.083333;20;12.8;2.9125;
2017-10-24;2;993.669565;10.669565;31.2;25.36087;22;40;40;11.9;4.008696;
2017-10-25;0;993.678261;10.845;32.5;25.643478;19.8;40;40;13.2;3.304348;
2017-10-26;.4;993.4875;null;32.8;25.479167;21.3;null;null;12.8;3.054167;
2017-10-27;.2;992.443478;null;34.4;26.969565;22.4;null;null;13.3;3.126087;
2017-10-28;0;991.63913;null;35.2;27.108696;21;null;null;11.9;3.113043;
2017-10-29;0;990.721739;null;36.1;27.673913;22.2;null;null;12;4.06087;
2017-10-30;0;989.256522;null;35.6;27.404348;20.9;null;null;13.2;3.747826;
2017-10-31;0;989.433333;null;36.4;28.45;22;null;null;12.9;3.3125;
2017-11-01;0;990.029167;null;38.2;29.175;22.5;null;null;12.9;2.654167;
2017-11-02;0;992.127273;null;35.3;28.468182;22.6;null;null;13;4.118182;
2017-11-03;0;992.291667;null;35.6;28.016667;23.5;null;null;13.2;4.304167;
2017-11-04;0;992.195833;null;35;27.454167;22.9;null;null;13.6;4.2875;
2017-11-05;0;991.96087;null;35.6;28.034783;21.9;null;null;12.1;3.921739;
2017-11-06;0;990.647826;null;36.7;27.708696;20.9;null;null;13.6;3.630435;
2017-11-07;0;989.6125;null;36.4;27.425;22.6;null;null;13.5;3.070833;
2017-11-08;0;990.129167;null;32.9;27.5;23.5;null;null;11.9;3.904167;
2017-11-09;0;990.830435;null;34.3;27.478261;22.6;null;null;14.2;4.013043;
2017-11-10;0;989.904167;null;33.5;26.908333;21.4;null;null;12.9;3.725;
2017-11-11;0;988.320833;null;37.4;28.1875;21.1;null;null;14.1;3.179167;
2017-11-12;0;987.433333;null;39.7;30.283333;21.6;null;null;11.2;2.708333;
2017-11-13;0;987.2625;null;40;30.391667;23.6;null;null;14;2.943478;
2017-11-14;0;989.495455;null;35.6;28.822727;24;null;null;15.1;3.540909;
2017-11-15;0;991.516667;null;34.4;27.141667;23.2;null;null;15;4.908333;
2017-11-16;0;992.513636;null;34.4;27.536364;22.5;null;null;13.6;4.45;
2017-11-17;0;991.665217;null;32.8;26.330435;19.9;null;null;12.4;3.013043;
2017-11-18;0;989.8875;null;35.3;27.45;21;null;null;14.2;3.4125;
2017-11-19;0;989.747826;null;36.3;28.304348;22.2;null;null;13.3;3.56087;
2017-11-20;0;990.154167;null;36.2;28.004167;21.8;null;null;14;4.025;
2017-11-21;0;990.682609;null;35.2;27.808696;21.3;null;null;13.1;3.643478;
2017-11-22;0;990.054167;null;36.7;28.195833;22.2;null;null;12.4;3.6375;
2017-11-23;0;990.154167;null;37.4;29.004167;22.5;null;null;14.2;3.283333;
2017-11-24;0;991.847826;null;35.9;27.886957;22.8;null;null;15;3.334783;
2017-11-25;0;992.5625;null;34.6;27.6625;23.4;null;null;14;4.616667;
2017-11-26;0;992.770833;null;35.8;27.308333;21.4;null;null;12.9;3.654167;
2017-11-27;0;993.313636;null;34.3;26.386364;20.9;null;null;12.9;3.886364;
2017-11-28;0;992.1;null;35.4;27.6125;21.2;null;null;14.2;3.520833;
2017-11-29;0;990.375;null;36.7;28.325;21.9;null;null;14.4;2.729167;
2017-11-30;0;988.93913;null;37;28.821739;22.7;null;null;15.9;3.104348;
2017-12-01;0;989.042857;null;37.6;null;23.3;null;null;13.3;3.438095;
2017-12-02;0;989.843478;null;36.6;29.430435;22.7;null;null;15.4;3.078261;
2017-12-03;0;989.969565;null;36.5;29.008696;22.8;null;null;13.9;4.178261;
2017-12-04;0;989.908333;null;37.6;29.8;22.7;null;null;12.8;2.65;
2017-12-05;0;989.795833;null;39.2;30.370833;23;null;null;14.1;3.154167;
2017-12-06;0;988.641667;null;38.9;29.745833;22.8;null;null;13.6;3.2625;
2017-12-07;0;988.725;null;37.1;29.054167;22.8;null;null;12.9;3.5375;
2017-12-08;0;987.821739;null;38.7;30.373913;23;null;null;11.8;2.373913;
2017-12-09;0;987.008696;null;38.7;31.56087;26.9;null;null;10.1;3.186957;
2017-12-10;.4;987.504167;null;36;29.120833;25.2;null;null;11.7;1.995833;
2017-12-11;0;988.875;null;37;27.829167;24.4;null;null;14.4;1.583333;
2017-12-12;1.8;989.5;null;38.2;29.675;24.6;null;null;13.7;2.425;
2017-12-13;0;990.8125;null;36;28.775;23.3;null;34;13.3;4.325;
2017-12-14;0;992.304348;17.3;36.2;28.108696;22;57.73913;21;13.4;3.713043;
2017-12-15;0;992.291304;17.517391;35.3;27.665217;22.4;58.391304;26;12.4;3.404348;
2017-12-16;0;991.770833;19.1125;36.1;28.208333;23.5;61;30;14.4;4.1125;
2017-12-17;0;991.8;19.133333;37.2;28.566667;23.4;60.625;25;18;4.275;
2017-12-18;0;992.2125;18.8625;36.4;28.325;23.6;60.375;23;13.8;4.283333;
2017-12-19;0;992.9625;19.0625;33;27.308333;23.2;63.083333;38;12.5;3.945833;
2017-12-20;0;991.658333;18.895833;33.7;27.133333;23.4;62.958333;36;11.3;3.345833;
2017-12-21;0;991.416667;19.029167;35;27.495833;22.8;63.25;31;11.7;3.15;
2017-12-22;0;991.820833;19.433333;34.2;27.925;23.8;62.75;34;12.7;4.045833;
2017-12-23;0;992.3125;21.066667;32.7;25.725;23.4;76.583333;46;14.5;3.545833;
2017-12-24;3.2;991.0875;21.691667;30;25.395833;22.1;81.208333;56;10.3;2.65;
2017-12-25;1.4;989.9;19.108333;36.1;27.666667;21.8;64.375;29;14.7;2.7875;
2017-12-26;0;990.4625;19.1125;35.8;27.879167;22.1;62.708333;32;13.1;3.308333;
2017-12-27;0;990.5875;19.275;35.9;28.416667;22.9;62.083333;30;13.8;3.779167;
2017-12-28;0;990.1;19.275;36.8;28.7625;23.3;60.583333;28;14.4;3.433333;
2017-12-29;0;990.283333;19.5625;35.9;28.708333;23.2;60.916667;33;14.9;3.45;
2017-12-30;null;990.494737;18.605263;37.1;null;23.4;53.315789;31;15.6;4.047368;
2017-12-31;0;991.520833;18.904167;37.9;29.229167;23.1;57.708333;28;15.6;4.125;
2018-01-01;0;990.820833;19;37.5;29.395833;23.6;57.916667;24;13.5;3.620833;
2018-01-02;0;988.741667;18.583333;38;29.7125;23.3;56.541667;24;13;3.029167;
2018-01-03;0;988.552174;18.804348;37.7;30.46087;24;53.956522;26;12.2;2.373913;
2018-01-04;0;990.458333;18.720833;38;30.4375;24.7;53.666667;26;11.3;2.691667;
2018-01-05;0;992.75;18.929167;36.8;29.033333;24.1;57.458333;28;15;4.016667;
2018-01-06;0;992.35;19.270833;35.6;27.829167;24.1;62.458333;31;14.8;3.466667;
2018-01-07;.2;991.520833;19.0375;36.4;28.079167;22.8;62.083333;28;13.9;3.820833;
2018-01-08;0;992.2375;17.991667;35.8;28.225;22.8;58.458333;26;13.6;3.7625;
2018-01-09;0;992.625;18.5;37;28.008333;22.9;59.916667;26;14.1;4.029167;
2018-01-10;0;992.608333;20.2;34.2;28.033333;23.8;64.625;39;18.1;4.108333;
2018-01-11;4;992.9375;20.133333;33.1;27.508333;23.3;66.541667;39;11.4;3.216667;
2018-01-12;0;991.9;20.266667;33.8;27.370833;23.1;67.458333;39;11.7;2.675;
2018-01-13;.4;991.175;19.795833;36.2;28.7375;24.3;61.5;32;14.9;4.575;
2018-01-14;0;992.333333;20.991667;34.4;27.554167;23.9;69.166667;43;20;3.545833;
