Nome: MONTALVANIA
Codigo Estacao: A526
Latitude: -14.40833333
Longitude: -44.40416666
Altitude: 519.52
Situacao: Operante
Data Inicial: 2007-06-25
Data Final: 2023-09-30
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2007-06-25;null;null;null;null;null;null;null;null;null;null;
2007-06-26;null;null;null;null;null;null;null;null;11.6;null;
2007-06-27;null;959.329167;10.804167;30.1;19.908333;10.8;60.875;null;9.2;1.866667;
2007-06-28;0;958.420833;10.683333;30.2;20.116667;10.7;59.625;null;9;1.820833;
2007-06-29;0;959.516667;8.358333;30.4;18.666667;8.5;57.541667;null;8;1.320833;
2007-06-30;0;960.1;6.595833;31.2;18.754167;7.7;53.833333;null;10;1.566667;
2007-07-01;0;960.795833;5.683333;31.3;18.441667;8.2;50.583333;null;9.3;1.579167;
2007-07-02;0;960.779167;6.7625;29.8;18.341667;7.6;50.833333;null;11.4;2.1125;
2007-07-03;0;960.125;11.733333;29.7;21.891667;15;55.666667;null;9.8;2.1625;
2007-07-04;0;960.033333;12.941667;29.4;21.816667;13.7;59.75;null;7.5;1.9625;
2007-07-05;0;960.658333;13.229167;28.6;20.5625;12.7;65.083333;null;7.6;1.775;
2007-07-06;0;959.629167;10.05;29.5;21.691667;14.3;53.625;null;10.4;2.691667;
2007-07-07;0;958.016667;8.275;30.7;18.975;10.2;53.541667;null;8.3;1.658333;
2007-07-08;0;957.233333;10.170833;32.2;20.779167;10.4;55.041667;null;10.5;1.866667;
2007-07-09;0;957.691667;12.054167;32.4;22.341667;13.6;57.833333;null;9.4;1.891667;
2007-07-10;0;956.9625;11.008333;31.1;20.441667;11;59.291667;null;7.9;1.483333;
2007-07-11;0;956.7;6.7875;31.9;19.441667;7.7;52.75;null;7.7;1.483333;
2007-07-12;0;957.766667;7.204167;30.7;19.729167;10.2;48.25;null;11;1.933333;
2007-07-13;0;958.575;8.970833;30.3;19.041667;9.3;56.333333;null;9.1;1.8875;
2007-07-14;0;957.5375;9.6;31.1;19.508333;9.5;58.666667;null;6.2;1.325;
2007-07-15;0;955.929167;7.3125;31.8;19.558333;8.4;52.625;null;8;1.154167;
2007-07-16;0;955.008333;6.845833;33.4;19.9625;7.8;49.375;null;6.1;1.208333;
2007-07-17;0;955.291667;9.020833;33;20.775;9.3;52.208333;null;8.2;1.408333;
2007-07-18;0;954.679167;10.458333;33.7;21.866667;10.9;53.5;null;8.5;1.4;
2007-07-19;0;953.520833;11.016667;35.5;23.433333;11.7;51.833333;null;7.4;1.454167;
2007-07-20;0;955.05;12.779167;33.9;24.529167;14;51.416667;null;12.2;2.6125;
2007-07-21;0;956.725;12.720833;32.6;24.683333;18.1;51.291667;null;10.3;2.541667;
2007-07-22;0;955.625;10.170833;32.3;21.245833;10.7;55.5;null;10.3;1.8;
2007-07-23;0;954.6375;7.379167;34.5;20.95;9.1;48.291667;null;7.5;1.4375;
2007-07-24;0;954.516667;6.808333;35.5;22.445833;9.9;44.416667;null;10.1;1.854167;
2007-07-25;0;955.475;6.591667;33.8;21.808333;9.1;43.041667;null;9.3;1.441667;
2007-07-26;0;956.6375;8.004167;34.7;21.825;10.3;46.333333;null;12.3;1.391667;
2007-07-27;0;957.145833;9.070833;33.1;21.9;10.5;48.708333;null;8.2;1.808333;
2007-07-28;0;957.941667;13.683333;32.5;24.654167;16.7;53.625;null;12.2;3.258333;
2007-07-29;0;958.208333;12.304167;31.2;23.683333;14.9;52.041667;null;9.9;3;
2007-07-30;0;959.508333;10.858333;29;21.7625;14.8;53.375;null;10.6;2.791667;
2007-07-31;0;959.379167;6.7375;28.3;19.420833;10.4;46.833333;null;10.8;2.7;
2007-08-01;0;958.820833;6.620833;29.1;18.0875;7.2;51.583333;null;9.2;2.320833;
2007-08-02;0;959.383333;8.304167;29.2;19.2;7.8;53.791667;null;8.6;1.8;
2007-08-03;0;959.125;8.291667;31.1;19.366667;8.9;54.583333;null;9.6;1.879167;
2007-08-04;0;959.220833;8.416667;31.4;20.070833;9;52.291667;null;8.7;1.675;
2007-08-05;0;958.1375;8.416667;32.2;21.2125;10.5;49.208333;null;10.3;1.875;
2007-08-06;0;957.965217;6.873913;30.5;19.217391;9.2;49.956522;null;17;2.108696;
2007-08-07;0;958.479167;7.4;30.8;19.954167;9.2;49.083333;null;11.3;2.525;
2007-08-08;0;957.775;8.658333;31.6;20.55;8.5;51.166667;null;11.2;2.766667;
2007-08-09;0;958.404167;11.4;32.3;23.0625;15.2;51.291667;null;12.7;3.158333;
2007-08-10;0;959.0875;10.495833;30.9;22.9625;12.4;47.75;null;12.4;3.604167;
2007-08-11;0;958.9625;10.104167;31.5;22.329167;12.8;49.666667;null;11.6;3.083333;
2007-08-12;0;959.2125;11.529167;31.2;23.441667;15.3;51.916667;null;12.6;3.495833;
2007-08-13;0;960.041667;7.179167;30.6;21.566667;10.5;45.875;null;11.5;2.65;
2007-08-14;0;959.613043;8.747826;30.2;22.734783;15.2;43.608696;null;11.6;3.769565;
2007-08-15;0;959.904167;8.733333;29.9;22.708333;16.8;43.125;null;14.3;3.808333;
