Nome: UNAI
Codigo Estacao: A542
Latitude: -16.55416666
Longitude: -46.88194443
Altitude: 640.85
Situacao: Operante
Data Inicial: 2007-06-15
Data Final: 2023-09-30
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2007-06-15;null;null;null;null;null;null;null;null;null;null;
2007-06-16;null;null;null;null;null;null;36.333333;19;9.9;null;
2007-06-17;2;945.025;11.770833;30.5;21.35;12.7;57.416667;32;8;1.691667;
2007-06-18;0;946.029167;12.345833;29.3;21.979167;15.2;56.708333;31;7.1;1.979167;
2007-06-19;0;946.066667;11.295833;28.8;21.454167;14.5;55.833333;26;9.2;1.925;
2007-06-20;0;946.75;11.629167;27.7;21.1;15.8;57.041667;32;9.1;2.35;
2007-06-21;0;947.2625;12.254167;28.1;20.1125;13.4;62.416667;36;9;2.0375;
2007-06-22;0;946.1;10.916667;28.3;20.5;12.7;57.333333;28;9.8;2.225;
2007-06-23;0;944.045833;10.941667;28.6;19.8375;10.2;59.541667;33;9.7;1.833333;
2007-06-24;0;945.125;11.8625;28.5;20.5375;12.1;61.25;33;7.3;1.529167;
2007-06-25;0;946.641667;11.108333;28.6;20.670833;13.2;57.625;30;9.7;2.3375;
2007-06-26;0;947.166667;12.4875;25.4;20.1;14.4;62.541667;47;8.6;1.808333;
2007-06-27;0;946.666667;11.804167;27.9;20.220833;13.1;62.75;32;9.4;1.958333;
2007-06-28;0;945.583333;10.9875;28.5;19.9625;10.8;59.041667;33;7;1.5875;
2007-06-29;0;946.3625;11.025;29.5;21.083333;13;56.708333;26;8.7;1.5875;
2007-06-30;0;947.029167;10.379167;29.6;20.829167;12.2;55.5;26;7.1;1.658333;
2007-07-01;0;947.9375;10.191667;29.9;21.2625;12.3;52.708333;26;6.3;1.904167;
2007-07-02;0;947.858333;9.7125;29.1;21.308333;13.8;50.75;25;7.9;2.179167;
2007-07-03;0;946.95;9.283333;28.7;20.375;11;51.666667;28;8.9;1.991667;
2007-07-04;0;946.566667;12.029167;28.8;21.020833;14.3;58.875;33;12.5;1.770833;
2007-07-05;0;947.35;12.725;28.7;21.091667;14;61.166667;34;7.6;1.8375;
2007-07-06;0;946.429167;12.75;27.7;20.383333;12.9;64.458333;35;8.9;1.770833;
2007-07-07;0;944.941667;10.5875;28.6;20.4125;12.7;57.708333;26;8.6;1.608333;
2007-07-08;0;944.329167;10.3625;29.2;20.7375;12.3;54.791667;30;7.8;1.4875;
2007-07-09;0;944.858333;11.929167;29.6;21.433333;13.4;57.333333;32;8.6;2.008333;
2007-07-10;0;943.6;11.720833;30.3;21.85;12.3;56.375;26;7.3;1.3625;
2007-07-11;0;943.541667;11.395833;30;21.75;13.9;55.791667;28;6.9;1.575;
2007-07-12;0;944.425;9.458333;29.7;21.291667;13.5;51.458333;21;9.5;2.075;
2007-07-13;0;945.4375;9.641667;28.5;20.791667;12.1;50.666667;29;8.4;1.995833;
2007-07-14;0;944.379167;9.5;29.3;20.758333;10.9;51.958333;26;6.5;1.45;
2007-07-15;0;942.9875;9.708333;30.3;21.254167;12.4;52.166667;23;8.5;1.3875;
2007-07-16;0;941.7375;8.9375;31.9;21.683333;12;49.458333;21;7;1.470833;
2007-07-17;0;941.8125;9.104167;31.5;22.179167;12.5;46.75;22;8.8;1.491667;
2007-07-18;0;941.195833;9.7;33.6;23.295833;13.7;46.916667;16;12.3;2.241667;
2007-07-19;0;941.758333;12.995833;29.7;22.558333;14.9;56.708333;36;9.1;2.370833;
2007-07-20;0;942.741667;12.679167;31;22.558333;14.3;57.791667;29;7.7;1.854167;
2007-07-21;0;943.2125;12.820833;31.5;23.220833;14.6;55.041667;27;8.9;1.704167;
2007-07-22;0;941.7375;11.508333;31.5;23.079167;14.2;50.875;27;8.1;1.704167;
2007-07-23;0;940.6125;10.3625;33.4;24.141667;15.1;45.5;22;8.7;1.6875;
2007-07-24;0;941.154167;12.183333;33.3;25.570833;18.5;46.791667;21;7.4;1.8125;
2007-07-25;0;941.7625;11.445833;33.5;23.979167;15.5;49.875;21;14.1;2.654167;
2007-07-26;8.4;945.054167;14.379167;27;21.595833;17.8;65.875;36;8.7;2.279167;
2007-07-27;0;944.216667;11.2875;31.3;23.875;17.1;48.083333;26;8.2;1.9875;
2007-07-28;0;945.909091;15.154545;27.3;22.709091;17.7;63.590909;45;9;3.563636;
2007-07-29;0;946.2125;14.4125;27.1;21.2625;16.9;67.5;41;10;3.454167;
2007-07-30;0;946.870833;12.45;26.4;19.804167;15.1;64.625;39;10.1;3.083333;
2007-07-31;0;946.325;8.041667;26.7;19.054167;12.3;52.666667;25;7.9;2.95;
2007-08-01;0;945.904167;6.475;27.1;18.608333;8.9;48.5;23;10.6;2.479167;
2007-08-02;0;946.4125;7.5375;28;19.408333;10.8;48.791667;26;7.9;2.220833;
2007-08-03;0;946.1625;8.816667;29.3;20.4;11.9;50.458333;26;9.2;2.129167;
2007-08-04;0;946.133333;9.508333;29.7;21.379167;12.1;50.25;25;12;2.070833;
2007-08-05;0;945.091667;9.554167;30.9;21.841667;12;49.5;22;8.2;1.991667;
2007-08-06;0;944.621739;9.421739;29.8;22.073913;14.2;46.73913;25;10.9;2.173913;
2007-08-07;0;945.058333;8.816667;29.9;21.945833;13.1;45.625;23;8.5;2.020833;
2007-08-08;0;944.6125;9.558333;29.8;21.7125;12;49.333333;24;10.8;2.416667;
2007-08-09;0;945.75;9.5625;29.7;22.345833;15.8;46.333333;24;11.4;3.0625;
2007-08-10;0;946.508333;10.8;28;22.083333;14.9;50.791667;31;10.4;2.533333;
2007-08-11;0;946.741667;10.470833;29.4;22.129167;14.9;50.083333;28;13.3;3.370833;
2007-08-12;0;946.195833;11.120833;29.5;22.095833;15.7;53;28;13.5;3.1;
2007-08-13;0;946.808333;8.7;29.2;22.229167;16.2;46.458333;17;13.5;2.7625;
2007-08-14;0;946.656522;7.252174;28.5;21.678261;15.5;42.217391;20;11.4;3.473913;
2007-08-15;0;946.891667;6.841667;28.8;20.783333;13.4;42.791667;23;11.7;3.1;
