Nome: JANUARIA
Codigo Estacao: A559
Latitude: -15.44805555
Longitude: -44.36638888
Altitude: 468
Situacao: Operante
Data Inicial: 2016-06-22
Data Final: 2023-09-30
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2016-06-22;null;null;null;null;null;null;null;null;null;null;
2016-06-23;null;null;null;null;null;null;null;null;null;null;
2016-06-24;null;null;null;null;null;null;null;null;null;null;
2016-06-25;null;null;null;null;null;null;null;null;null;null;
2016-06-26;null;null;null;null;null;null;null;null;null;null;
2016-06-27;null;null;null;null;null;null;null;28;8;null;
2016-06-28;null;966.095833;12.091667;30.2;22.120833;15.6;54.875;32;10.1;2.6625;
2016-06-29;0;965.658333;12.191667;30;22.720833;15.3;54.125;30;9.3;2.691667;
2016-06-30;0;964.6875;12.616667;31.2;21.4625;14.1;60.25;30;2.6;null;
2016-07-01;0;965.1625;11.733333;30;21.704167;13.7;55.916667;28;null;null;
2016-07-02;0;965.795833;13.270833;30;22.2375;12.9;59.291667;38;null;null;
2016-07-03;0;965.808333;12.8375;30.4;22.5125;13.8;57.125;32;null;null;
2016-07-04;0;965.525;14.854167;29.3;23.408333;17.2;59.541667;44;null;null;
2016-07-05;0;964.53913;14.121739;30.8;23.373913;16.4;59.391304;33;null;null;
2016-07-06;0;963.683333;12.341667;31.1;22.9625;14.2;53.708333;29;null;null;
2016-07-07;0;962.291667;10.620833;33.4;23.916667;13.2;47.666667;21;null;null;
2016-07-08;0;962.725;10.566667;34.1;24.879167;16.4;43.25;22;null;null;
2016-07-09;0;963.316667;12.275;31.7;24.320833;15.2;48.458333;30;null;null;
2016-07-10;0;962.729167;11.704167;32.1;23.779167;16;49.458333;26;null;null;
2016-07-11;0;961.4;10.575;31.9;22.254167;13.1;52;24;null;null;
2016-07-12;0;960.7875;9.770833;32.2;21.579167;12.2;51;23;null;null;
2016-07-13;0;961.008333;9.595833;33.2;22.483333;13.3;48.458333;22;null;null;
2016-07-14;0;960.429167;9.866667;33.3;22.366667;12.4;49.041667;22;null;null;
2016-07-15;0;959.708333;9.720833;33.7;22.7375;13;48.25;20;null;null;
2016-07-16;0;959.166667;10.045455;33.4;22.675;13.1;48.045455;23;null;null;
2016-07-17;0;958.820833;9.341667;34.6;23.216667;12.5;47;20;null;null;
2016-07-18;0;959.870833;11.158333;34.7;25.1375;17.5;45.208333;19;null;null;
2016-07-19;0;961.4125;12.783333;33.6;24.695833;17.4;49.916667;26;null;null;
2016-07-20;0;961.054167;13.320833;33.6;24.879167;16.7;51.791667;26;null;null;
2016-07-21;0;960.620833;13.245833;33.2;24.25;15.2;53.041667;30;null;null;
2016-07-22;0;960.85;13.320833;32.6;23.754167;15.6;55;32;null;null;
2016-07-23;0;962.754167;12.566667;31.7;23.758333;17.8;51.958333;29;null;null;
2016-07-24;0;964.404167;12.508333;30.3;23.333333;16.5;52.375;34;null;null;
2016-07-25;0;963.325;13.995833;30.8;23.766667;19.1;56.208333;31;null;null;
2016-07-26;0;962.741667;12.916667;31.5;23.3375;15.5;55.166667;29;null;null;
2016-07-27;0;962.6625;9.975;32.1;21.745833;12;51.541667;23;null;null;
2016-07-28;0;961.934783;8.208696;32.5;22.526087;12.2;43.26087;17;null;null;
2016-07-29;0;963.375;8.808333;30.9;22.220833;14.5;45.375;22;null;null;
2016-07-30;0;964.429167;10.7625;29.4;21.720833;13.4;52.958333;28;null;null;
2016-07-31;0;964.129167;12.379167;29.9;22.358333;15.3;55.708333;33;null;null;
2016-08-01;0;964.154167;9.383333;29;20.933333;14.7;51.375;25;null;null;
2016-08-02;0;963.630435;9.86087;31.9;21.469565;12.3;50.043478;27;null;null;
2016-08-03;0;962.868182;14.136364;32.2;23.9;15.3;57.181818;30;null;null;
2016-08-04;0;964.095833;12.975;31;23.708333;17.6;54.708333;29;null;null;
2016-08-05;0;964.147619;10.509524;30.2;null;15.8;50.571429;24;null;null;
2016-08-06;0;963.754167;11.329167;30.6;22.520833;15.2;51.75;28;null;null;
2016-08-07;0;962.608333;11.658333;33.2;23.591667;14.5;50.125;26;null;null;
2016-08-08;0;961.204167;10.708333;33.4;23.3375;13;49.125;23;null;null;
2016-08-09;0;961.7125;8.991667;34.1;24.629167;15.4;40.083333;19;null;null;
2016-08-10;0;960.429167;7.258333;35.4;23.6625;11.8;40.25;15;null;null;
2016-08-11;.4;958.7375;6.595833;35.8;25.329167;14.3;32.625;16;null;null;
2016-08-12;0;959.566667;12.816667;34.4;25.470833;18.2;47.166667;28;null;null;
2016-08-13;1.8;960.183333;15.55;31.7;24.625;17.7;60.208333;34;null;null;
2016-08-14;0;960.575;14.820833;28.9;23.566667;19.3;58.625;43;null;null;
2016-08-15;0;958.533333;12.470833;35.3;24.470833;14;54.541667;20;null;null;
2016-08-16;0;958.4125;11.670833;33.6;24.995833;16.2;45.958333;27;null;null;
2016-08-17;0;959.533333;13.3375;36.4;27.183333;18.3;46.166667;24;null;null;
2016-08-18;0;959.1;13.0375;37.3;28.308333;19.8;40.666667;23;null;null;
2016-08-19;0;959.5375;13.958333;35.2;27.141667;20.3;46;28;null;null;
2016-08-20;0;960.291667;12.958333;34.2;26.008333;18.8;46.833333;24;null;null;
2016-08-21;0;958.8625;11.9125;37.8;27.125;16.4;42.75;19;null;null;
2016-08-22;0;960.429167;15.1;35.1;27.508333;21.5;48.625;27;null;null;
2016-08-23;0;961.691667;15.041667;33.5;26.908333;21.1;49.791667;32;null;null;
2016-08-24;0;963.325;13.570833;33;25.3625;17.6;50.625;28;null;null;
2016-08-25;0;963.341667;10.491667;31;23.341667;14.5;48.083333;22;null;null;
2016-08-26;0;961.941667;9.954167;31.8;23.245833;14.8;46.041667;22;null;null;
2016-08-27;0;961.154167;12.066667;33.2;24.741667;16.7;47.208333;26;null;null;
2016-08-28;0;961.5125;12.55;33.1;25.591667;18.7;47.125;27;null;null;
2016-08-29;0;961.391667;11.033333;33.6;25;16;43.625;24;null;null;
2016-08-30;0;961.069565;14.03913;33.8;26.513043;19.4;49.217391;24;null;null;
2016-08-31;0;959.920833;12.979167;35.5;27.141667;19;43.958333;24;null;null;
2016-09-01;0;960.745833;13.395833;35.6;27.391667;19.2;43.708333;25;null;null;
2016-09-02;0;962.395833;12.870833;32.9;26.220833;19.7;46.041667;25;null;null;
2016-09-03;0;962.5875;9.729167;32.5;24.908333;17.5;41.083333;20;null;null;
2016-09-04;0;962.9375;10.929167;32.5;25.025;16.8;44.375;23;null;null;
2016-09-05;0;962.825;10.916667;32.9;24.808333;16.2;44.833333;21;null;null;
2016-09-06;0;962.420833;10.429167;33.6;25.095833;17.5;42.75;21;null;null;
2016-09-07;0;961.204167;8.5;34.7;25.908333;17.4;35.833333;17;null;null;
2016-09-08;0;959.841667;9.283333;35.9;26.233333;17;36.458333;20;null;null;
2016-09-09;0;960.9;9.008333;35.1;27.408333;20.4;33.416667;16;null;null;
2016-09-10;0;963.883333;11.925;32.8;26.266667;20.6;42.458333;25;null;null;
2016-09-11;0;962.9;9.183333;32.7;25.2625;20;37.958333;20;null;null;
2016-09-12;0;960.4625;7.916667;34.1;24.929167;15.1;38.291667;14;null;null;
2016-09-13;0;959.566667;7.979167;35.8;25.304167;14.6;36.083333;16;null;null;
2016-09-14;0;959.2125;9.175;36.4;27.704167;19.9;32.875;18;null;null;
2016-09-15;0;957.483333;9.445833;38.4;27.920833;16.2;34.875;15;null;null;
2016-09-16;0;958.175;10.104167;38.5;29.2625;20;33.041667;16;null;null;
2016-09-17;0;959.5625;12.520833;35.4;27.966667;21.9;39.708333;25;null;null;
2016-09-18;0;960.070833;13.233333;35.8;27.345833;19.1;43.916667;25;null;null;
