Nome: POMPEU
Codigo Estacao: A560
Latitude: -19.23249999
Longitude: -44.96416666
Altitude: 705
Situacao: Pane
Data Inicial: 2015-08-20
Data Final: 2023-09-30
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2015-08-20;null;null;null;null;null;null;null;null;null;null;
2015-08-21;null;null;null;null;null;null;null;null;null;null;
2015-08-22;null;null;null;null;null;null;null;null;null;null;
2015-08-23;null;null;null;null;null;null;null;null;null;null;
2015-08-24;null;null;null;null;null;null;null;null;null;null;
2015-08-25;null;null;null;null;null;null;null;29;8.4;null;
2015-08-26;0;936.733333;11.341667;31.9;23.25;14.8;51.75;24;9.9;2.35;
2015-08-27;0;936.170833;11.945833;33.8;24.6625;15.8;48.666667;20;9.6;2.716667;
2015-08-28;0;938.179167;14.2125;30.1;22.408333;15.7;62.291667;38;9.7;2.720833;
2015-08-29;0;939.6625;13.9875;30.5;22.983333;15.5;59.416667;32;8.1;2.441667;
2015-08-30;0;939.9875;12.2375;31.2;22.975;14.4;55.958333;24;7.4;1.891667;
2015-08-31;0;939.4375;10.241667;32;23.108333;14.3;49.666667;18;7.7;1.675;
2015-09-01;0;937.8125;7.829167;34.2;24.220833;14.4;39.833333;16;7.3;1.675;
2015-09-02;0;936.675;9.2125;32.4;24.083333;14.9;42.125;22;7.6;2.270833;
2015-09-03;0;936.008333;10.629167;32.6;24.454167;16.6;45.125;21;9.1;2.470833;
2015-09-04;0;934.1125;7.691667;36.7;26.145833;14.9;35.041667;13;13.3;2.5875;
2015-09-05;0;934.683333;10.654167;35;25.254167;16.8;43.875;18;9.5;2.275;
2015-09-06;0;934.545833;14.683333;33.4;25.425;18.8;55.958333;26;10.4;2.641667;
2015-09-07;0;933.054167;14.458333;33.7;25.129167;18.6;56.458333;24;10.6;2.791667;
2015-09-08;10.8;933.495833;18.2;26.5;21.858333;19.2;80.833333;54;16;2.826087;
2015-09-09;38.6;935.633333;17.175;23.3;19;17.1;89.375;70;11.4;2.35;
2015-09-10;1.2;935.8625;17.245833;23;19.004167;17;89.916667;73;5.8;2.079167;
2015-09-11;.2;934.5125;16.870833;27.5;20.4125;16.4;82.041667;49;9.8;2.408333;
2015-09-12;0;936.320833;16.379167;28;21.491667;16.8;74.583333;47;7.6;1.741667;
2015-09-13;0;936.725;17.166667;30.8;21.970833;17.4;76.916667;39;14.9;2.291667;
2015-09-14;1;938.266667;16.870833;29.7;22.1875;15.7;74.666667;45;11.9;2.566667;
2015-09-15;0;938.891667;15.829167;32.3;24.170833;16.2;64.083333;31;10.2;2.433333;
2015-09-16;0;938.1125;13.983333;31.8;24.745833;17.9;54.625;27;9.8;2.4125;
2015-09-17;0;936.854167;10.904167;33.3;24.975;16.2;48.208333;16;7.1;1.908333;
2015-09-18;0;936.729167;9.283333;34.9;25.454167;16.1;41.833333;13;6.5;1.816667;
2015-09-19;0;936.883333;7.129167;34.6;25.8375;15.6;35.5;11;8.3;2.333333;
2015-09-20;0;936.491667;5.733333;33.1;24.908333;15.5;33.541667;12;7;2.1875;
2015-09-21;0;935.6625;7.195833;33.4;24.816667;15.6;36;16;7.8;1.9;
2015-09-22;0;935.083333;10.816667;34.2;25.329167;16.3;44.25;17;8;2.104167;
2015-09-23;0;934.129167;11.470833;34.7;26.65;17.1;42.75;19;7.3;2.208333;
2015-09-24;0;933.833333;11.0625;36.1;28.054167;18.3;38.416667;17;8.1;2.308333;
2015-09-25;0;933.733333;9.8125;36.9;28.9625;18.8;34.25;15;9.9;2.245833;
2015-09-26;0;933.8375;12.4;36.2;28.041667;19.1;41.291667;20;8.5;2.095833;
2015-09-27;0;933.858333;13.945833;34.8;28.070833;20.3;44.541667;25;7.6;2.5;
2015-09-28;0;933.116667;13.516667;33.3;26.445833;19;46.166667;26;9.3;2.966667;
2015-09-29;0;933.979167;16.154167;27.4;23.579167;21.6;64.041667;42;8.4;2.65;
2015-09-30;0;934.3375;15.7375;30.5;23.025;17.9;66.833333;33;6.8;2.104167;
2015-10-01;0;934.016667;12.858333;34.4;25.520833;16.8;52.666667;21;7.5;1.8125;
2015-10-02;0;934.304167;12.5625;34.5;27.704167;19.3;41.958333;23;9;2.220833;
2015-10-03;0;933.9625;10.5875;34.7;27.079167;18.9;40.041667;16;8.4;2.25;
2015-10-04;0;933.8875;13.083333;34.9;26.658333;19.8;45.458333;22;7.5;2.095833;
2015-10-05;0;934.129167;15.620833;35.3;27.3625;20.8;52.166667;23;8.1;2.766667;
2015-10-06;0;936.2;16.433333;31.9;25.358333;19.1;59.583333;36;8.6;2.841667;
2015-10-07;0;936.216667;14.6;33.5;25.5125;17.3;54.541667;26;10.9;2.158333;
2015-10-08;0;935.825;11.504167;33.2;25.475;16.8;46.708333;20;10;2.533333;
2015-10-09;0;934.775;6.966667;34.7;26.595833;16.1;32.75;13;8.4;2.391667;
2015-10-10;0;935.541667;7.958333;34.8;27.220833;18.3;31.583333;16;9.6;2.45;
2015-10-11;0;935.058333;7.795833;35.6;27.3875;17.6;32.958333;12;11.4;2.658333;
2015-10-12;0;935.175;9.1625;35.1;27.804167;18.5;33.25;15;8.3;2.558333;
2015-10-13;0;935.808333;9.2375;35;27.170833;17.8;34.666667;19;8.3;2.233333;
2015-10-14;0;935.75;8.358333;35.8;28.029167;18.9;31.166667;16;7.4;2.308333;
2015-10-15;0;935.25;7.654167;37.7;28.795833;18.7;30.75;12;7.4;2.291667;
2015-10-16;0;935.683333;10.379167;37.8;29.6625;20.7;33.5;14;16.1;2.2875;
2015-10-17;0;935.483333;7.925;37.8;29.504167;20;28.833333;13;9.5;1.975;
2015-10-18;0;936.204167;11;35.7;28.391667;19.9;35.5;20;9;2.691667;
2015-10-19;0;936.458333;14.725;34.9;27.216667;19.6;49.666667;26;11.7;2.4625;
2015-10-20;0;935.216667;13.975;36.2;27.958333;19.1;46.583333;22;8.1;2.295833;
2015-10-21;0;934.008333;14.933333;35.5;28.333333;21.8;46.291667;26;6.7;2.245833;
2015-10-22;0;931.783333;13.470833;39.3;29.825;21.5;41.625;17;11.1;2.058333;
2015-10-23;20;935.545833;17.8625;32.4;24.270833;19.2;71.291667;34;12.4;3.058333;
2015-10-24;0;935.308333;17.283333;33.6;26.725;20.2;59.583333;31;7.8;2.683333;
2015-10-25;0;936.2125;15.204167;33.5;26.775;19.7;52.708333;24;8.7;2.770833;
2015-10-26;0;936.529167;15.4375;32.6;26.095833;19.3;54.25;31;8.9;2.566667;
2015-10-27;0;935;18.3625;32.9;25.220833;22.4;67.75;36;11;2.404167;
2015-10-28;50.4;935.120833;19.183333;25;21.954167;19.4;85;67;7.7;2.070833;
2015-10-29;0;934.433333;19.633333;29.2;24.3875;20.7;76.416667;53;10.5;2.141667;
2015-10-30;0;935.45;15.441667;30.6;24.620833;18.1;58.958333;34;9.8;2.725;
2015-10-31;0;934.2375;14.875;31.9;25.320833;17.7;54.083333;32;8.5;2.425;
2015-11-01;0;933.329167;16.3375;31.8;25.116667;20.5;60.25;35;10.2;2.991667;
2015-11-02;0;933.704167;17.345833;33.2;25.629167;19.5;64.958333;31;9.8;2.116667;
2015-11-03;0;933.916667;15.8375;34.5;27.508333;21.2;52.833333;25;7.3;2.0625;
2015-11-04;0;933.754167;14.35;35.1;27.854167;20.3;50.458333;21;9.3;2.454167;
