Nome: ARACUAI
Codigo Estacao: A566
Latitude: -16.84888888
Longitude: -42.03527777
Altitude: 308
Situacao: Operante
Data Inicial: 2017-05-18
Data Final: 2023-09-30
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2017-05-18;null;null;null;null;null;null;null;null;null;null;
2017-05-19;null;null;null;null;null;null;null;null;null;null;
2017-05-20;null;null;null;null;null;null;null;null;null;null;
2017-05-21;null;null;null;null;null;null;null;null;null;null;
2017-05-22;null;null;null;null;null;null;null;45;6.3;null;
2017-05-23;null;981.216667;18.933333;29.8;24.604167;20.3;72.083333;50;7.7;.8625;
2017-05-24;.2;982.9875;18.625;28.4;24.5875;22.4;70.166667;52;7.3;1.275;
2017-05-25;0;983.791667;17.570833;30;24.3;20.5;67.625;44;6.9;1.333333;
2017-05-26;0;983.791667;14.175;30.6;23.629167;16.5;57.375;33;9.4;2.016667;
2017-05-27;0;983.291667;14.4125;30.8;21.45;12.8;67.416667;37;8.8;1.279167;
2017-05-28;0;983.595833;15.5125;29.8;23.333333;17.8;63.458333;41;9;1.65;
2017-05-29;0;983.466667;13.9625;30.4;23.583333;15.4;58.5;30;10.5;1.679167;
2017-05-30;0;982.2125;12.875;30.5;21.825;15.1;59.875;32;6;.554167;
2017-05-31;0;980.808696;12.017391;31.1;20.813043;12.2;60.826087;32;7.3;.673913;
2017-06-01;0;980.34;13.775;32.9;null;14.1;64.55;33;6.3;.485;
2017-06-02;null;979.820833;15.4;35.8;25.445833;16.2;57.833333;26;6;.695833;
2017-06-03;0;982.354167;16.891667;29.2;24.445833;19.8;63.75;46;7.4;1.520833;
2017-06-04;0;983.404167;16.866667;30.7;24.279167;18.2;65.333333;42;6.2;.975;
2017-06-05;0;981.8125;17.25;30;23.570833;17.9;69.083333;47;7;.979167;
2017-06-06;0;981.170833;15.6;31.8;23.283333;17;65.833333;34;8.5;.579167;
