Nome: RIO CLARO
Codigo Estacao: A626
Latitude: -22.653579
Longitude: -44.040916
Altitude: 516
Situacao: Operante
Data Inicial: 2016-06-02
Data Final: 2023-09-30
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2016-06-02;null;null;null;null;null;null;null;null;null;null;
2016-06-03;null;null;null;null;null;null;null;null;null;null;
2016-06-04;null;null;null;null;null;null;null;null;null;null;
2016-06-05;null;null;null;null;null;null;null;null;null;null;
2016-06-06;null;null;null;null;null;null;null;91;5.6;null;
2016-06-07;null;956.047826;16.278261;21.3;17.552174;16.2;92.26087;80;9.8;2.013043;
2016-06-08;4.4;960.078261;14.104348;18;15.391304;14.8;92.043478;82;7;1.686957;
2016-06-09;.8;962.195652;12.184211;20.1;14.9;12.3;84.684211;49;7.5;1.5;
2016-06-10;0;961.404167;null;18;14.154167;11.1;null;89;5.7;1.170833;
2016-06-11;0;962.604348;7.989474;18.8;14.047826;9.9;67.315789;36;8.2;2.113043;
2016-06-12;0;965.63913;8.613043;19.2;11.673913;7.2;83.173913;47;8.6;1.286957;
2016-06-13;0;969.191304;7.8;18.6;12.004348;6;78.086957;43;5.7;1.53913;
2016-06-14;0;969.117391;9.065217;19.8;12.3;6.5;82.695652;50;7.5;1.226087;
2016-06-15;0;966.5875;9.833333;22.6;13.495833;6.6;81.333333;46;5.3;1.075;
2016-06-16;0;964.4375;11.016667;23.5;14.791667;7.8;80.958333;46;5.9;1.166667;
2016-06-17;0;961.9125;12.558333;25.5;16.066667;9.1;82.375;48;5.2;.966667;
2016-06-18;0;962.158333;13.279167;24.1;15.983333;9.8;85.291667;56;9.6;1.379167;
2016-06-19;0;963.2875;14.633333;22.4;17.229167;15;85.833333;61;5.2;1.266667;
2016-06-20;0;963.291667;14.858333;18.5;16.633333;15.7;89.541667;80;5.8;1.3125;
2016-06-21;0;965.5;14.108333;19.8;16.279167;14.5;87.416667;70;8;1.308333;
2016-06-22;.2;963.933333;14.0375;22.6;16.8625;14.2;84.541667;59;8.7;1.925;
2016-06-23;0;961.752174;14.913043;25.2;17.047826;13.6;88.130435;55;8.1;1.669565;
2016-06-24;3.4;964.570833;14.527778;17.4;15.720833;14.6;94;84;6.8;1.470833;
2016-06-25;0;967.069565;null;20.8;16.378261;13.8;null;64;6.6;1.447826;
2016-06-26;.2;967.479167;null;21.9;16.541667;12.3;null;null;7.9;1.429167;
2016-06-27;0;967.5;null;22.6;17.082609;13.9;null;null;9;1.643478;
2016-06-28;0;966.491304;null;23.5;17.017391;11.9;null;null;7.6;1.773913;
2016-06-29;0;965.05;null;25.8;17.691667;11.6;null;null;6.3;1.391667;
2016-06-30;0;965.363636;null;24.2;17.5;11.4;null;null;5.8;1.136364;
