Nome: ANGRA DOS REIS
Codigo Estacao: A628
Latitude: -22.97555554
Longitude: -44.30333333
Altitude: 6
Situacao: Operante
Data Inicial: 2017-08-24
Data Final: 2023-09-30
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2017-08-24;null;null;null;null;null;null;null;null;null;null;
2017-08-25;null;null;null;null;null;null;null;51;6.9;null;
2017-08-26;0;1020.5375;14.75;25.2;18.783333;14.3;78.916667;56;6.8;1.033333;
2017-08-27;0;1018.095833;15.35;25.2;18.775;13.9;81.5;57;6.4;.829167;
2017-08-28;0;1018.466667;16.495833;25.8;19.758333;15.2;82.291667;54;7.3;.970833;
2017-08-29;0;1018.383333;17.004167;25.1;20.641667;17.1;80.416667;62;6.2;.991667;
2017-08-30;0;1015.15;17.586364;28;21.413636;16.7;80.090909;53;6.1;.959091;
2017-08-31;0;1021.345455;17.290909;23.9;19.981818;17.7;84.772727;68;10.2;1.190909;
2017-09-01;4.8;1026.6;16.05;23.7;19.790909;17.8;80.272727;59;7.3;.959091;
2017-09-02;.2;1026.845455;15.313636;26;20.259091;16.3;75.181818;47;7.7;1.022727;
2017-09-03;0;1024.340909;14.1;25.2;18.836364;14.5;75.954545;47;7.6;1.713636;
2017-09-04;0;1020.56087;14.543478;27.5;19.956522;14.5;73;34;8.6;1.743478;
2017-09-05;0;1018.229167;15.304167;29.9;21.404167;15.2;70.375;41;7.1;1.225;
2017-09-06;0;1020.031818;16.018182;26.3;20.445455;16;76.363636;54;8.4;1.531818;
2017-09-07;0;1020.871429;16.380952;25.3;null;16.3;80.809524;60;6.9;.704762;
2017-09-08;0;1017.781818;16.918182;26.4;21.054545;16.9;78.409091;55;6.3;1.009091;
2017-09-09;0;1016.972727;17.013636;27.5;20.386364;15.8;81.818182;53;6;.890909;
2017-09-10;0;1017.130435;17.708696;26.6;20.530435;16.4;84.608696;59;8;1.204348;
2017-09-11;0;1017.172727;18.454545;32;23.418182;18.1;75.5;43;6.3;1.254545;
2017-09-12;0;1018.195833;17.833333;29.8;23.583333;19.3;70.791667;50;8.9;1.7625;
2017-09-13;0;1019.686364;18.159091;27.6;22.190909;18.9;78.863636;57;6.5;1.154545;
2017-09-14;0;1016.768182;18.009091;31.6;22.686364;17.4;77.318182;33;8.3;1.272727;
2017-09-15;0;1017.3;17.154545;32.7;23.595455;17.3;69.181818;38;7.2;1.313636;
2017-09-16;0;1020.131818;18.081818;26.6;22.077273;18.7;78.636364;62;6;.881818;
2017-09-17;0;1018.236364;18.777273;27.2;22.5;18.6;80.045455;63;5.8;1.159091;
2017-09-18;null;1020.554545;18.781818;25.4;22.345455;19.3;80.772727;66;6;.772727;
2017-09-19;0;1020.926087;18.773913;27.7;22.665217;20.3;79.217391;59;6.9;.83913;
2017-09-20;0;1021.126087;18.569565;27.4;22.169565;19.7;80.695652;58;9.2;.991304;
2017-09-21;0;1020.004167;18.270833;27.8;21.9375;17.4;80.625;61;6.5;1.191667;
2017-09-22;0;1017.229167;18.2;30.6;22.966667;17.4;76.333333;47;6;.945833;
2017-09-23;0;1016.566667;15.929167;34.3;25.591667;18.4;58.791667;27;10.9;1.608333;
2017-09-24;0;1019.645833;18.379167;27.8;22.9125;19.1;76.291667;56;6.3;1.070833;
2017-09-25;0;1021.116667;18.220833;28.6;22.966667;19.3;75.416667;48;7.8;1.283333;
2017-09-26;0;1017.8125;17.195833;29.3;22.670833;17.9;72.833333;40;8.8;1.4625;
2017-09-27;0;1014.3;18.391667;28.4;22.425;17.8;78.583333;59;6.5;1.329167;
2017-09-28;0;1016.254167;19.020833;27.6;22.183333;19.2;82.75;65;6.8;1.175;
2017-09-29;.2;1018.725;18.933333;24;21.604167;20.2;85;73;6.5;.5125;
2017-09-30;10;1010.4125;18.716667;27.3;22.433333;19.6;81.208333;52;8.1;1.1375;
2017-10-01;2.2;1006.229167;18.120833;31.4;25.158333;18.8;67.125;41;12.1;1.745833;
2017-10-02;0;1006.4;18.5875;34.5;24.8875;18.2;71.125;36;15.9;1.825;
2017-10-03;2.6;1014.020833;19.795833;24.2;22.1375;21.5;86.625;74;9;1.083333;
2017-10-04;1.4;1020.7375;12.4;26.1;20.9;17.8;62.625;23;8.9;1.004167;
2017-10-05;0;1017.216667;16.345833;27.6;21.329167;15.9;74.208333;56;8;1.133333;
2017-10-06;0;1014.983333;19.229167;32.2;24.6;19.1;73.5;46;5.6;1.0875;
2017-10-07;0;1017.333333;19.8875;28.3;23.804167;20.8;79.166667;64;8.6;1.254167;
2017-10-08;0;1015.55;19.520833;27.3;22.891667;20.3;81.625;65;6.9;.775;
2017-10-09;0;1012.691304;20.03913;27.8;23.591304;20.1;81.086957;66;7.5;1.182609;
2017-10-10;0;1012.3;20.633333;29.9;24.25;20.3;80.875;59;6.4;1.341667;
2017-10-11;0;1012.108333;20.625;30;24.6;20.5;79.333333;60;5.6;.804167;
2017-10-12;0;1013.229167;21.3875;30.9;25.5125;22.6;78.625;61;7.4;1.370833;
2017-10-13;0;1012.770833;21.0375;30.3;25.033333;23;78.958333;62;6.4;.958333;
2017-10-14;0;1011.995833;21.141667;31.2;25.391667;22.5;78.125;58;9.4;1.683333;
2017-10-15;12;1019.7625;19.2;23.2;21.058333;19.5;89.375;73;10.3;.6;
2017-10-16;1.4;1022.620833;18.008333;22.7;20.741667;19.1;84.583333;75;4.1;.395833;
2017-10-17;.2;1021.25;19.05;30;23.320833;19.8;77.958333;56;6.7;.9375;
2017-10-18;0;1016.1375;18.133333;34.5;26.0875;20.6;64.541667;31;12.1;1.816667;
2017-10-19;0;1011.270833;14.575;38.2;30.204167;21.7;42.25;19;14.2;2.083333;
2017-10-20;0;1013.929167;19.283333;29.8;24.370833;21.5;73.916667;55;10.1;1.766667;
2017-10-21;.6;1015.125;20.408333;26.9;23.420833;20.8;83.583333;68;6;.829167;
2017-10-22;.8;1013.3875;20.775;29.1;24.270833;22;81.708333;58;7.4;.9875;
2017-10-23;8.4;1018.625;18.854167;22.6;20.129167;20.5;92.333333;84;6.5;.4875;
2017-10-24;12.2;1020.2625;17.291667;22;19.525;17.4;87.375;74;4.3;.3125;
2017-10-25;.2;1016.458333;19.283333;27.9;22.316667;19.5;83.375;66;7.7;.9625;
2017-10-26;14.6;1012.133333;20.279167;30;23.833333;18.9;81.541667;54;9;.820833;
2017-10-27;3.4;1008.6625;20.616667;26.3;23.341667;19.1;85.041667;69;11.6;.879167;
2017-10-28;6.6;1005.983333;19.875;31.4;25.6125;20.7;72;45;6.6;1.1875;
2017-10-29;0;1011.895833;19.754167;27.1;23.775;21.3;78.5;65;5.2;.733333;
2017-10-30;0;1009.778261;19.978261;28.7;23.76087;20.4;79.956522;63;7.1;.873913;
2017-10-31;3.2;1009.045833;20.345833;27.2;23.008333;21.7;85.208333;72;10.2;1.458333;
2017-11-01;.2;1018.05;16.758333;25.3;21.9625;19.8;72.708333;60;7.5;1.0375;
2017-11-02;0;1020.683333;15.6625;26.4;21.208333;16.6;71.916667;54;6.8;1.2125;
2017-11-03;0;1015.258333;17.366667;29.1;22.570833;16.7;73.958333;52;6.8;1.241667;
2017-11-04;0;1008.420833;19.5;36.5;26.379167;20.1;69.875;31;10.9;1.4375;
2017-11-05;0;1011.9875;20.066667;26.9;24.016667;23.8;79;62;13.6;1.7125;
2017-11-06;9;1017.141667;19.095833;22.1;20.575;20.4;91.458333;78;6.1;.516667;
2017-11-07;1.6;1017.204167;17.195833;23.9;20.470833;17.6;82.083333;65;6.4;.808333;
2017-11-08;.2;1015.283333;17.570833;28.1;22.2375;18.8;76.041667;54;7.1;.770833;
2017-11-09;0;1013.4125;18.708333;27.9;22.616667;18.9;79.208333;61;6.1;.841667;
2017-11-10;0;1008.554167;19.975;30.4;24.066667;19.5;78.833333;56;6.6;1.429167;
2017-11-11;6;1006.8;20.4125;23.9;22.108333;22;90.208333;82;10.7;.933333;
2017-11-12;15;1007.145833;15.145833;32.3;23;16.8;67;26;11.1;1.025;
2017-11-13;.2;1012.279167;14.858333;27.8;21.845833;16.5;66.708333;36;8.6;1.6125;
2017-11-14;0;1015.679167;15.975;27.4;22.108333;16.7;69.833333;39;7.6;1.3375;
2017-11-15;0;1014.279167;17.541667;28.5;22.591667;16.9;74.166667;55;7.6;1.2625;
2017-11-16;0;1009.875;19.704167;38.5;27.479167;20.2;66.375;27;7.8;1.0875;
2017-11-17;0;1009.820833;20.041667;32.6;26.504167;22.3;68.75;48;9.9;1.133333;
2017-11-18;8;1007.408333;21.641667;33.2;24.808333;21.5;83.916667;50;17.2;.529167;
2017-11-19;39.2;1008.466667;22.05;28;23.645833;21.9;91.083333;74;4.9;.458333;
2017-11-20;130.4;1012.191667;21.725;24.6;22.708333;21.8;94.125;86;9.2;.820833;
2017-11-21;12.4;1010.973913;21.482609;26.8;23.330435;21.6;89.608696;74;5.8;.386957;
2017-11-22;9;1008.3375;21.745833;27.6;23.008333;22.7;92.625;75;10;.770833;
2017-11-23;39.6;1015.720833;18.691667;23.8;20.25;18;90.875;73;8;.645833;
2017-11-24;1.2;1015.429167;19.095833;27.7;22.670833;18;81.208333;61;6.2;1;
