Nome: SANTA MARIA MADALENA
Codigo Estacao: A630
Latitude: -21.95055555
Longitude: -42.01027777
Altitude: 517
Situacao: Operante
Data Inicial: 2018-10-15
Data Final: 2023-09-30
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2018-10-15;null;null;null;null;null;null;null;null;null;null;
2018-10-16;null;null;null;null;null;null;null;83;4.7;null;
2018-10-17;null;951.341667;18.516667;25.1;20.808333;18.4;87.125;68;5.4;.425;
2018-10-18;2.2;948.825;20.158333;25.5;21.695833;19.8;91.458333;73;4.9;.208333;
2018-10-19;.2;945.708333;20.229167;28.4;22.566667;20.3;87.208333;61;6;.529167;
2018-10-20;15.4;950.091667;14.391667;22.6;18.729167;16.9;76.791667;51;9.6;2.470833;
2018-10-21;0;952.6125;11.258333;22.2;17.129167;13.8;69.041667;49;8.9;1.791667;
2018-10-22;0;953.05;13.191667;22.7;17.266667;11.9;78.375;57;5.5;.5625;
2018-10-23;0;951.141667;14.925;29.9;20.225;12.5;75.041667;40;7.1;.695833;
2018-10-24;0;951.575;17.720833;27.1;21.2;17.4;81.416667;59;9.5;1.8125;
2018-10-25;1.6;951.129167;17.916667;21.6;19.316667;18.5;91.791667;78;5.8;.366667;
2018-10-26;9.6;948.175;18.1125;22.8;19.575;17.4;91.5;79;5.3;.633333;
2018-10-27;1;943.0625;19.670833;28.6;22.316667;19;85.791667;64;8.3;.591667;
2018-10-28;1.8;946.225;16.483333;25;20.829167;18.1;77.166667;53;7;1.016667;
2018-10-29;.2;951.883333;13.645833;19.1;16.879167;15.3;81.291667;70;6.4;1.1875;
2018-10-30;0;953.345833;15.520833;23.6;19.0125;15.7;80.875;61;5;.475;
2018-10-31;0;952.056522;17.721739;28.3;21.1;16.2;82.565217;54;6.2;.391304;
2018-11-01;0;949.125;19.570833;31.4;23.041667;18.1;82.666667;51;7.5;.425;
2018-11-02;3.4;949.9625;17.833333;24.4;20.554167;17.6;85.041667;65;6.9;1.175;
2018-11-03;.2;948.333333;18.095833;29.5;21.9875;17.1;80.041667;52;8.8;.566667;
2018-11-04;0;946.754167;19.433333;29.3;22.5;19.5;84.083333;53;9.2;1.2375;
2018-11-05;15.8;951.7375;16.3375;19.6;17.733333;16.9;91.625;85;8.9;2.216667;
2018-11-06;1.6;952.5125;16.3;22.9;18.679167;16.2;86.458333;72;7.2;1.320833;
2018-11-07;.6;951.8;18.270833;27.2;21.4125;17.8;83.416667;55;8;.6375;
2018-11-08;10.4;953.8875;17.445833;21;18.925;17.9;91.25;75;10.8;.833333;
2018-11-09;14.6;954.004167;17.029167;20.1;17.9625;16.1;94.25;87;3.6;.129167;
2018-11-10;7.4;950.4625;17.833333;25.7;20.283333;17.1;86.666667;62;5.4;.4875;
2018-11-11;.2;949.204167;17.854167;27.8;21.741667;17.8;80.291667;52;5.7;.633333;
2018-11-12;0;950.454167;18.533333;28;21.945833;18.1;81.625;59;7.5;.870833;
2018-11-13;0;951.316667;18.616667;29;22.266667;17.4;81.208333;53;6.5;.758333;
2018-11-14;0;948.779167;19.633333;30;23.354167;20.5;81;51;8.6;.5625;
2018-11-15;0;946.8375;19.645833;30.6;23.529167;18.7;80.708333;55;10;.870833;
2018-11-16;.6;950.520833;20.575;25.2;22.604167;21.1;88.583333;76;7.4;1.066667;
2018-11-17;26.6;953.1375;18.333333;25.2;21.245833;19.5;83.666667;68;8.1;1.85;
2018-11-18;0;951.1875;18.95;28.6;22.204167;17.7;83;56;8;.508333;
2018-11-19;0;949.295833;19.179167;25.7;22.0375;18.6;84.708333;62;6.3;.420833;
2018-11-20;23.8;952.930435;16.091304;20.3;17.352174;16.5;92.304348;87;8.6;1.908696;
2018-11-21;25.2;954.0625;17.145833;21;18.466667;16.4;92.166667;83;5.3;.541667;
2018-11-22;3.2;953.204348;17.752174;26.5;20.426087;15.8;85.869565;60;6.2;.417391;
2018-11-23;0;950.9375;17.920833;28.3;22.245833;18;78.291667;49;7.6;.495833;
2018-11-24;0;949.770833;17.970833;26.7;21.641667;17.4;81.166667;59;6.8;.325;
2018-11-25;0;949.9625;18.991667;27.2;21.479167;19.6;86.416667;56;6;.308333;
2018-11-26;5.2;952.033333;18.041667;27.1;20.75;16.2;85.333333;61;7.9;.816667;
2018-11-27;0;953.116667;18.116667;26.6;21.15;17.4;83.458333;62;7.8;.879167;
2018-11-28;2.4;952.454167;17.141667;27.6;20.808333;16;80.875;45;7.9;.991667;
2018-11-29;0;950.083333;16.745833;28.6;21.383333;15;77.125;47;6.1;.379167;
2018-11-30;0;946.045833;18.429167;30.3;22.416667;16.9;80.458333;52;7.1;.4875;
2018-12-01;6.6;944.104167;19.558333;23.5;20.816667;18.8;92.625;82;8.3;.433333;
2018-12-02;1.2;943.795833;20.266667;27.2;22.545833;21.2;87.291667;67;6.9;.654167;
2018-12-03;.4;946.033333;17.633333;24.1;20.495833;19.5;83.75;68;7.9;1.3875;
2018-12-04;.4;945.725;17.975;24.9;20.741667;17;84.708333;67;5.2;.370833;
2018-12-05;.2;945.8625;18.975;30.3;23.25;18;78.291667;54;9.6;.695833;
