Nome: AGUA CLARA
Codigo Estacao: A756
Latitude: -20.44444444
Longitude: -52.87583332
Altitude: 323.63
Situacao: Operante
Data Inicial: 2010-08-13
Data Final: 2023-09-30
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2010-08-13;null;null;null;null;null;null;null;null;null;null;
2010-08-14;null;null;null;null;null;null;null;null;null;null;
2010-08-15;null;null;null;null;null;null;null;null;null;null;
2010-08-16;null;null;null;null;null;null;null;19;9.4;null;
2010-08-17;0;982.104167;4.691667;29.5;16.083333;5.1;55.166667;17;6.9;1.625;
2010-08-18;0;980.333333;6.270833;32.6;20.0375;8.1;47.916667;17;9.1;1.795833;
2010-08-19;0;978.883333;5.741667;33.7;22.133333;10.2;40.125;14;6.4;1.608333;
2010-08-20;0;979.045833;5.991667;33.4;20.820833;9.5;47.125;11;7.1;1.158333;
2010-08-21;0;979.591667;5.9125;33.7;21.366667;9.4;45.833333;13;8.1;1.545833;
2010-08-22;0;978.554167;5.658333;36.3;22.775;9.7;42.666667;11;9.3;1.345833;
2010-08-23;0;976.0625;5.583333;36.9;24.720833;12;36.375;10;10.3;1.929167;
2010-08-24;0;975.6;6.4875;37.5;25.175;12.7;38.041667;11;10.4;1.479167;
2010-08-25;0;975.829167;6.8375;38;24.391667;11.9;43.458333;11;8.6;1.416667;
2010-08-26;0;975.920833;5.991667;37.5;24.608333;12.1;39.125;11;7.3;1.0375;
2010-08-27;0;974.85;5.4;37.6;25.445833;12.4;35.041667;10;7.1;1.2125;
2010-08-28;0;974.129167;5.433333;38.5;25.375;12.9;35.791667;10;8;1.054167;
2010-08-29;0;974.654167;6.191667;38.6;25.133333;13.6;36.875;10;5;.991667;
2010-08-30;0;974.558333;7.3375;38.7;26.075;14.9;38.791667;11;9.9;1.929167;
2010-08-31;0;974.229167;7.958333;38.5;28.004167;18;32.5;13;9.3;2.320833;
2010-09-01;0;975.5625;9.308333;37.2;28.920833;20.9;31.458333;16;10;1.6625;
2010-09-02;0;977.7;10.1375;38;27.170833;15.9;41.041667;15;9.1;1.325;
2010-09-03;0;976.570833;8.05;38.6;27.033333;14.5;35.958333;13;7.9;1.341667;
2010-09-04;0;977.445833;12.358333;30.8;23.5125;16.5;51.5;32;10;2.558333;
2010-09-05;0;980.745833;6.491667;28.1;20.766667;14.2;41.833333;22;9.5;2.125;
2010-09-06;0;980.4625;9.929167;33.3;22.533333;13.1;48.708333;24;7.3;1.308333;
2010-09-07;0;980.3125;11.658333;32.9;25.195833;19.2;44.416667;27;9.9;2.495833;
2010-09-08;0;978.983333;13;32.1;23.45;15.3;56.25;27;8.1;2.075;
2010-09-09;0;978.275;11.858333;33.3;23.675;15;52.083333;25;8.4;2.2875;
2010-09-10;0;976.691667;9.891667;38.3;26.816667;16;40.208333;15;9.6;2.441667;
2010-09-11;0;975.225;8.270833;39.7;28.795833;16.5;34.208333;11;9.5;2.025;
2010-09-12;0;973.633333;5.783333;39.9;29.529167;17.1;27;11;8.8;2.304167;
2010-09-13;0;972.4125;2.25;39.7;28.679167;15.1;29.111111;11;9.1;2.016667;
2010-09-14;0;976.570833;13.508333;28;23.054167;17.3;57.375;14;9.7;1.991667;
2010-09-15;0;977.683333;14.129167;30.5;22.554167;17.1;64.875;30;7.5;1.225;
2010-09-16;0;973.941667;12.5875;37.7;25.45;15.1;52.583333;18;6.4;1.05;
2010-09-17;0;973.829167;13.454167;39.3;28.870833;20.4;43.916667;15;5.9;1.179167;
2010-09-18;0;975.966667;14.066667;36.3;28.279167;20.6;44.25;22;7.3;1.625;
2010-09-19;0;977.058333;12.508333;32.5;24.15;17.8;49.958333;29;11.2;2.845833;
2010-09-20;0;973.695833;11.216667;40;28.408333;19.4;42.166667;13;9.5;1.970833;
2010-09-21;0;972.079167;8.725;39.7;30.383333;19.3;29.583333;12;14.7;2.995833;
2010-09-22;0;971.908333;7.720833;40.3;31.1625;22.9;25.625;12;10.6;2.454167;
2010-09-23;0;971.741667;7.575;39.8;29.570833;19.2;29.083333;11;11.1;1.691667;
2010-09-24;4.2;974.270833;16.829167;30.8;21.220833;19;78.833333;22;13.9;1.983333;
2010-09-25;20.8;973.758333;18.495833;30.6;22.775;17.9;79.583333;46;4.6;1.1375;
