Nome: SAO PAULO - INTERLAGOS
Codigo Estacao: A771
Latitude: -23.724501
Longitude: -46.677501
Altitude: 771
Situacao: Operante
Data Inicial: 2018-03-13
Data Final: 2023-09-30
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2018-03-13;null;null;null;null;null;null;null;null;null;null;
2018-03-14;null;null;null;null;null;null;null;null;null;null;
2018-03-15;null;null;null;null;null;null;null;51;9.1;null;
2018-03-16;.2;926.35;20.008333;27.8;24.1875;21.2;78.083333;62;9.1;1.804167;
2018-03-17;0;926.608333;19.929167;26.9;22.770833;20.4;84.375;63;8.9;1.9375;
2018-03-18;0;924.633333;19.466667;30.8;22.4375;18.6;84.5;44;8.7;1.420833;
2018-03-19;0;923.8375;20.095833;33.1;24.141667;20.8;79.666667;46;12.2;1.229167;
2018-03-20;.2;924.929167;21.0875;29;23.545833;22;86.708333;64;8.6;1.529167;
2018-03-21;8.8;925.8875;19.083333;25.7;21.3375;19.4;87.291667;64;8.3;1.829167;
2018-03-22;.8;926.575;18.858333;23.3;20.283333;19.1;91.5;79;7.8;2.333333;
2018-03-23;0;926.766667;19.470833;28.3;22.433333;19.7;83.875;61;8.2;2.179167;
2018-03-24;.2;927.083333;19.575;30.8;23.733333;19.5;79.791667;45;7.7;1.554167;
2018-03-25;0;926.870833;18.15;31.4;24.866667;20.8;68.458333;42;7.7;1.525;
2018-03-26;0;928.075;19.391667;29.8;22.504167;21.4;83.416667;52;8.5;1.383333;
2018-03-27;32.8;929.570833;19.2125;28.5;21.725;19.4;86.541667;50;7.6;1.395833;
2018-03-28;4.2;929.3125;18.808333;28.1;21.283333;18.2;87.041667;54;8.6;1.3;
2018-03-29;25.4;928.720833;19.475;27.1;21.525;18.4;88.833333;55;8.6;1.4125;
2018-03-30;3.4;927.4125;18.716667;28.1;21.595833;19.3;85.125;52;8.8;1.504167;
2018-03-31;41.8;926;18.883333;28.4;22.204167;19;83.125;50;7.9;1.466667;
2018-04-01;17;924.354167;18.65;29.2;22.7875;19.1;78.916667;51;9.4;1.570833;
2018-04-02;1;923.775;18.645833;26.8;22.079167;19.1;81.625;61;9.7;2.0375;
2018-04-03;.2;923.116667;19.229167;25.2;21.520833;19.5;87.125;67;6.6;1.375;
2018-04-04;11.8;924.3625;17.741667;25.2;20.370833;17.8;85.75;56;8;1.595833;
2018-04-05;0;924.7875;17.558333;26.4;20.504167;17.5;84.208333;53;8.5;1.645833;
2018-04-06;0;926.195833;17.895833;24.9;20.783333;18.2;84.208333;62;8.5;2.225;
2018-04-07;0;927.891667;17.845833;25.8;20.670833;17;84.583333;62;8.9;1.829167;
2018-04-08;0;929.291667;18.1625;26.2;21.066667;17.6;84.416667;59;8.8;1.870833;
2018-04-09;0;929.733333;17.825;25.9;20.9;17.9;83.375;59;9.9;1.945833;
2018-04-10;0;930.304167;17.520833;25.9;20.7;17.2;82.916667;54;9.4;2.0375;
2018-04-11;0;930.433333;17.245833;25.6;20.570833;17.7;82.25;55;8.9;1.95;
2018-04-12;0;930.316667;17.054167;28.1;21.345833;17.8;78.583333;39;6.8;1.733333;
2018-04-13;0;930.983333;16.808333;28.9;22.441667;18.1;72.833333;42;8.1;1.554167;
2018-04-14;0;933.616667;17.75;25.2;20.433333;18;85.166667;63;8;2.5375;
2018-04-15;17.2;934.5375;17.7;19.8;18.6;18.4;94.458333;90;11;2.825;
2018-04-16;36;934.3;15.7625;19.9;17.725;16.4;88.5;71;11.8;3.7125;
2018-04-17;0;934.283333;14.854167;21.4;17.929167;16;82.5;66;9.6;2.825;
2018-04-18;0;934.629167;13.791667;23.9;17.879167;14.2;78.375;44;9.6;1.895833;
2018-04-19;0;932.8125;13.283333;26.6;18.35;13.8;75.833333;35;7.4;1.291667;
2018-04-20;0;930.9;12.266667;24.9;18.4;13.8;72.416667;31;6.9;1.154167;
2018-04-21;0;929.554167;14.020833;22.8;17.091667;12.3;83.666667;54;9.1;1.658333;
2018-04-22;0;929.391667;15.704167;24.6;18.854167;15.6;82.833333;53;8.3;1.925;
2018-04-23;0;930.4;16.316667;24.9;19.491667;16;82.958333;54;8.4;1.708333;
2018-04-24;0;931.4875;16.766667;25.2;19.616667;16.1;84.666667;54;8.1;1.645833;
2018-04-25;0;931.883333;17.075;25.5;19.875;16.1;84.708333;57;8.1;1.766667;
2018-04-26;0;930.875;17.641667;25.7;20.095833;17.3;86.5;62;9.4;1.591667;
2018-04-27;0;930.941667;17.795833;26.1;21.116667;18;82.25;56;7.8;1.841667;
2018-04-28;0;931.195833;18;26.4;21.191667;17.8;82.958333;59;6.6;1.608333;
2018-04-29;0;930.558333;17.208333;27;21.029167;18.1;80.5;44;6.7;1.741667;
2018-04-30;0;929.583333;15.283333;29.5;22.133333;17;68.625;34;5.8;1.191667;
