Nome: ENCRUZILHADA DO SUL
Codigo Estacao: A893
Latitude: -30.54305555
Longitude: -52.52472221
Altitude: 427.75
Situacao: Operante
Data Inicial: 2018-03-14
Data Final: 2023-09-30
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2018-03-14;null;null;null;null;null;null;null;null;null;null;
2018-03-15;null;null;null;null;null;null;null;46;9.5;null;
2018-03-16;null;965.3875;11.020833;25.7;18.6375;12.1;63.25;42;9.7;2.270833;
2018-03-17;0;964.058333;16.129167;27.4;21.283333;16.5;73.458333;53;8;2.108333;
2018-03-18;0;958.791667;19.320833;33.6;24.720833;20.5;72.791667;51;13.6;3.333333;
2018-03-19;27;961.691667;13.1875;24.5;19.633333;15.5;69.833333;38;20.8;3.504167;
2018-03-20;0;965.227273;13.55;22.5;17.55;15.7;77.681818;55;6.9;1.75;
2018-03-21;0;967.6;11.85;22.5;17.6125;14;71.875;40;10.1;2.483333;
2018-03-22;0;965.933333;11.541667;24.9;18.004167;13;68.666667;40;6.7;1.833333;
2018-03-23;0;963.204167;15.579167;29.7;21.866667;15.7;68.875;48;6.1;1.870833;
2018-03-24;0;962.85;18.566667;25.1;20.383333;21;89.875;72;13.2;3.1625;
2018-03-25;49.4;963.2875;15.875;21.5;18.320833;16.6;86.625;57;12.6;3.983333;
2018-03-26;.2;971.566667;10.883333;21.5;15.225;10.5;76.083333;56;12.3;4.3625;
2018-03-27;0;970.733333;16.7875;21.2;18.3;14.4;91.041667;78;9.4;2.708333;
2018-03-28;.6;969.066667;18.216667;26.7;20.829167;17.8;86.125;62;8.5;1.779167;
2018-03-29;0;968.379167;18.85;26.3;20.6875;17.5;89.791667;65;5.6;1.791667;
2018-03-30;3.6;967.108333;18.629167;27.1;21.808333;18.5;83.541667;57;9.1;2.429167;
2018-03-31;0;964.7375;19.2125;21.8;20.3875;19.6;92.916667;87;7.4;2.020833;
2018-04-01;2.8;961.354167;18.5375;24.5;19.8875;18.6;92.25;69;10.3;2.020833;
2018-04-02;104.4;962.191667;17.3625;22.3;18.604167;16.9;92.958333;73;13.5;4.7375;
2018-04-03;1.4;963.916667;17.033333;25.1;19.491667;16.6;87.083333;58;7.6;1.3625;
2018-04-04;64.2;964.2625;17.029167;24.8;19.179167;15.9;88.041667;60;7.3;.954167;
2018-04-05;7.4;964.829167;16.108333;24.6;19.583333;15.1;81.666667;56;5.9;1.0375;
2018-04-06;0;966.083333;15.1125;26.3;19.891667;15.6;75.958333;42;6.3;1.183333;
2018-04-07;0;966.241667;16.366667;29.1;21.666667;16.6;74.083333;41;5.9;1.783333;
2018-04-08;0;969.179167;15.904167;28.7;23.166667;19.7;64.916667;44;6.2;1.458333;
2018-04-09;0;969.25;17.233333;28.1;22.366667;16;74.208333;52;7.7;1.783333;
2018-04-10;0;967.441667;17.454167;28;22.341667;19;75.25;51;8.2;2.445833;
2018-04-11;0;966.129167;18.245833;30;24.108333;19.8;70.5;54;8.4;3.154167;
2018-04-12;0;966.5875;18.8125;31.1;24.9625;20.8;70.083333;47;13.3;3.0875;
2018-04-13;6.2;973.266667;14.7125;22.4;16.8375;15.7;87.708333;73;14.9;4.945833;
2018-04-14;0;977.35;11.954167;19.9;16.75;14.7;73.583333;62;9.1;2.679167;
2018-04-15;0;978.083333;14.5;24.4;18.541667;14.9;78.416667;55;9.4;2.4125;
2018-04-16;0;976.883333;14.654167;24.4;18.745833;15.1;78.375;51;9.1;2.5625;
2018-04-17;0;974.558333;12.9375;25.6;19.329167;15.7;68.416667;41;8.4;2.683333;
2018-04-18;0;972.908333;14.783333;28.2;21.258333;15.5;68.416667;41;5.9;1.783333;
2018-04-19;0;970.691667;15.6375;29;23.241667;18.3;63.708333;41;7.5;2.0375;
2018-04-20;0;968.954167;16.375;29.4;24.025;20.7;62.916667;50;6.3;1.866667;
2018-04-21;3.8;967.85;17.608333;24.9;18.383333;17.2;95.416667;62;11.7;2.625;
2018-04-22;18.2;966.7375;18.120833;28;21.241667;16.9;84.166667;58;5.7;1.754167;
2018-04-23;0;967.4;19.05;24.4;21.675;19.1;85.083333;75;9.8;2.1875;
2018-04-24;.2;970.666667;19.154167;23.2;20.729167;17.7;90.833333;82;6.7;2.033333;
2018-04-25;.2;970.983333;19.466667;25.6;21.191667;18.6;90.166667;73;6.2;1.108333;
2018-04-26;.2;970.233333;18.975;26.2;21.404167;18.3;86.833333;63;5.8;1.4625;
2018-04-27;0;968.6375;18.541667;25.8;21.441667;18.1;83.958333;67;6.5;1.816667;
