Nome: SAPEZAL
Codigo Estacao: A911
Latitude: -13.30388888
Longitude: -58.76333333
Altitude: 105
Situacao: Operante
Data Inicial: 2017-10-19
Data Final: 2023-09-30
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2017-10-19;null;null;null;null;null;null;null;null;null;null;
2017-10-20;null;948.829167;20.008333;29.3;23.720833;null;80.166667;59;18.4;2.675;
2017-10-21;4.4;948.970833;19.795833;32.2;24.0625;19;79;47;10.9;3.045833;
2017-10-22;0;951.008333;19.129167;28.2;23.458333;20.5;78.041667;50;9.9;3.591667;
2017-10-23;0;950.716667;19.5;28.9;24.1375;20.6;76.625;55;7.4;2.241667;
2017-10-24;0;949.520833;19.675;32.2;24.6875;20.3;76.041667;44;13.3;2.3875;
2017-10-25;0;948.979167;19.254167;34.1;25.829167;21.2;70.458333;37;9.1;2.1625;
2017-10-26;.2;948.079167;19.554167;35.1;25.695833;21.3;71.541667;34;13;3.175;
2017-10-27;0;948.1125;19.3375;33.8;25.641667;21.1;71;33;13.1;3.825;
2017-10-28;0;947.9625;20.466667;32.6;25.629167;22;75.333333;45;14.6;3.2875;
2017-10-29;.2;948.129167;20.308333;32.5;24.841667;21.6;77.875;44;14.8;2.3875;
2017-10-30;.8;947.45;20.0125;33.2;25.516667;20.8;74.875;41;11.8;3.525;
2017-10-31;0;947.679167;20.1375;33.9;24.591667;20.4;78.083333;40;16;4.825;
2017-11-01;40;948.357143;20.609091;31.2;24.136364;20.2;82.590909;47;14.9;2.938095;
2017-11-02;8.4;948.278261;21.595652;31.7;25.891304;22.7;78.782609;52;9.4;2.426087;
2017-11-03;1.8;948.045833;21.5125;31.9;25.070833;22.1;81.708333;51;14.7;3.279167;
2017-11-04;.2;947.929167;20.945833;32.8;25.108333;21.9;79.625;42;16.2;3.729167;
2017-11-05;5.8;948.966667;20.508333;32.2;25.479167;21.3;76.25;46;9.6;2.904167;
2017-11-06;0;949.966667;20.4125;27.9;23.375;21;84.041667;59;11.4;3.783333;
2017-11-07;0;948.395833;19.804167;32;25.25;20.2;74.291667;41;7.9;2.220833;
2017-11-08;0;946.679167;20.733333;32.4;24.770833;20.7;80.166667;47;10.4;2.1125;
2017-11-09;4.8;946.925;21.095833;30.3;24.083333;20.9;84.666667;56;11.1;2.329167;
2017-11-10;9.2;946.654167;21.45;31.3;23.920833;21.6;87.166667;51;14.1;2.229167;
2017-11-11;20.6;947.141667;21.141667;25.7;22.729167;21;91.083333;70;8.6;3.308333;
2017-11-12;.2;947.122727;20.804545;30.5;25.309091;21.1;77.818182;53;6.9;2.363636;
2017-11-13;0;947.290909;21.227273;30;25;20.5;80.272727;58;6.9;1.990909;
2017-11-14;2.4;946.870833;21.8875;30.6;24.9625;22.1;84.375;56;10.4;1.766667;
2017-11-15;0;947.604167;21.579167;26.8;23.470833;21.8;89.458333;70;12.2;2.6875;
2017-11-16;0;948.225;21.25;30.2;23.825;20.2;86.708333;57;15.6;2.4375;
2017-11-17;24.4;947.1875;21.725;28.7;24.220833;20.2;86.708333;65;9.8;3.275;
2017-11-18;0;946.441667;21.404167;30.4;24.741667;20.6;83.25;57;10.4;3.066667;
2017-11-19;0;946.625;21.433333;29.7;23.229167;21.8;90.041667;62;10.1;2.908333;
2017-11-20;5.2;947.008696;20.804348;29.2;23.721739;20.5;84.695652;56;10.8;2.704348;
2017-11-21;0;947.786957;21.165217;28.3;22.982609;19.9;89.913043;65;15;2.986957;
2017-11-22;3.8;948.220833;21.383333;29.1;22.820833;20.8;92.125;66;12.1;2.729167;
2017-11-23;12.8;948.127273;22.104545;30.8;24.818182;20.4;85.909091;58;8.3;1.904545;
2017-11-24;9.4;948.3875;21.425;31;24.716667;20.6;83.5;54;11.5;1.933333;
2017-11-25;3.8;949.133333;22.225;29.4;24.470833;22.1;87.875;64;12.2;3.3375;
2017-11-26;1;949.326087;21.808696;29.8;23.995652;21.8;88.26087;61;13.5;3.030435;
2017-11-27;.8;948.790909;21.413636;30.7;24.15;19.8;85.863636;55;7.1;2.186364;
2017-11-28;0;950.1625;21.545833;30.4;23.775;21.3;87.916667;61;15.6;1.645833;
2017-11-29;6;948.970833;21.733333;30.5;23.9875;20.4;87.958333;58;9.2;1.7625;
2017-11-30;6;946.1625;21.795833;30;24.220833;20.6;87.083333;60;10.2;2.704167;
2017-12-01;1.6;946.045833;21.758333;25.6;23.008333;21.4;92.75;82;9.7;3.3;
2017-12-02;2;947.683333;21.491667;26.4;22.8125;21.3;92.333333;78;9.6;3.804167;
2017-12-03;11.2;947.259091;22.009091;30.3;25.022727;21.5;84.5;55;10.4;1.545455;
2017-12-04;10;948.041667;21.554167;29.6;24.541667;20.9;84.666667;50;5.6;2.041667;
2017-12-05;.2;949.491667;22;28.4;24.220833;21.4;87.666667;70;6.3;2.629167;
2017-12-06;1;949.016667;21.9625;29.8;23.8;21.2;89.958333;64;10.5;1.416667;
2017-12-07;13;948.3625;21.695833;30.6;24.691667;21.1;84.375;57;10.5;1.420833;
2017-12-08;7.6;947.125;21.95;30.7;24.495833;21.9;86.291667;57;12.1;2.1125;
2017-12-09;.4;947.229167;22.058333;29.8;23.979167;21.3;89.541667;67;13.9;2.820833;
2017-12-10;.2;945.821739;21.247826;27.1;22.491304;21.7;93;77;13.2;4.134783;
2017-12-11;15.2;946.454167;19.9375;26.9;21.5625;19.4;90.833333;69;12.2;1.404167;
2017-12-12;7.4;947.13913;20.608696;29.1;23.391304;18.6;85.347826;62;5.7;1.369565;
2017-12-13;0;948.354167;21.766667;28.5;23.758333;21.4;88.916667;69;10.8;3.220833;
2017-12-14;3;949.208696;21.378261;29.1;23.934783;20.8;86.391304;61;11.2;3.108696;
2017-12-15;1.6;948.545833;21.845833;28.4;23.5625;20.5;90.541667;69;9.6;2.104167;
2017-12-16;2.8;947.75;21.966667;29;24.066667;21.4;88.75;64;9.4;2.5875;
2017-12-17;2.8;948.183333;22.1;29.7;24.304167;20.7;88.166667;64;8.7;2.629167;
2017-12-18;34.8;949.216667;21.379167;28.5;23.345833;19.5;89.458333;62;12.7;3.083333;
2017-12-19;.2;949.841667;21.7125;28.2;23.508333;21;90.166667;67;9;3.491667;
2017-12-20;0;949.304167;21.141667;27.1;22.825;20.1;90.791667;68;15;2.054167;
2017-12-21;4.2;948.483333;21.225;29.7;23.433333;19.8;87.916667;61;14.9;2.425;
2017-12-22;1.4;948.8375;21.258333;28.5;22.925;20.8;90.916667;68;10.5;2.754167;
2017-12-23;15.6;949.266667;21.179167;28.4;23.104167;20.6;89.541667;65;12.6;2.779167;
2017-12-24;.8;948.829167;21.375;28.6;23.025;21.3;91;68;10.5;2.929167;
2017-12-25;4;948.183333;21.345833;28.6;22.9625;21;91.125;61;10.7;2.2625;
2017-12-26;26;949.008696;21.556522;26.2;22.826087;21.4;92.73913;79;10.7;2.843478;
2017-12-27;1.4;949.9375;21.2125;27.7;23.15;20.3;89.5;70;8.5;2.204167;
2017-12-28;.6;948.7875;21.591667;30.2;24.416667;20.4;85.208333;55;6.3;1.304167;
