Nome: CAMPINA DA LAGOA
Codigo Estacao: B803
Latitude: -24.57083332
Longitude: -52.80027777
Altitude: 598
Situacao: Operante
Data Inicial: 2016-08-03
Data Final: 2023-09-30
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2016-08-03;null;null;null;null;null;null;null;null;null;null;
2016-08-04;null;null;null;null;null;null;null;null;null;null;
2016-08-05;null;947.783333;13.0625;27.9;21.2375;null;61.166667;33;9.4;3.729167;
2016-08-06;0;946.270833;11.725;29.8;22.841667;16.9;51.125;29;12.2;3.854167;
2016-08-07;0;946.2875;13.854167;23.7;20.679167;18.1;66.791667;44;9.6;2.941667;
2016-08-08;54;946.879167;16.279167;17.9;16.895833;15.5;96.25;93;10.2;1.845833;
2016-08-09;36.4;949.2625;13.658333;22.9;18.05;15.1;78.041667;44;6.2;1.795833;
2016-08-10;0;952.120833;6.895833;20.6;14.216667;7.9;65.333333;29;8;2.270833;
2016-08-11;0;951.408333;5.370833;19.9;13.3875;6.8;60.458333;33;6.7;2.75;
2016-08-12;0;950.604167;7.2875;21.8;14.204167;8.1;64.958333;40;9.4;3.075;
2016-08-13;0;947.095833;8.666667;24.3;16.020833;9.3;62.958333;33;7.4;3.304167;
2016-08-14;0;945.125;11.379167;29.1;19.2125;12.7;61.458333;33;8.2;3.266667;
2016-08-15;14.8;943.154167;12.95;20.8;17.045833;15.3;78.708333;54;16.7;3.879167;
2016-08-16;27.2;943.425;14.520833;25.1;18.025;12.1;81.291667;57;8.8;2.979167;
2016-08-17;.2;943.545833;16.383333;27;21.120833;17;75;56;12.5;3.916667;
2016-08-18;.4;945.825;16.070833;22.9;17.933333;16.8;89.125;71;14.2;3.729167;
2016-08-19;21;944.7625;15.141667;21.7;17.108333;15;88.541667;69;11.6;4.108333;
2016-08-20;32.6;942.433333;15.770833;17.7;16.691667;15.7;94.25;86;10.9;3.345833;
2016-08-21;46.8;949.704167;8.7375;16;13.266667;11.1;75.583333;48;13.5;3.691667;
2016-08-22;0;954.525;3.258333;17.6;11.0625;4.9;62.416667;34;6.5;1.95;
2016-08-23;0;951.879167;5.625;22.1;13.520833;6.1;60.708333;34;7.2;2.245833;
2016-08-24;0;949.75;10.020833;24.7;16.3625;9.6;67.166667;44;10.1;4.0375;
2016-08-25;0;948.795833;14.6625;28.9;20.404167;13.7;71.083333;44;7.7;3.5875;
2016-08-26;0;947.408333;16.195833;29.4;23.520833;18.8;64.333333;43;7.8;3.720833;
2016-08-27;0;946.6;12.8875;28.2;21.966667;16.1;57.916667;30;8.7;3.541667;
2016-08-28;0;944.341667;10.908333;30.1;22.433333;15.7;49.25;28;9.5;3.729167;
2016-08-29;0;945.85;15.7625;24.2;19.116667;18;82.666667;47;7.3;2.6375;
2016-08-30;23.4;946.841667;14.108333;17.1;14.620833;13.4;96.666667;92;9.9;3.1375;
2016-08-31;7.2;947.679167;11.3875;16.4;12.975;11;90.333333;71;7.8;1.933333;
2016-09-01;.2;949.995833;10.8875;23;15.883333;8.2;74.958333;48;4.7;1.595833;
2016-09-02;0;950.3375;11.575;25.4;18.345833;11.2;66.708333;39;6.6;2.633333;
2016-09-03;0;950.145833;14;22.9;18.354167;14.1;76.5;49;5.9;2.479167;
2016-09-04;2.6;950.520833;null;22.4;17.891667;15.3;90.764706;79;6.6;1.841667;
2016-09-05;0;950;15.7875;19.4;16.608333;15.4;95.041667;81;9.1;2.045833;
2016-09-06;22.2;951.208333;8.695833;16;11.8375;10.1;82.5;54;11.4;3.495833;
2016-09-07;.2;951.654167;3.7375;18.7;10.7125;5.2;64.791667;36;7;2.154167;
2016-09-08;0;950.2875;4.725;22;13.966667;6.8;57.041667;28;7.6;2.375;
2016-09-09;0;950.270833;7.4875;27.1;17.8125;9.1;53.125;29;7.3;2.5625;
2016-09-10;0;951.404167;10.758333;28.7;19.679167;11.1;58.458333;32;6.5;2.520833;
2016-09-11;0;948.3375;12.870833;30.1;22.075;13.7;58.291667;32;7.7;2.570833;
2016-09-12;0;942.175;14.145833;31.1;24.141667;17.7;56;32;14.2;4.633333;
2016-09-13;0;940.670833;12.945833;30.7;23.920833;21.7;50.875;39;20;4.925;
2016-09-14;0;947.116667;5.495833;22.6;16.041667;10.1;53.458333;20;12.3;2.479167;
2016-09-15;0;948.166667;3.941667;24;16.254167;7.6;46.708333;24;8;2.570833;
2016-09-16;0;947.3625;6.895833;28.6;18.704167;10.7;49;22;5.9;2.825;
2016-09-17;0;945.783333;11.879167;31;22.141667;14.3;53.916667;31;7.8;3.379167;
2016-09-18;0;945.841667;14.9375;33;23.2875;18.3;60.875;36;14.8;4.345833;
