Nome: ACARAU
Codigo Estacao: 82294
Latitude: -2.885772
Longitude: -40.114075
Altitude: 21.52
Situacao: Desativada
Data Inicial: 1922-12-31
Data Final: 2011-03-17
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
1961-01-01;null;null;null;32.5;null;22.1;null;null;2;
1961-01-02;null;null;0;32.9;null;22.1;null;null;2;
1961-01-03;null;null;0;33.3;null;23.1;null;null;2;
1961-01-04;null;null;0;33.3;null;23.3;null;null;2.666667;
1961-01-05;null;null;0;32.9;null;20.7;null;null;2.666667;
1961-01-06;null;null;0;33.1;null;20.7;null;null;2;
1961-01-07;null;null;0;33.5;null;22.1;null;null;2.666667;
1961-01-08;null;null;0;33.3;null;20.7;null;null;1.333333;
1961-01-09;null;null;0;33.3;null;20.9;null;null;1.333333;
1961-01-10;null;null;0;33.5;null;22.3;null;null;1.333333;
1961-01-11;null;null;0;33.7;null;21.7;null;null;2;
1961-01-12;null;null;0;33.5;null;23.1;null;null;2.666667;
1961-01-13;null;null;0;33.7;null;22.9;null;null;3.333333;
1961-01-14;null;null;0;32.7;null;22.9;null;null;2.666667;
1961-01-15;null;null;0;32.7;null;15.1;null;null;1.333333;
1961-01-16;null;null;0;32.1;null;22.7;null;null;.666667;
1961-01-17;null;null;0;32.3;null;20.1;null;null;.666667;
1961-01-18;null;null;0;31.7;null;19.7;null;null;2.666667;
1961-01-19;null;null;15;31.7;null;20.3;null;null;.666667;
1961-01-20;null;null;25;31.7;null;21.1;null;null;2;
1961-01-21;null;null;14;32.3;null;20.5;null;null;2;
1961-01-22;null;null;0;32.5;null;20.7;null;null;1.333333;
1961-01-23;null;null;0;32.7;null;22.5;null;null;2.666667;
