Nome: ALAGAMAR CIRNE(MACAU)
Codigo Estacao: 82601
Latitude: -5.1
Longitude: -36.65
Altitude: 3
Situacao: Fechada
Data Inicial: 1964-09-30
Data Final: 1966-06-30
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
1964-09-30;null;null;null;null;null;null;null;null;null;
1964-10-01;null;null;0;null;26.25;null;74;60;9.5;
1964-10-02;null;null;0;null;26.625;null;73.75;57;9;
1964-10-03;null;null;0;null;27.275;null;69.25;55;11.333333;
1964-10-04;null;null;0;null;27.5;null;71.5;56;8.666667;
1964-10-05;null;null;0;null;27;null;71.5;57;10.333333;
1964-10-06;null;null;0;null;26.625;null;78;66;9.666667;
1964-10-07;null;null;0;null;27.1;null;74.25;63;10;
1964-10-08;null;null;0;null;26.875;null;69.75;52;12;
1964-10-09;null;null;0;null;27;null;73.75;60;10;
1964-10-10;null;null;0;null;26.875;null;71.5;54;7.666667;
1964-10-11;null;null;0;null;27.125;null;69.25;50;11;
1964-10-12;null;null;0;null;26.875;null;73.5;62;10.666667;
1964-10-13;null;null;0;null;26.25;null;73.5;66;9.333333;
1964-10-14;null;null;0;null;26.625;null;75.5;66;9;
1964-10-15;null;null;0;null;26.75;null;73;60;9.333333;
1964-10-16;null;null;0;null;26.625;null;71;60;7.333333;
1964-10-17;null;null;0;null;26.5;null;73.5;62;8.5;
1964-10-18;null;null;0;null;26.375;null;70.5;60;10;
1964-10-19;null;null;0;null;26.5;null;71.25;65;10;
1964-10-20;null;null;0;null;27.125;null;76.5;62;7.666667;
1964-10-21;null;null;0;null;26.625;null;74;68;9;
1964-10-22;null;null;0;null;26.75;null;75;68;9.666667;
1964-10-23;null;null;0;null;26.875;null;75.5;70;10.333333;
1964-10-24;null;null;0;null;26;null;71.5;66;10.666667;
1964-10-25;null;null;0;null;26.375;null;74.5;62;10.666667;
1964-10-26;null;null;0;null;26.375;null;75;66;9;
1964-10-27;null;null;0;null;25.875;null;72.5;64;10;
1964-10-28;null;null;0;null;26.25;null;68;60;11;
1964-10-29;null;null;0;null;27.875;null;64.5;46;10.333333;
1964-10-30;null;null;0;null;27.625;null;70;55;10;
1964-10-31;null;null;0;null;26.75;null;71.75;49;11.666667;
1964-11-01;null;null;0;null;26.5;null;71.25;63;11.333333;
1964-11-02;null;null;0;null;26.625;null;72.25;68;10;
1964-11-03;null;null;0;null;25.875;null;76.5;72;9.333333;
1964-11-04;null;null;0;null;26.375;null;75;68;10;
1964-11-05;null;null;0;null;26.25;null;77;68;9.666667;
1964-11-06;null;null;0;null;26.625;null;75;68;8.666667;
1964-11-07;null;null;0;null;26.625;null;75.25;69;9.666667;
1964-11-08;null;null;0;null;27;null;73.25;69;8.666667;
1964-11-09;null;null;0;null;27.75;null;67.75;60;9.666667;
1964-11-10;null;null;0;null;26.875;null;79.25;72;8.666667;
1964-11-11;null;null;0;null;27.125;null;72.75;63;9.666667;
1964-11-12;null;null;0;null;26.875;null;73.25;68;9.666667;
1964-11-13;null;null;0;null;26.875;null;72.5;68;9.666667;
1964-11-14;null;null;0;null;27.125;null;73;63;10.5;
1964-11-15;null;null;0;null;27.375;null;70.5;61;10;
1964-11-16;null;null;0;null;28;null;65.5;61;9;
1964-11-17;null;null;0;null;27.875;null;66.5;50;10.666667;
1964-11-18;null;null;0;null;28.875;null;63.5;34;9.333333;
1964-11-19;null;null;0;null;27.125;null;71;55;8.666667;
1964-11-20;null;null;0;null;27.125;null;75;69;8.333333;
1964-11-21;null;null;0;null;26.875;null;76.25;68;8.333333;
1964-11-22;null;null;0;null;27.25;null;78;72;8;
1964-11-23;null;null;0;null;27.25;null;76.5;69;7.333333;
1964-11-24;null;null;0;null;27.125;null;75.75;69;9.333333;
1964-11-25;null;null;0;null;27.125;null;76.5;69;8;
1964-11-26;null;null;0;null;27.125;null;77.75;72;8.333333;
1964-11-27;null;null;0;null;27.375;null;75.5;63;9.666667;
1964-11-28;null;null;0;null;27.25;null;75.5;66;9;
1964-11-29;null;null;0;null;27.875;null;74.75;59;9.333333;
1964-11-30;null;null;0;null;27.5;null;72.25;66;9.333333;
1964-12-01;null;null;0;null;27;null;77.75;66;8.333333;
1964-12-02;null;null;0;null;27;null;74;66;6.666667;
1964-12-03;null;null;0;null;27;null;77;72;6.666667;
1964-12-04;null;null;0;null;26.875;null;77.5;68;6.333333;
1964-12-05;null;null;0;null;27.625;null;80.5;72;6.333333;
1964-12-06;null;null;0;null;27.5;null;80.75;69;9.666667;
1964-12-07;null;null;0;null;28;null;74.5;56;8.333333;
1964-12-08;null;null;0;null;27.125;null;70.25;69;9.666667;
1964-12-09;null;null;0;null;27.25;null;72.25;66;9.666667;
1964-12-10;null;null;0;null;27.5;null;75.25;63;8;
1964-12-11;null;null;0;null;27.875;null;72.25;55;10.333333;
1964-12-12;null;null;0;null;28;null;72;50;9;
1964-12-13;null;null;0;null;27.625;null;75.75;55;8.666667;
1964-12-14;null;null;0;null;26.75;null;76;72;8.333333;
1964-12-15;null;null;0;null;27.125;null;79.25;69;7.333333;
1964-12-16;null;null;0;null;27.125;null;69.25;65;8.333333;
1964-12-17;null;null;0;null;26.75;null;80;70;7.666667;
1964-12-18;null;null;0;null;26.75;null;75.25;66;6.333333;
1964-12-19;null;null;0;null;null;null;null;76;7.5;
1964-12-20;null;null;0;null;27.75;null;70.75;53;10;
1964-12-21;null;null;0;null;27.375;null;75.75;63;8.333333;
1964-12-22;null;null;0;null;26.875;null;80;72;9;
1964-12-23;null;null;0;null;27.375;null;76.5;72;7.666667;
1964-12-24;null;null;0;null;27.375;null;77;60;9;
1964-12-25;null;null;0;null;27.75;null;75;58;8.333333;
1964-12-26;null;null;0;null;27.125;null;81.25;69;6.333333;
1964-12-27;null;null;0;null;27.125;null;80.5;76;7;
1964-12-28;null;null;0;null;27.125;null;78.5;72;9;
1964-12-29;null;null;0;null;27;null;79.5;72;8;
1964-12-30;null;null;0;null;27.25;null;76;72;6.333333;
1964-12-31;null;null;0;null;27.25;null;75;72;7.333333;
1965-01-01;null;null;0;null;26.875;null;75;66;8;
1965-01-02;null;null;0;null;27.25;null;78.75;69;8.333333;
1965-01-03;null;null;0;null;27.125;null;75.5;72;8.333333;
1965-01-04;null;null;0;null;27.25;null;69.5;60;7.333333;
1965-01-05;null;null;0;null;27.5;null;79.5;72;6.666667;
1965-01-06;null;null;0;null;27.25;null;79.5;72;6.333333;
1965-01-07;null;null;0;null;27.75;null;77.25;69;7;
1965-01-08;null;null;0;null;27.375;null;79;76;8.333333;
1965-01-09;null;null;0;null;27.5;null;75;66;9.333333;
1965-01-10;null;null;0;null;27.5;null;72;58;11.666667;
1965-01-11;null;null;0;null;26;null;83.75;66;10.333333;
1965-01-12;null;null;7.5;null;25.25;null;83;84;9.333333;
1965-01-13;null;null;.2;null;27.25;null;76;65;6.666667;
1965-01-14;null;null;0;null;27;null;75.5;72;9.666667;
1965-01-15;null;null;0;null;27.25;null;78.75;69;8.333333;
1965-01-16;null;null;0;null;27;null;79.5;72;9;
1965-01-17;null;null;0;null;27.125;null;79.5;72;9.666667;
1965-01-18;null;null;0;null;27.75;null;77.25;69;9.666667;
1965-01-19;null;null;0;null;28.25;null;71.5;60;8;
1965-01-20;null;null;0;null;27.875;null;74.5;66;9.666667;
1965-01-21;null;null;0;null;28.5;null;70;60;10;
1965-01-22;null;null;0;null;28;null;73;54;8.666667;
1965-01-23;null;null;0;null;27.625;null;80.75;66;7.333333;
1965-01-24;null;null;8.8;null;26.375;null;84.5;81;5.666667;
1965-01-25;null;null;.2;null;27.875;null;77.5;66;6;
1965-01-26;null;null;24.4;null;25.375;null;85.25;81;6;
1965-01-27;null;null;0;null;27.25;null;75;62;9;
1965-01-28;null;null;0;null;27.75;null;76.5;60;7.333333;
1965-01-29;null;null;0;null;27.625;null;77;66;11.333333;
1965-01-30;null;null;0;null;27.625;null;74.25;55;9;
1965-01-31;null;null;0;null;27.125;null;82;72;8.333333;
1965-02-01;null;null;0;null;27.625;null;80;72;8.666667;
1965-02-02;null;null;0;null;27.75;null;82.75;75;7;
1965-02-03;null;null;.7;null;27.75;null;80.75;75;6.666667;
1965-02-04;null;null;0;null;27.875;null;80.75;75;6.333333;
1965-02-05;null;null;0;null;27.875;null;80.75;75;5.666667;
1965-02-06;null;null;0;null;27.875;null;81.5;78;6.333333;
1965-02-07;null;null;0;null;28;null;80.75;75;8;
1965-02-08;null;null;0;null;28;null;80.5;72;8.333333;
1965-02-09;null;null;0;null;27.25;null;72.25;71;7.666667;
1965-02-10;null;null;0;null;28.125;null;77.5;66;10.666667;
1965-02-11;null;null;0;null;27.75;null;72.75;63;9.333333;
1965-02-12;null;null;0;null;28.25;null;72.5;58;8.666667;
1965-02-13;null;null;0;null;27.375;null;75;63;10.333333;
1965-02-14;null;null;0;null;27.5;null;73.5;66;5;
1965-02-15;null;null;0;null;28.125;null;72.75;63;8;
1965-02-16;null;null;0;null;28.25;null;73;58;9;
1965-02-17;null;null;0;null;27.5;null;75;66;9;
1965-02-18;null;null;0;null;28.125;null;74.25;66;7.333333;
1965-02-19;null;null;0;null;28.125;null;73.25;65;8.333333;
1965-02-20;null;null;0;null;28.125;null;75;66;7.333333;
1965-02-21;null;null;0;null;28.375;null;72;68;7;
1965-02-22;null;null;0;null;28.375;null;75.75;60;9;
1965-02-23;null;null;.2;null;28.75;null;74.5;72;7;
1965-02-24;null;null;0;null;28.125;null;74.25;66;9.666667;
1965-02-25;null;null;0;null;28.5;null;76.25;66;10.333333;
1965-02-26;null;null;0;null;28;null;76.5;69;9.333333;
1965-02-27;null;null;0;null;29.375;null;64.75;50;9;
1965-02-28;null;null;0;null;29.375;null;72;55;8.333333;
1965-03-01;null;null;0;null;28.75;null;80.5;70;9.666667;
1965-03-02;null;null;0;null;29.125;null;75.25;66;8;
1965-03-03;null;null;0;null;28.875;null;75;71;8;
1965-03-04;null;null;0;null;29;null;76.5;64;8.333333;
1965-03-05;null;null;0;null;28.625;null;76.5;72;12.333333;
1965-03-06;null;null;0;null;29.125;null;73.5;65;9.666667;
1965-03-07;null;null;0;null;29.25;null;72.25;61;7.666667;
1965-03-08;null;null;0;null;28.875;null;72.25;58;9;
1965-03-09;null;null;0;null;29.125;null;72;60;9;
1965-03-10;null;null;0;null;28.25;null;73.75;66;6.666667;
1965-03-11;null;null;0;null;28.625;null;72.75;66;9;
1965-03-12;null;null;0;null;28.375;null;78.5;66;7.666667;
1965-03-13;null;null;0;null;27.875;null;77.25;58;6.666667;
1965-03-14;null;null;12.8;null;28.25;null;80.25;75;5.333333;
1965-03-15;null;null;0;null;28.375;null;75.5;62;6.666667;
1965-03-16;null;null;0;null;28.75;null;74;64;7.666667;
1965-03-17;null;null;0;null;28.75;null;76.75;64;6.333333;
1965-03-18;null;null;0;null;27.875;null;85;72;5.666667;
1965-03-19;null;null;1.2;null;26.875;null;80;74;3.666667;
1965-03-20;null;null;18.3;null;27.625;null;79;74;3.333333;
1965-03-21;null;null;0;null;27.375;null;85;82;4.666667;
1965-03-22;null;null;2;null;28.375;null;77.5;68;4.666667;
1965-03-23;null;null;0;null;28.25;null;77.75;72;3.333333;
1965-03-24;null;null;4.2;null;28;null;79.5;76;4.666667;
1965-03-25;null;null;0;null;28.25;null;78.25;65;5;
1965-03-26;null;null;0;null;26.5;null;87.25;72;2;
1965-03-27;null;null;6.4;null;26.375;null;86.75;81;3;
1965-03-28;null;null;31.6;null;27.375;null;80.25;78;3.333333;
1965-03-29;null;null;15;null;27.25;null;84.5;81;5.666667;
1965-03-30;null;null;10;null;27.625;null;80.75;75;4.333333;
1965-03-31;null;null;12.2;null;27.875;null;84;78;4.333333;
1965-04-01;null;null;31.2;null;26;null;89.5;78;2.333333;
1965-04-02;null;null;0;null;27.875;null;79.5;78;3.333333;
1965-04-03;null;null;17.8;null;27;null;87;81;3.666667;
1965-04-04;null;null;0;null;26.875;null;83.75;78;10;
1965-04-05;null;null;0;null;25.625;null;87.75;75;4.666667;
1965-04-06;null;null;98.8;null;26.125;null;86.25;85;3.333333;
1965-04-07;null;null;29;null;27.75;null;81.75;75;5.666667;
1965-04-08;null;null;.1;null;27.875;null;80.25;75;4.666667;
1965-04-09;null;null;0;null;26.25;null;81;78;4.333333;
1965-04-10;null;null;0;null;26.375;null;86;78;2.666667;
1965-04-11;null;null;3.6;null;27.375;null;81.5;72;9.333333;
1965-04-12;null;null;0;null;26.875;null;84;78;4.333333;
1965-04-13;null;null;3.4;null;26;null;86.5;78;2.666667;
1965-04-14;null;null;8.8;null;26.25;null;89.75;85;2;
1965-04-15;null;null;7.6;null;26.875;null;83.75;75;4.666667;
1965-04-16;null;null;0;null;26.125;null;87.5;85;3.666667;
1965-04-17;null;null;3.6;null;25.875;null;90.25;85;3.666667;
1965-04-18;null;null;5.4;null;25.75;null;88.5;78;5;
1965-04-19;null;null;2.1;null;26.25;null;87.75;75;3.666667;
1965-04-20;null;null;1.5;null;26;null;89.5;85;3.666667;
1965-04-21;null;null;4.4;null;26.625;null;85.25;72;2.333333;
1965-04-22;null;null;0;null;26.625;null;85.75;78;3.666667;
1965-04-23;null;null;21;null;26.625;null;85.75;78;5.333333;
1965-04-24;null;null;2.6;null;26.125;null;90.5;85;3.333333;
1965-04-25;null;null;2.2;null;27.125;null;86;78;4.666667;
1965-04-26;null;null;2.9;null;26.25;null;87.5;82;3.333333;
1965-04-27;null;null;1.8;null;25;null;91.25;85;4.333333;
1965-04-28;null;null;24;null;26.75;null;86.75;81;5.333333;
1965-04-29;null;null;2.4;null;26.25;null;86.75;81;3;
1965-04-30;null;null;7;null;25.5;null;91.5;82;6;
1965-05-01;null;null;8.8;null;24.75;null;90;92;2.333333;
1965-05-02;null;null;22;null;27;null;83.75;78;4.666667;
1965-05-03;null;null;0;null;25.875;null;89.5;78;3;
1965-05-04;null;null;12.4;null;26.375;null;86.75;78;4;
1965-05-05;null;null;2.4;null;26.75;null;89.5;78;4.666667;
1965-05-06;null;null;.2;null;26.25;null;84.5;77;5;
1965-05-07;null;null;5.8;null;25.875;null;85.5;74;6.666667;
1965-05-08;null;null;2.2;null;27.625;null;78.5;64;7;
1965-05-09;null;null;0;null;27;null;82.5;69;8;
