Nome: SAO GONCALO
Codigo Estacao: 82689
Latitude: -6.83583333
Longitude: -38.31166666
Altitude: 237.04
Situacao: Operante
Data Inicial: 1938-10-07
Data Final: 2023-08-01
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
1961-01-01;7;11.2;null;null;null;20.5;58.25;37;1.533333;
1961-01-02;6;9.7;0;null;null;20.8;53.25;33;1.866667;
1961-01-03;6.5;11.5;0;null;null;20.4;56;37;2.2;
1961-01-04;6;10.2;0;null;null;22.4;60.75;33;2;
1961-01-05;7;9.9;0;null;null;22.6;54.5;39;3.033333;
1961-01-06;6.2;11.3;0;null;null;21.4;54.5;42;1.266667;
1961-01-07;7;11;0;null;null;21.4;53.5;47;1.366667;
1961-01-08;5.5;10.9;0;null;null;22;56.25;42;3.533333;
1961-01-09;4.7;10.4;0;null;null;22.8;52.25;37;3.433333;
1961-01-10;5.5;9.6;0;null;null;20.8;48.25;38;2;
1961-01-11;4.7;11;0;null;null;22.4;57;41;1.9;
1961-01-12;4.8;9;0;null;null;22.4;54.5;41;3.466667;
1961-01-13;4.5;10.2;0;null;null;23.4;51.75;41;1.033333;
1961-01-14;7.6;4.6;0;null;null;22.8;51.25;39;5.533333;
1961-01-15;8.5;10.2;0;null;null;21.4;50.25;38;3.4;
1961-01-16;7;6.5;0;null;null;21.8;80;55;3.433333;
1961-01-17;1;3.8;100.2;null;null;20.6;80.5;61;0;
1961-01-18;.5;0;19.1;null;null;21.4;88;85;0;
1961-01-19;.7;2.5;1.6;null;null;21.4;89.5;85;0;
1961-01-20;1.9;6.4;5.4;null;null;22;74.75;54;1.266667;
1961-01-21;1.7;4.5;0;null;null;21.6;76.25;60;2;
1961-01-22;.7;1;5.2;null;null;20.4;72.25;53;0;
1961-01-23;.9;1.3;6.2;null;null;20.5;88.5;67;0;
1961-01-24;.5;8.8;30;null;null;19.9;72.25;51;.333333;
1961-01-25;.6;6.7;2.1;null;null;22.4;75.75;60;.566667;
1961-01-26;2;8.4;0;32.1;26.18;22.8;75.25;56;.5;
1961-01-27;3;8.7;0;33.5;27.18;20.8;72.25;54;.666667;
1961-01-28;3.5;10.8;0;33;26.88;21.8;63.75;50;0;
1961-01-29;5;11.4;0;33.5;26.84;20.5;62.25;45;0;
1961-01-30;5;10.5;0;33.4;26.72;21.6;70.25;51;0;
1961-01-31;2;0;10.2;28.6;25.04;21;81.5;64;1.633333;
1961-02-01;3;3.6;1.1;31.6;26.4;21.4;69.75;65;1.233333;
1961-02-02;2.1;7;6.7;32.6;26.86;21.5;67.5;54;.666667;
1961-02-03;2.9;3.4;0;33;26.64;20.4;66.25;52;.633333;
1961-02-04;3.1;7.1;0;31.6;26.12;21;75;66;.733333;
1961-02-05;2.8;6.9;0;30.4;26.08;21.8;78.75;60;1.033333;
1961-02-06;2.7;9.2;0;31.6;26.1;22.4;79.75;66;.666667;
1961-02-07;2.8;7.1;0;31.8;26.16;22.4;76.5;54;.333333;
1961-02-08;3.7;.6;0;31.8;26.26;21.4;75.25;54;0;
1961-02-09;1.1;2.2;19.1;29;24.28;20.8;88.75;70;.566667;
1961-02-10;2.9;6.7;2.5;31.8;24.12;20.4;83.75;61;0;
1961-02-11;2;6.7;6.2;31.7;25.4;20.8;84.25;60;0;
1961-02-12;.8;4.8;9;30.6;23.86;20.4;85;63;1.066667;
1961-02-13;.7;6.2;2.5;30.6;24.06;20.5;87.25;66;1.366667;
1961-02-14;4;11.1;0;30;24.92;20.5;73.5;65;.4;
1961-02-15;3;9.3;0;31.4;26.02;21.4;80.75;64;0;
1961-02-16;.5;.5;36.7;27.8;23.84;20.4;92.25;83;0;
1961-02-17;.6;3.9;118.4;28.6;24;20.4;82;73;.6;
1961-02-18;2.4;8.6;6.2;32;24.96;20.5;81.25;55;2.433333;
1961-02-19;3;8.6;2.2;30.2;26.24;22.4;77.25;64;.733333;
1961-02-20;4;9.7;0;31.5;26.22;22.4;73.75;54;0;
1961-02-21;2;8.5;0;31.3;25.9;21.6;78;65;0;
1961-02-22;1;11.4;4;30.8;25.44;20.5;76.25;59;.733333;
1961-02-23;3;10.8;0;32.6;25.3;20.4;80.75;55;1.066667;
1961-02-24;3;10.2;11.3;30.2;24.9;20.4;76;60;.666667;
1961-02-25;3;10.2;0;30.6;25.68;22;74;63;0;
1961-02-26;4;9;0;31.6;26.8;22.6;70.75;54;.833333;
1961-02-27;4.5;9.3;0;31.5;26.4;21.5;70;58;2.233333;
1961-02-28;5.5;10.9;0;31.9;26.02;20.6;74.75;59;.833333;
1961-03-01;1;9.3;30.2;32.8;26.28;21.8;70.5;54;1.366667;
1961-03-02;3;9.5;0;31.6;26.24;21.9;76.25;60;0;
1961-03-03;5;10.3;0;33.2;25.98;21.5;73.5;53;1.533333;
1961-03-04;5.6;10.4;0;33.1;26.06;20.6;69.5;58;.6;
1961-03-05;2.4;7.5;0;31;25.6;20;77.5;65;.5;
1961-03-06;5;9.9;0;32;26.14;19.5;66.5;54;0;
1961-03-07;5.1;11;0;33.4;26.74;20.5;64.75;45;.666667;
1961-03-08;3.9;10.5;0;34;27.02;20.5;64.75;51;0;
1961-03-09;3;10.6;0;33.8;27.14;21.7;75;50;0;
1961-03-10;5;10.9;0;33.1;26.46;20.6;61.75;48;1.566667;
1961-03-11;4.6;8.4;0;34.7;26.86;22.5;59.25;46;2.8;
1961-03-12;4.4;8.8;0;32.3;25.94;20.8;68;56;1.2;
1961-03-13;4.6;6.8;0;31.6;25.84;21.6;71.75;53;.566667;
1961-03-14;4.4;.7;0;29.9;25.12;21.5;74.25;61;1.033333;
1961-03-15;3;8.4;0;32.6;26.16;21.4;77.75;60;.566667;
1961-03-16;2;9.6;0;33.2;26.94;22.5;64.75;50;.833333;
1961-03-17;4.3;8.2;0;34.2;26.64;20.8;70.75;51;1.533333;
1961-03-18;3.2;5.2;5;32.3;26.06;21.6;81.5;75;2.7;
1961-03-19;2.5;5.1;0;34;27.32;22.9;64;46;2.133333;
1961-03-20;3;6.2;0;33;26.4;20.4;77.5;56;0;
1961-03-21;4.2;7.7;0;32.5;26.82;22.6;62.75;50;.8;
1961-03-22;.8;1.9;50.1;30;24.26;20.4;74;63;1.433333;
1961-03-23;1.2;7.3;0;31.9;25.78;21.5;70.25;61;.8;
1961-03-24;2.8;9.3;42.3;32.3;25.9;22.4;78.75;56;1.3;
