Nome: SERIDO (CAICO)
Codigo Estacao: 82690
Latitude: -6.46749999
Longitude: -37.08499999
Altitude: 171.26
Situacao: Operante
Data Inicial: 1995-03-13
Data Final: 2023-08-01
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
1995-03-13;5.8;5.2;0;34.4;28.4;21.6;60.5;47;4.333333;
1995-03-14;7.5;5.7;5.7;35.2;28.16;23;70.25;48;3.666667;
1995-03-15;6;3.8;.6;33.3;26.74;22.6;79.25;67;3.333333;
1995-03-16;.3;2.4;0;33.6;28.4;18;62.5;56;3.666667;
1995-03-17;4.4;9.8;0;35.6;29.68;17.6;63.5;40;3.333333;
1995-03-18;8.4;10.9;0;36.6;29.04;23.6;62.5;37;3.666667;
1995-03-19;7.7;10.1;0;36.6;30;23.8;57.5;42;4.666667;
1995-03-20;7.2;8.5;1.4;36.2;28.86;23.9;64.75;41;5.666667;
1995-03-21;6.8;6.4;1.4;35.4;28.6;24.2;66.75;49;4.333333;
1995-03-22;5.2;5.7;0;36.4;28.8;23.2;61.5;45;3;
1995-03-23;10;6.9;0;37;28.68;23.8;67.75;38;3.333333;
1995-03-24;2.5;7.1;0;37.4;29.28;24.2;65.5;45;6;
1995-03-25;5;4.7;26;34.4;26.76;22.8;80.5;53;3.666667;
1995-03-26;3.2;7.7;0;33.2;26.76;21.4;74.75;57;2.333333;
1995-03-27;3.6;1.7;0;32.8;26.24;18.6;81.25;71;2;
1995-03-28;3.2;11;0;33.6;27.2;18.8;68.75;45;2.666667;
1995-03-29;5.8;8;0;34.8;28.24;23.6;65;44;5;
1995-03-30;5;8.8;20;35.4;26.48;18.6;75.25;48;2.333333;
1995-03-31;4.5;9.4;2;34;27.44;23;76.75;55;4;
1995-04-01;3.5;7.3;0;34.6;27.64;18.2;65.5;56;3.666667;
1995-04-02;5.8;3.7;0;34.2;26.72;18;72;54;3.666667;
1995-04-03;4;8.9;5.2;34.8;26.28;18.6;79.75;50;2.333333;
1995-04-04;3;6.7;.2;34;26.48;18.2;75;53;2;
1995-04-05;3.4;2.1;14.3;31.4;25.56;18.2;84.5;78;3;
1995-04-06;2.3;7.6;12.4;33.4;25.96;18.8;79.75;54;3.666667;
1995-04-07;3.1;9.9;6.8;33.2;25.68;18.4;79.75;54;3;
1995-04-08;3.7;2;0;31;25.6;18.2;83.75;79;2.666667;
1995-04-09;2.5;.6;7.9;30.8;24.84;17.6;91.5;81;4.333333;
1995-04-10;2.3;5;15.8;32.2;25.04;17.4;81;57;3;
1995-04-11;2.6;.5;3.6;31.2;24.84;17.8;86.25;74;1.666667;
1995-04-12;2;5.6;1.2;33;25.4;17.2;83.75;60;2.666667;
1995-04-13;2.4;4.1;1.6;31.4;25.04;17.8;84.75;66;3;
1995-04-14;2.2;3.8;3.2;31.4;25.2;18.2;89;84;4;
1995-04-15;1.7;2.7;0;31.8;25.52;17.8;82.5;62;2.666667;
1995-04-16;2.3;5.2;0;33;25.72;17.4;77.25;48;3;
1995-04-17;3.7;5.7;0;33.2;26.12;17.6;73.75;52;2.066667;
1995-04-18;4.7;8.5;4.4;32.8;26.4;18.2;70.25;53;4;
1995-04-19;5.3;5.7;0;32.6;26.36;19.2;75.75;72;4.333333;
1995-04-20;4.2;5.6;0;33.4;25.84;17.6;72.75;54;3;
1995-04-21;4.4;8.7;0;33.8;27;17.6;61.25;48;2.666667;
1995-04-22;3.8;9.9;0;34;26.44;17.2;71.25;49;3.333333;
1995-04-23;5.5;7.4;0;34.8;27.32;16.8;65.25;50;3;
1995-04-24;5.1;8.6;0;35.4;27.36;18.2;67.25;47;4;
1995-04-25;5.4;4.7;3.2;32.2;26.08;18.8;75;61;2;
1995-04-26;4.2;7.9;.9;34.4;27.52;18.4;65.75;51;2.666667;
1995-04-27;4.2;8.4;0;34.8;27.76;17.6;56;42;5.333333;
1995-04-28;7.2;6.4;0;35.4;27.76;18;63.5;44;3.666667;
1995-04-29;5.7;6.3;0;35.6;27.6;18.8;60.75;40;4.666667;
1995-04-30;7;2.5;0;33.6;26.2;18.8;77.75;52;3.666667;
1995-05-01;5.3;5.7;0;34.4;25.64;17.6;92;68;2.666667;
1995-05-02;2.3;6.5;26.9;32;25.32;17.6;83.5;70;2.333333;
1995-05-03;2.7;7.9;1.9;33.8;26.04;17.8;71.25;53;3.666667;
1995-05-04;4.7;8.8;.4;34.8;26.6;17.4;70.5;47;3;
