Nome: UMBUZEIRO
Codigo Estacao: 82779
Latitude: -7.7
Longitude: -35.67
Altitude: 499
Situacao: Desativada
Data Inicial: 1928-12-31
Data Final: 1977-03-31
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
1961-01-01;null;null;null;29.6;23.24;19.3;75.5;47;1.9;
1961-01-02;null;null;0;30.6;23.34;19.4;70;40;1.4;
1961-01-03;null;null;0;30.7;23.46;19.2;73.5;41;1.4;
1961-01-04;null;null;0;31.5;23.94;19.8;73.25;43;1.4;
1961-01-05;null;null;0;30.2;23.44;19.8;76;53;.9;
1961-01-06;null;null;0;30.5;23.02;18.8;73.5;44;1.4;
1961-01-07;null;null;0;30.7;23.2;18.9;73.75;43;1.4;
1961-01-08;null;null;0;29.8;22.9;18.7;78;51;1.9;
1961-01-09;null;null;0;29.7;22.96;19.5;76.5;48;1.4;
1961-01-10;null;null;0;30.8;23.7;19.4;72.5;46;.9;
1961-01-11;null;null;0;30.8;23.2;18.8;74.75;55;2.4;
1961-01-12;null;null;0;30.4;23.6;19.4;75.5;59;1.9;
1961-01-13;null;null;0;29.5;22.94;19.4;78.25;57;1.4;
1961-01-14;null;null;0;29.6;23.14;19.7;74;45;.9;
1961-01-15;null;null;0;30.4;23.28;19.4;72;42;.9;
1961-01-16;null;null;25;25.7;21.58;18.6;89.25;77;.9;
1961-01-17;null;null;14.8;24.7;21.38;19.2;93;85;.9;
1961-01-18;null;null;48.3;23;20.6;18.4;96.25;91;.9;
1961-01-19;null;null;11.2;24.3;21.24;19.5;95;89;.9;
1961-01-20;null;null;18.4;23.1;20.08;18.3;94.75;84;.9;
1961-01-21;null;null;7;23.3;20.26;18.5;93.75;81;.9;
1961-01-22;null;null;113;25;21.02;18.2;93.5;79;.3;
1961-01-23;null;null;40.4;23.8;21.18;19.7;94.75;89;1.1;
1961-01-24;null;null;6;27.1;21.88;19;87.5;71;1.4;
1961-01-25;null;null;0;28.4;22.64;19.4;81;62;2.4;
1961-01-26;null;null;0;29.4;22.96;19;80.75;57;1.4;
1961-01-27;null;null;0;28.6;22.8;20;84;61;.9;
1961-01-28;null;null;0;28.7;22.62;19.7;80.25;56;1.4;
1961-01-29;null;null;0;28.3;22.44;18.4;75.5;51;2.566667;
1961-01-30;null;null;0;29.9;22.66;19;80.75;52;1.4;
1961-01-31;null;null;0;28.7;22.9;19.6;81;59;.9;
1961-02-01;null;null;0;27.5;21.94;19;83.5;59;1.4;
1961-02-02;null;null;0;28.9;22.78;19;78.25;49;.9;
1961-02-03;null;null;0;28.8;22.56;19;78.75;53;1.4;
1961-02-04;null;null;0;29;22.7;19.1;77.75;50;.9;
