Nome: CABROBO
Codigo Estacao: 82886
Latitude: -8.50388888
Longitude: -39.31527777
Altitude: 342.78
Situacao: Operante
Data Inicial: 1927-10-16
Data Final: 2023-08-01
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
1961-01-01;null;null;null;34;30.04;24.3;46;42;1.1;
1961-01-02;null;null;0;35;29.86;23.4;45.5;38;.3;
1961-01-03;null;null;0;35.7;30.62;24.3;45;39;2.233333;
1961-01-04;null;null;0;36;29.48;24.3;59;38;.6;
1961-01-05;null;null;0;36;29.92;25.4;54.75;37;1.6;
1961-01-06;null;null;0;36;30.82;24;51;45;1.9;
1961-01-07;null;null;0;35;31.02;24.3;42.25;41;1.1;
1961-01-08;null;null;0;35.3;31.04;23.7;45.25;39;1.1;
1961-01-09;null;null;0;36;30.84;24.3;49.25;41;2.566667;
1961-01-10;null;null;0;null;null;23.7;49.5;40;2.066667;
1961-01-11;null;null;0;35.6;30.94;24.5;58;52;2.566667;
1961-01-12;null;null;0;35.4;30.5;25;54.5;47;2.266667;
1961-01-13;null;null;0;35;28.68;23.9;59;49;1.1;
1961-01-14;null;null;0;35.4;28.64;24.1;58.75;42;2.566667;
1961-01-15;null;null;0;36;29.56;24.5;61.75;48;1.1;
1961-01-16;null;null;0;36;28.66;24.5;64;41;1.6;
1961-01-17;null;null;0;35;28.52;23.4;62.75;44;3.233333;
1961-01-18;null;null;33;31.7;26.36;23;78.5;65;1.9;
1961-01-19;null;null;16.6;31.5;25.78;21.2;77;69;.9;
1961-01-20;null;null;5.8;30.6;25.06;21.5;73.5;63;.6;
1961-01-21;null;null;0;30;26.26;21.4;60;57;.3;
1961-01-22;null;null;25.1;29;23.72;20.5;80.5;52;.3;
1961-01-23;null;null;1.2;null;null;21.2;86.5;72;.3;
1961-01-24;null;null;0;32.6;26.72;21.5;65.75;52;.3;
1961-01-25;null;null;0;28;25.86;21.7;67.75;57;.9;
1961-01-26;null;null;0;33;28;22.2;58;46;.9;
1961-01-27;null;null;0;33;28.4;22.6;60.25;50;.6;
1961-01-28;null;null;2;33;27.86;22.7;64.25;49;.9;
1961-01-29;null;null;0;33;27.42;21.5;64.25;50;.6;
1961-01-30;null;null;0;37;26.76;21.2;69.75;39;.6;
1961-01-31;null;null;0;37;28.42;22.3;63.5;38;.9;
1961-02-01;null;null;0;null;null;22.7;60.25;47;.9;
1961-02-02;null;null;0;null;null;21.5;56.75;45;.9;
1961-02-03;null;null;0;null;null;22.2;54.75;45;.9;
1961-02-04;null;null;0;null;null;22.2;65.25;42;.9;
1961-02-05;null;null;0;null;null;21.5;61.5;37;.9;
1961-02-06;null;null;0;null;null;21.8;58.5;37;1.4;
1961-02-07;null;null;0;null;null;22.2;62;48;.9;
1961-02-08;null;null;1;null;null;22.2;57.75;36;1.6;
1961-02-09;null;null;0;null;null;23.2;59.75;38;1.1;
