Nome: LAVRAS-ESAL.
Codigo Estacao: 83023
Latitude: -21.23
Longitude: -45
Altitude: 842
Situacao: Desativada
Data Inicial: 1956-12-31
Data Final: 1984-04-24
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
1961-01-01;.3;2.4;null;26.1;21.34;18.9;89;75;1;
1961-01-02;1.6;1.4;13.6;24.7;20.74;19;93.5;88;1.666667;
1961-01-03;1.1;6.2;13.8;27.3;21.52;19;91.25;74;.666667;
1961-01-04;1.4;1.9;16.6;25.7;21.26;19;96.25;92;.333333;
1961-01-05;.7;2.1;24.5;23.8;21.14;19;93.25;92;1.333333;
1961-01-06;1;2.6;12.6;26.1;21.6;19.2;90;82;1;
1961-01-07;1.1;4.4;9.4;27.1;21.8;18.9;88;72;.666667;
1961-01-08;1.6;2.8;65.4;27.5;21.94;18.9;86.5;67;.666667;
1961-01-09;1.2;7.2;.8;28.2;22.24;19.2;85.75;64;2.333333;
1961-01-10;1.8;6.4;47.2;27.9;22.54;18.3;82.75;66;2;
1961-01-11;3.4;6.7;1.2;26.8;21.68;18.1;81.25;64;.666667;
1961-01-12;.4;1.7;0;24;20;18;87.25;76;2;
1961-01-13;1.5;2.7;12.2;23.8;19.98;17.9;88.75;84;1.333333;
1961-01-14;1.1;8.7;8.9;27.5;21.68;17.3;76.75;61;2.666667;
1961-01-15;2.3;11.1;3.4;28;21.02;15.6;74.25;56;.666667;
1961-01-16;2.4;5;0;25.7;20.06;16.9;82.75;74;2;
1961-01-17;1.2;10.8;6.8;29.5;21.9;15.4;76;48;.666667;
1961-01-18;2.9;11.6;0;30.5;23.5;17;69;48;1;
1961-01-19;3.1;4.1;1.6;27.8;21.34;18.9;86;67;.666667;
1961-01-20;1.7;6.6;2.1;28.4;21.16;17.1;84.75;59;.666667;
1961-01-21;1.8;7;4.2;26.9;21.72;17.9;80.75;68;.666667;
1961-01-22;1.9;5.8;2;28.1;21.86;18.1;77.5;55;.666667;
1961-01-23;2.2;1.8;0;25.4;21.44;19;91.5;85;.333333;
1961-01-24;1;3.7;7.7;26.7;21.76;18.2;86.75;71;0;
1961-01-25;1.2;1.4;6.4;25.5;21.44;19;91;81;.666667;
1961-01-26;.9;0;6.3;20.9;18.52;17.2;91.25;93;1.666667;
1961-01-27;.9;0;6.5;22.5;18.5;16.3;93.5;88;1.666667;
1961-01-28;.8;.4;13.3;22.3;19.44;16.8;92.75;88;.666667;
1961-01-29;.7;2.5;22.6;25.7;20.32;18.1;92;78;.666667;
1961-01-30;.9;6.8;9;27.4;21.44;17.3;83.5;59;.666667;
1961-01-31;1.8;3.1;0;26.4;21.32;19;84;66;.333333;
1961-02-01;1.4;2.9;0;26.9;21.7;17.6;88.5;81;.333333;
1961-02-02;1.5;9.4;1;29.9;22.3;17.3;76.25;59;.333333;
1961-02-03;2.5;10.8;0;31;22.94;16.9;71.5;50;2;
1961-02-04;3.1;8.9;0;29.1;21.56;17.2;78.5;64;2.333333;
1961-02-05;2.5;4.9;0;27.8;21.5;16.9;81.75;65;0;
1961-02-06;1.8;10.1;0;30.1;22.04;16.9;76.5;52;.333333;
1961-02-07;2.9;8.1;0;29.9;23.04;17.9;74.75;56;.666667;
1961-02-08;2.8;7.9;0;30.7;23.32;20.1;78.5;53;0;
1961-02-09;2.5;9.5;1.2;30.4;22.98;17.6;78.75;53;.666667;
1961-02-10;2.4;7.6;0;29.3;22.66;19.1;79.25;57;1;
1961-02-11;2.5;6.1;24.3;27.8;22.22;18.1;82.5;66;.333333;
1961-02-12;1.7;2;1.6;25.4;21.42;19.9;96.25;90;0;
1961-02-13;.8;0;50.8;20.9;18.5;17;94;88;0;
1961-02-14;.3;0;97.2;18.7;16.62;15.4;95.75;95;3.333333;
1961-02-15;.7;0;24.9;19.5;17.3;15.3;91;86;2.333333;
1961-02-16;.8;2;3.8;23.9;19.74;16.9;90.5;84;1.333333;
1961-02-17;.8;.3;8.5;22;19.16;17.1;93.25;91;0;
1961-02-18;1;.3;.2;23.2;19.38;17.1;88.25;74;0;
1961-02-19;1;3.8;.3;25.5;20.88;17.3;83.5;70;.333333;
1961-02-20;2;2.4;16.9;24;20.14;17.9;90.25;78;1.666667;
1961-02-21;1.2;7.4;9.2;26.3;20.98;17.9;83;67;1.333333;
1961-02-22;1.7;4.3;0;27;21.26;18.1;85.25;65;.666667;
1961-02-23;1.5;1.2;24.9;25.7;20.86;18.9;94.25;89;.666667;
1961-02-24;1;3.5;10;27.1;20.84;17.6;85.5;68;1;
1961-02-25;1.7;5.7;0;27.9;20.84;18;87;66;0;
1961-02-26;1.8;8.7;3.8;28.7;21.62;18.1;83.25;58;1;
1961-02-27;2.4;5.2;57.7;27.4;21.14;18.2;86.25;61;1;
1961-02-28;1.7;4.7;.1;26.9;21.58;18.6;86.5;71;0;
1961-03-01;1.6;4.6;0;27.9;20.88;18.1;87.75;66;.666667;
1961-03-02;1.6;2.8;23;24.9;20.42;17.9;83.25;67;.666667;
1961-03-03;1.5;11.3;0;28.1;19.82;12.9;75.75;54;.333333;
1961-03-04;2.8;9.3;0;28.9;21.58;17;81;59;0;
1961-03-05;2.2;8.3;0;28.8;21.86;18.3;86;60;.333333;
1961-03-06;3.8;4.9;40.2;27;21.12;18.6;89.5;70;1;
1961-03-07;1.6;1.3;8.1;25.7;20.22;18.6;94.5;78;1;
1961-03-08;1;2.5;20.9;24.7;20.56;18.1;90.5;75;1;
1961-03-09;1.3;8.2;.1;28.2;22.28;18.7;83;64;0;
1961-03-10;2.2;10;.9;29.8;23.38;18.9;81.25;61;.333333;
1961-03-11;2.4;8.7;0;29.8;23.38;19.6;80;60;0;
1961-03-12;2.1;7;0;30.1;22.58;19.1;84;68;.333333;
1961-03-13;1.9;5.7;5.4;27.8;21.46;17.1;86.5;78;.333333;
1961-03-14;1.6;4.8;0;27.8;21.78;17.1;84.75;78;.333333;
1961-03-15;1.6;7;0;29.1;22.24;17.3;84.5;74;1.333333;
1961-03-16;1.6;7.7;0;28.9;22.52;18.1;80.5;60;.666667;
1961-03-17;2.4;9.4;2.1;29.9;24.66;17.9;64;56;.333333;
1961-03-18;2.2;4;3.1;27.8;21.94;19.1;86.25;58;0;
1961-03-19;1.2;8;0;29.5;21.92;18.1;81.5;55;0;
1961-03-20;1.4;9.5;4.5;28.4;22.04;17.3;80.5;60;.333333;
1961-03-21;2.2;10;1;29.1;23.24;19.4;76.75;57;.333333;
1961-03-22;2.2;9.4;0;28.4;22.26;18.9;77.75;59;.666667;
1961-03-23;2.3;10.1;0;27.9;21.74;17.1;76;61;1.333333;
