Nome: FAZENDA IPANEMA
Codigo Estacao: 83204
Latitude: -23.42
Longitude: -47.58
Altitude: 584
Situacao: Desativada
Data Inicial: 1948-12-31
Data Final: 1970-12-31
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
1961-01-01;1.1;1;null;null;null;18.7;90.75;78;2.366667;
1961-01-02;1.8;0;16.9;null;null;20.6;94.75;93;2.366667;
1961-01-03;.8;9.3;26.4;null;null;18.7;81.5;61;0;
1961-01-04;2.9;7.9;0;null;null;18.5;83;67;0;
1961-01-05;2.3;7;0;null;null;18.1;81.25;63;2.233333;
1961-01-06;.8;2.2;0;null;null;18.7;92.5;85;1.466667;
1961-01-07;2;3.1;14.2;null;null;20.1;85.75;82;2.933333;
1961-01-08;2.4;.9;0;null;null;18.5;86.5;82;2.333333;
1961-01-09;2.6;6.3;0;null;null;19.1;84.25;73;.6;
1961-01-10;2.3;5.7;0;null;null;18.9;84;68;.566667;
1961-01-11;3.7;6.7;0;null;null;20.5;83.75;75;1.666667;
1961-01-12;3.1;1.2;0;null;null;17.3;79.75;64;1.4;
1961-01-13;4.4;11;0;null;null;17.3;78;61;.733333;
1961-01-14;3.1;6.9;.5;null;null;19.1;81.5;66;0;
1961-01-15;2.9;8;0;null;null;18.8;78.5;66;1.966667;
1961-01-16;3.4;10.9;0;null;null;16.7;78;66;1.133333;
1961-01-17;2.4;10.3;0;null;null;19.3;79;72;1.866667;
1961-01-18;4;5.9;0;null;null;19.2;82.25;68;0;
1961-01-19;2.7;1.6;.8;null;null;19.1;80.75;64;0;
1961-01-20;2.6;5.3;17.6;null;null;19.1;82;78;.666667;
