Nome: RIO FERRO
Codigo Estacao: 83218
Latitude: -12.58
Longitude: -54.75
Altitude: 480
Situacao: Desativada
Data Inicial: 1961-12-31
Data Final: 1966-06-30
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
1961-12-31;null;null;null;null;null;null;null;null;null;
1962-01-01;1.6;null;null;31.3;24.22;20.4;81.75;58;2;
1962-01-02;3.5;null;0;29.2;24.42;21.8;84.25;67;2.333333;
1962-01-03;2.4;null;2;25.9;23.28;21.9;91.5;82;1;
1962-01-04;1.1;null;11;31;24.54;21.6;87.5;71;.666667;
1962-01-05;2.6;null;2.3;32.1;25.22;21.9;83.25;61;.666667;
1962-01-06;3.8;null;.2;29.5;23.82;20.8;92.25;80;.666667;
1962-01-07;1.3;null;51.1;27.5;23.26;20.7;90.75;84;0;
1962-01-08;1.4;null;3.4;31;24.4;21.1;85.5;63;.333333;
1962-01-09;2.4;null;.1;32.8;24.98;20;85.5;62;1;
1962-01-10;3;null;3.2;32.1;25.06;21;84.25;63;1;
1962-01-11;2.8;null;0;29.4;24.92;22;84.75;77;1.666667;
1962-01-12;2.5;null;2.2;30.8;23.76;20.9;94.75;89;.333333;
1962-01-13;1.6;null;22.4;30.4;24.46;21;88.5;74;1.333333;
1962-01-14;2;null;31.4;31.1;23.62;20.2;86.25;63;1;
1962-01-15;1.7;null;49.2;29.6;23.62;20.7;92;79;.666667;
1962-01-16;1.6;null;12.4;27.8;23.14;20.6;89;77;0;
1962-01-17;1.5;null;7.2;24.7;22.46;21.3;95;92;1;
1962-01-18;.7;null;6.2;30.6;24;20.2;85.5;68;1.666667;
1962-01-19;2.3;null;16.2;33;25.48;21;82;54;1.666667;
