Nome: COXIPO DA PONTE
Codigo Estacao: 83360
Latitude: -15.6
Longitude: -56.1
Altitude: 223
Situacao: Desativada
Data Inicial: 1921-12-31
Data Final: 1966-12-31
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
1961-01-01;1.8;1.2;null;30.1;25.24;22.4;87.75;74;1;
1961-01-02;1.3;4.4;0;32.4;27.5;23.6;75;61;1.666667;
1961-01-03;2.3;4.1;2;31;25.96;23.9;81.75;65;2;
1961-01-04;2.2;3.4;12.8;30.4;26.08;23.5;84.25;69;1.333333;
1961-01-05;2;3.6;1.4;30.5;26.48;23.8;80.25;68;1.666667;
1961-01-06;2.1;5.7;4.2;30;26.46;24.2;80.75;66;1.666667;
1961-01-07;2.6;9.1;0;32;27.56;24.5;78;61;2;
1961-01-08;2.7;3.8;0;30.8;26.68;24.1;91.25;80;1.666667;
1961-01-09;.3;3.7;16.5;31.5;25.96;24;86.75;66;1.666667;
1961-01-10;2.6;6.2;10;31.3;26.78;23;85.75;85;2.333333;
1961-01-11;1;4;3.5;31.5;25.94;23.7;83.5;54;2.333333;
1961-01-12;1.5;5.9;15;30.5;26.72;23;78;69;1.666667;
1961-01-13;2;6.3;2;30;26.58;24;77.5;77;3;
1961-01-14;3;7.4;5;30;26.58;24;71.5;65;3;
1961-01-15;2.8;8.6;0;33;28.08;23.5;65.75;61;2.333333;
1961-01-16;2.3;5.6;11.5;31.2;26.7;23;84.5;59;1;
1961-01-17;1.9;6.1;0;29.8;26.8;24.5;79.25;71;1.666667;
1961-01-18;2;8.4;0;31.5;26.32;23.4;83.25;58;.666667;
1961-01-19;2;11.4;0;33.2;26.98;23.8;73.25;52;1;
1961-01-20;3;8.9;0;33.4;27.84;22.3;77;57;1;
1961-01-21;2.8;6.4;0;33;28.06;24.2;76.25;58;.666667;
1961-01-22;2.5;.4;0;30;26.9;24;86;82;.666667;
1961-01-23;.9;7.9;52;32.8;26.74;23;82.5;60;1;
1961-01-24;2.3;3.7;19;31.2;26.38;24;85.5;66;.666667;
1961-01-25;1.8;.9;25.5;28.7;25.86;23.5;95.5;89;.666667;
1961-01-26;.7;0;17.5;27.5;24.4;23;95.75;95;.666667;
1961-01-27;.6;.6;17;28.3;24.22;22.5;89.25;73;.666667;
1961-01-28;.7;0;11;27;24.06;23;91.75;84;.666667;
