Nome: MOCAMBINHO
Codigo Estacao: 83389
Latitude: -15.086015
Longitude: -44.016223
Altitude: 453.62
Situacao: Desativada
Data Inicial: 1975-10-31
Data Final: 2012-07-31
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
1975-10-31;null;null;null;null;null;null;null;null;null;
1975-11-01;null;null;null;null;null;null;null;null;null;
1975-11-02;null;null;null;null;null;null;null;null;null;
1975-11-03;null;null;null;null;null;null;null;null;null;
1975-11-04;null;null;null;null;null;null;null;null;null;
1975-11-05;null;null;null;null;null;null;null;null;null;
1975-11-06;null;null;null;null;null;null;null;null;null;
1975-11-07;null;null;null;null;null;null;null;null;null;
1975-11-08;null;null;null;null;null;null;null;null;null;
1975-11-09;null;null;null;null;null;null;null;null;null;
1975-11-10;null;null;null;null;null;null;null;null;null;
1975-11-11;null;null;null;null;null;null;null;null;null;
1975-11-12;null;null;null;null;null;null;null;null;null;
1975-11-13;null;null;null;null;null;null;null;null;null;
1975-11-14;null;null;null;null;null;null;null;null;null;
1975-11-15;null;null;null;null;null;null;null;null;null;
1975-11-16;null;null;null;null;null;null;null;null;null;
1975-11-17;null;null;null;null;null;null;null;null;null;
1975-11-18;null;null;null;null;null;null;null;null;null;
1975-11-19;null;null;null;null;null;null;null;null;null;
1975-11-20;null;null;null;null;null;null;null;null;null;
1975-11-21;null;null;null;null;null;null;null;null;null;
1975-11-22;null;null;null;null;null;null;null;null;null;
1975-11-23;null;null;null;null;null;null;null;null;null;
1975-11-24;null;null;null;null;null;null;null;null;null;
1975-11-25;null;null;null;null;null;null;null;null;null;
1975-11-26;null;null;null;null;null;null;null;null;null;
1975-11-27;null;null;null;null;null;null;null;null;null;
1975-11-28;null;null;null;null;null;null;null;null;null;
1975-11-29;null;null;null;null;null;null;null;null;null;
1975-11-30;null;null;null;null;null;null;null;null;null;
1975-12-01;null;null;null;null;null;null;null;null;null;
1975-12-02;null;null;null;null;null;null;null;null;null;
1975-12-03;null;null;null;null;null;null;null;null;null;
1975-12-04;null;null;null;null;null;null;null;null;null;
1975-12-05;null;null;null;null;null;null;null;null;null;
1975-12-06;null;null;null;null;null;null;null;null;null;
1975-12-07;null;null;null;null;null;null;null;null;null;
1975-12-08;null;null;null;null;null;null;null;null;null;
1975-12-09;null;null;null;null;null;null;null;null;null;
1975-12-10;null;null;null;null;null;null;null;null;null;
1975-12-11;null;null;null;null;null;null;null;null;null;
1975-12-12;null;null;null;null;null;null;null;null;null;
1975-12-13;null;null;null;null;null;null;null;null;null;
1975-12-14;null;null;null;null;null;null;null;null;null;
1975-12-15;null;null;null;null;null;null;null;null;null;
1975-12-16;null;null;null;null;null;null;null;null;null;
1975-12-17;null;null;null;null;null;null;null;null;null;
1975-12-18;null;null;null;null;null;null;null;null;null;
1975-12-19;null;null;null;null;null;null;null;null;null;
1975-12-20;null;null;null;null;null;null;null;null;null;
1975-12-21;null;null;null;null;null;null;null;null;null;
1975-12-22;null;null;null;null;null;null;null;null;null;
1975-12-23;null;null;null;null;null;null;null;null;null;
1975-12-24;null;null;null;null;null;null;null;null;null;
1975-12-25;null;null;null;null;null;null;null;null;null;
1975-12-26;null;null;null;null;null;null;null;null;null;
1975-12-27;null;null;null;null;null;null;null;null;null;
1975-12-28;null;null;null;null;null;null;null;null;null;
1975-12-29;null;null;null;null;null;null;null;null;null;
1975-12-30;null;null;null;null;null;null;null;null;null;
1975-12-31;null;null;null;null;null;null;null;null;null;
1976-01-01;6;8.8;null;30.8;24.62;18.3;61.25;49;2;
1976-01-02;5.1;6.2;0;31.4;24.54;18.3;73;56;2.333333;
1976-01-03;5.4;8.4;0;32.4;25.7;18.3;60.25;36;.666667;
1976-01-04;6.4;10.4;0;29.8;25.14;18.3;71.25;63;1.333333;
1976-01-05;2.4;9.1;0;31.4;25.58;18.3;68.25;59;.666667;
1976-01-06;1.2;9.7;0;33.4;26.5;18.3;60;47;3.333333;
1976-01-07;7.1;12;0;34.5;27.3;18.2;58;55;4.333333;
1976-01-08;8.2;9.1;0;37;27.36;18.6;64.25;53;2.666667;
1976-01-09;4.9;10.8;0;34.6;27.5;17.9;60.5;64;1;
1976-01-10;4;9.6;0;34.8;26.26;19.3;64.5;38;3.333333;
1976-01-11;4.5;12;0;33.4;27.26;18.7;55.75;53;1.666667;
1976-01-12;11.6;10.5;0;37.4;29.1;17.9;46;38;3.333333;
1976-01-13;9.3;11;0;37.2;28.48;17.6;49.75;44;1.666667;
1976-01-14;4.2;11.3;0;36.8;28.74;17.7;46.25;42;2.666667;
1976-01-15;11.2;11;0;34.8;27.7;17.9;47.5;41;3;
1976-01-16;9.7;9.5;0;37.4;28.72;17.9;46;44;1;
1976-01-17;9.6;10.1;0;34.2;28.36;20.2;43.25;35;1.666667;
1976-01-18;10;9.5;null;35.2;26.78;15.9;55.5;42;2.666667;
1976-01-19;8.8;11.4;0;36;28.38;17.7;50;49;3;
1976-01-20;11.4;11.1;0;36.4;27.14;17.1;54;51;2;
1976-01-21;9.8;11.6;0;36.4;27.62;18.1;63;49;2;
1976-01-22;7;9.7;4.6;37.2;28.5;21.3;69.75;65;.666667;
1976-01-23;7.2;12;31.4;37.2;27.02;19.9;69.5;58;1.333333;
1976-01-24;14;11.6;0;36.4;26.98;17.3;72.5;70;4.666667;
1976-01-25;6;4.3;0;35.4;28.02;21.9;56.75;58;4.666667;
1976-01-26;2;11.6;0;36.2;27.78;18.3;56;48;1.666667;
1976-01-27;6.5;11.4;0;36.2;27.66;20.1;69.75;58;3.666667;
1976-01-28;3.7;5.9;16.1;35.4;27.66;19.7;59.5;51;2.666667;
1976-01-29;7;11;0;36.1;27.4;20.9;59.25;59;.333333;
1976-01-30;5.9;7.4;0;38.4;28.22;19.7;56.5;52;3;
1976-01-31;7.2;8.8;0;34.8;27.92;21;57.5;48;2.333333;
1976-02-01;5.7;9.7;0;34.2;26.02;19.7;69.25;59;2;
1976-02-02;4.3;10.4;.3;34.8;25.02;20.1;80;68;2;
1976-02-03;4.6;11.3;15.4;29.4;23.9;19.7;80.5;73;.333333;
1976-02-04;1.2;9.3;3.8;30.8;25.66;20.9;75.75;68;2;
1976-02-05;3;0;0;31.4;26.14;21.9;76.75;71;1.666667;
1976-02-06;2.5;4.9;7;34.8;26.3;21.1;70.25;67;1.333333;
1976-02-07;2;0;0;34.4;26.38;20.9;65;60;2;
1976-02-08;2.4;11.1;0;36;27.14;19.7;64.25;51;1;
1976-02-09;6.5;10.6;0;35;26.24;18.8;60;51;1.666667;
1976-02-10;8.1;2.8;0;32;24.1;16.7;75;51;2.333333;
1976-02-11;3.3;6.2;18.2;29.8;25.12;21.1;78.5;73;3.666667;
1976-02-12;3.5;2.4;1.2;30;24.78;19.3;72.25;56;3.666667;
1976-02-13;5.8;5.8;0;32.4;25.46;18.3;75.75;54;4;
1976-02-14;5.5;7.6;2.4;33.4;25.94;21.3;73;52;3.666667;
1976-02-15;7.2;9;0;33.4;26.54;19.9;66.75;49;3.333333;
1976-02-16;4.9;2.6;1.7;33.4;24.98;19.9;80;57;.666667;
1976-02-17;3.8;11.5;0;32;25.94;19.7;63.5;58;.333333;
1976-02-18;4.8;11.2;0;35.2;27.18;18.9;63;46;2;
1976-02-19;7.2;8.7;0;34.8;26.78;20.1;69.5;57;1.333333;
1976-02-20;6;5.7;0;35.4;26.66;16.1;57.5;61;2;
1976-02-21;4.2;9.7;0;35.4;26.82;18.9;62.75;48;1.666667;
1976-02-22;6.8;6.6;7.2;34.8;26.66;18.9;61;51;2;
1976-02-23;4.9;8.9;.4;32.4;26.5;20.9;70.75;59;2;
1976-02-24;9.1;0;34.7;33.2;26.34;20.3;61.5;59;1;
1976-02-25;8;6.4;0;29.8;25.62;19.7;62.25;57;.666667;
1976-02-26;6.3;0;0;31.2;25.82;20.9;66.75;56;1.333333;
1976-02-27;5.7;0;0;31.8;26.26;20.3;65.75;51;2.666667;
1976-02-28;8.1;8.3;0;34.2;25.9;19.9;66.25;55;.666667;
1976-02-29;7.7;6;0;32;26.9;20.9;61;48;.333333;
1976-03-01;null;null;null;null;null;null;null;65;null;
1976-03-02;null;null;null;null;null;null;null;null;null;
1976-03-03;null;null;null;null;null;null;null;null;null;
1976-03-04;null;null;null;null;null;null;null;null;null;
1976-03-05;null;null;null;null;null;null;null;null;null;
1976-03-06;null;null;null;null;null;null;null;null;null;
1976-03-07;null;null;null;null;null;null;null;null;null;
1976-03-08;null;null;null;null;null;null;null;null;null;
1976-03-09;null;null;null;null;null;null;null;null;null;
1976-03-10;null;null;null;null;null;null;null;null;null;
1976-03-11;null;null;null;null;null;null;null;null;null;
1976-03-12;null;null;null;null;null;null;null;null;null;
1976-03-13;null;null;null;null;null;null;null;null;null;
1976-03-14;null;null;null;null;null;null;null;null;null;
1976-03-15;null;null;null;null;null;null;null;null;null;
1976-03-16;null;null;null;null;null;null;null;null;null;
1976-03-17;null;null;null;null;null;null;null;null;null;
1976-03-18;null;null;null;null;null;null;null;null;null;
1976-03-19;null;null;null;null;null;null;null;null;null;
1976-03-20;null;null;null;null;null;null;null;null;null;
1976-03-21;null;null;null;null;null;null;null;null;null;
1976-03-22;null;null;null;null;null;null;null;null;null;
1976-03-23;null;null;null;null;null;null;null;null;null;
1976-03-24;null;null;null;null;null;null;null;null;null;
1976-03-25;null;null;null;null;null;null;null;null;null;
1976-03-26;null;null;null;null;null;null;null;null;null;
1976-03-27;null;null;null;null;null;null;null;null;null;
1976-03-28;null;null;null;null;null;null;null;null;null;
1976-03-29;null;null;null;null;null;null;null;null;null;
1976-03-30;null;null;null;null;null;null;null;null;null;
1976-03-31;null;null;null;null;null;null;null;null;null;
1976-04-01;null;11;null;33.4;27.1;19.3;60;48;2.333333;
1976-04-02;null;11;0;35.4;27.46;16.9;61;50;2;
1976-04-03;null;11;0;35.4;27.82;18.5;72;59;1;
1976-04-04;null;11;0;34.4;27.46;18.3;67.5;65;2.333333;
1976-04-05;null;11;0;33.4;27.22;19.3;60.5;53;3;
1976-04-06;null;11;0;33.4;27.38;18.3;66.25;60;2;
1976-04-07;null;10.9;0;32;26.22;19.1;67.75;65;2.333333;
1976-04-08;null;10.6;10.3;30;26.16;18.6;64.5;60;2.666667;
1976-04-09;null;10.6;0;33;26.54;19.5;65.5;60;.666667;
1976-04-10;null;9.4;0;null;null;18.3;null;48;.5;
1976-04-11;null;9.2;null;32.4;null;16.9;null;69;0;
1976-04-12;null;9.8;0;32;26.94;18.9;64.5;55;.666667;
1976-04-13;3.9;9.7;0;33.4;26.86;17.9;62.25;63;4;
1976-04-14;null;8;0;32.4;26.74;18.3;63.75;58;2.666667;
1976-04-15;4;9.3;0;32;25.98;16.7;65.25;60;1.333333;
1976-04-16;8.8;4.8;0;34.2;25.14;17.1;54.5;40;1.333333;
1976-04-17;null;4.1;0;34.2;26.26;17.1;59.75;53;2.666667;
1976-04-18;null;9.5;0;32.4;26.54;19.3;58.5;46;1.333333;
1976-04-19;null;11;0;33.8;25.26;16.9;55.5;45;2;
1976-04-20;11.9;11;0;32.7;24.8;16.3;66.75;60;2.666667;
1976-04-21;10.1;11;0;33.8;24.94;16.7;60.25;47;1.333333;
1976-04-22;9;10.9;0;36.2;27.9;16.5;50.5;40;2;
1976-04-23;4;11.2;0;37.2;28.22;17.3;64.75;54;1;
1976-04-24;10.4;11;0;33.5;26.62;19.6;57.5;47;5;
1976-04-25;8.1;10.5;0;34.2;26.9;19.7;56.5;50;2.666667;
1976-04-26;2.1;11;0;34.6;25.7;17.9;57;51;1.333333;
1976-04-27;15.1;8.7;0;35.2;28.18;17.5;44.5;36;4.533333;
1976-04-28;4.7;8.1;0;33.8;25.26;21.5;71;42;2.333333;
1976-04-29;7;11;6;35;26.42;15.7;59;45;1.666667;
1976-04-30;6.4;11;0;35.8;27.34;17.9;58.75;50;.333333;
1976-05-01;6.4;7.8;0;34.8;26.98;17.3;58.25;48;.333333;
1976-05-02;4.7;7.1;0;34.6;27.3;16.3;51.25;52;3;
1976-05-03;5;1;0;29.8;23.24;18.8;63.75;48;6.333333;
1976-05-04;8.9;0;1.1;23;19.48;18.4;90.75;67;2.333333;
1976-05-05;.6;0;13.1;20.2;18.34;17.5;96.25;93;3.666667;
1976-05-06;.8;2;7.1;27.2;21.14;17.1;82.25;65;1.666667;
1976-05-07;2.7;8;0;31.4;23.54;18.3;67.75;43;3.666667;
1976-05-08;6.1;10;0;33.6;25.14;18.5;60.75;39;1.333333;
1976-05-09;6.9;10.9;0;34;25.06;17.3;55;40;1.666667;
1976-05-10;4;10.3;0;34.4;25.94;18.6;61;52;1.666667;
1976-05-11;8.2;10.1;0;32.2;24.38;17.3;54.5;42;4.333333;
1976-05-12;8;6.3;0;31;24.14;18.3;64.25;52;.666667;
1976-05-13;6.2;7.4;0;33.4;25.34;19.5;56.75;40;1.333333;
1976-05-14;7.4;2.5;0;30.4;23.94;19.9;63;46;2.666667;
1976-05-15;6.8;4.2;0;30.8;24.38;19.5;60.25;50;4.666667;
1976-05-16;6.4;10.4;0;32;24.06;17.5;59;50;3.666667;
1976-05-17;9.1;10.8;0;34.2;24.66;17.1;55.25;40;3.333333;
1976-05-18;7.5;10.3;null;34;24.86;18.3;63.25;52;4;
1976-05-19;8.2;10.6;0;35.6;28.08;25.7;57;53;1.333333;
1976-05-20;8.1;6.9;0;34;27.06;20.9;56;53;3.666667;
1976-05-21;8.3;2.8;0;32.4;25.94;20.9;60;48;5;
1976-05-22;8;5;0;31.6;25.54;20.3;61;54;3;
1976-05-23;7;9.6;0;32.4;25.46;21.1;59.5;51;2.666667;
1976-05-24;7.6;8.7;0;32.8;25.78;23.1;60.25;49;5;
1976-05-25;7.1;10.6;null;33.4;25.5;21.7;59;40;2;
1976-05-26;6.5;10.8;0;35.1;25.36;20.9;55.25;46;2.666667;
1976-05-27;8.2;9;0;34.2;25.28;19;62;55;2.333333;
1976-05-28;8.8;10;0;34;25.3;21.9;54.5;35;4.333333;
1976-05-29;6.5;9.1;0;34.6;25.12;16.4;60.75;57;.666667;
1976-05-30;8.5;5.6;0;33;25.34;19.2;56;45;3;
1976-05-31;8.2;6.9;0;33;25.62;20.5;59.75;50;3.666667;
1976-06-01;9;4.4;0;31.4;25.66;21.4;61.75;54;3.666667;
1976-06-02;4.3;8.9;0;32.6;25.02;18.1;66.75;49;2;
1976-06-03;6.4;9.5;0;32.6;24.9;18.4;68.25;60;2;
1976-06-04;6.6;7.9;0;32;24.44;18.3;70.75;69;3.333333;
1976-06-05;6.7;10.7;0;31.2;23.1;16.3;69;64;4.333333;
1976-06-06;6.5;10.4;0;33.1;24.46;16.4;79.75;53;1.333333;
