Nome: UNAI
Codigo Estacao: 83428
Latitude: -16.36638888
Longitude: -46.88944444
Altitude: 595.59
Situacao: Operante
Data Inicial: 1976-04-06
Data Final: 2023-08-01
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
1976-04-06;null;null;null;null;null;null;null;null;null;
1976-04-07;null;null;null;null;null;null;null;null;null;
1976-04-08;null;null;null;null;null;null;null;null;null;
1976-04-09;null;null;null;null;null;null;null;null;null;
1976-04-10;null;null;null;null;null;null;null;null;null;
1976-04-11;null;null;null;null;null;null;null;null;null;
1976-04-12;null;null;null;null;null;null;null;null;null;
1976-04-13;null;null;null;null;null;null;null;null;null;
1976-04-14;null;null;null;null;null;null;null;null;null;
1976-04-15;null;null;null;null;null;null;null;null;null;
1976-04-16;null;null;null;null;null;null;null;null;null;
1976-04-17;null;null;null;null;null;null;null;null;null;
1976-04-18;null;null;null;null;null;null;null;null;null;
1976-04-19;null;null;null;null;null;null;null;null;null;
1976-04-20;null;null;null;null;null;null;null;null;null;
1976-04-21;null;null;null;null;null;null;null;null;null;
1976-04-22;null;null;null;null;null;null;null;null;null;
1976-04-23;null;null;null;null;null;null;null;null;null;
1976-04-24;null;null;null;null;null;null;null;null;null;
1976-04-25;null;null;null;null;null;null;null;null;null;
1976-04-26;null;null;null;null;null;null;null;null;null;
1976-04-27;null;null;null;null;null;null;null;null;null;
1976-04-28;null;null;null;null;null;null;null;null;null;
1976-04-29;null;null;null;null;null;null;null;null;null;
1976-04-30;null;null;null;null;null;null;null;null;null;
1976-05-01;null;null;null;null;null;null;null;null;null;
1976-05-02;null;null;null;null;null;null;null;null;null;
1976-05-03;null;null;null;null;null;null;null;null;null;
1976-05-04;null;null;null;null;null;null;null;null;null;
1976-05-05;null;null;null;null;null;null;null;null;null;
1976-05-06;null;null;null;null;null;null;null;null;null;
1976-05-07;null;null;null;null;null;null;null;null;null;
1976-05-08;null;null;null;null;null;null;null;null;null;
1976-05-09;null;null;null;null;null;null;null;null;null;
1976-05-10;null;null;null;null;null;null;null;null;null;
1976-05-11;null;null;null;null;null;null;null;null;null;
1976-05-12;null;null;null;null;null;null;null;null;null;
1976-05-13;null;null;null;null;null;null;null;null;null;
1976-05-14;null;null;null;null;null;null;null;null;null;
1976-05-15;null;null;null;null;null;null;null;null;null;
1976-05-16;null;null;null;null;null;null;null;null;null;
1976-05-17;null;null;null;null;null;null;null;null;null;
1976-05-18;null;null;null;null;null;null;null;null;null;
1976-05-19;null;null;null;null;null;null;null;null;null;
1976-05-20;null;null;null;null;null;null;null;null;null;
1976-05-21;null;null;null;null;null;null;null;null;null;
1976-05-22;null;null;null;null;null;null;null;null;null;
1976-05-23;null;null;null;null;null;null;null;null;null;
1976-05-24;null;null;null;null;null;null;null;null;null;
1976-05-25;null;null;null;null;null;null;null;null;null;
1976-05-26;null;null;null;null;null;null;null;null;null;
1976-05-27;null;null;null;null;null;null;null;null;null;
1976-05-28;null;null;null;null;null;null;null;null;null;
1976-05-29;null;null;null;null;null;null;null;null;null;
1976-05-30;null;null;null;null;null;null;null;null;null;
1976-05-31;null;null;null;null;null;null;null;null;null;
1976-06-01;null;null;null;null;null;null;null;null;null;
1976-06-02;null;null;null;null;null;null;null;null;null;
1976-06-03;null;null;null;null;null;null;null;null;null;
1976-06-04;null;null;null;null;null;null;null;null;null;
1976-06-05;null;null;null;null;null;null;null;null;null;
1976-06-06;null;null;null;null;null;null;null;null;null;
1976-06-07;null;null;null;null;null;null;null;null;null;
1976-06-08;null;null;null;null;null;null;null;null;null;
1976-06-09;null;null;null;null;null;null;null;null;null;
1976-06-10;null;null;null;null;null;null;null;null;null;
1976-06-11;null;null;null;null;null;null;null;null;null;
1976-06-12;null;null;null;null;null;null;null;null;null;
1976-06-13;null;null;null;null;null;null;null;null;null;
1976-06-14;null;null;null;null;null;null;null;null;null;
1976-06-15;null;null;null;null;null;null;null;null;null;
