Nome: COXIM
Codigo Estacao: 83512
Latitude: -18.5
Longitude: -54.76999999
Altitude: 287
Situacao: Fechada
Data Inicial: 1973-10-21
Data Final: 1994-01-30
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
1973-10-21;null;null;null;null;null;null;null;null;null;
1973-10-22;null;null;0;null;null;21.4;null;null;null;
1973-10-23;null;10.5;.5;36.5;null;21.6;null;null;null;
1973-10-24;null;5.8;1.6;35.7;null;21.1;null;null;null;
1973-10-25;null;7.4;0;31.8;null;20.3;null;null;null;
1973-10-26;null;10.6;0;33.6;null;21.7;null;null;null;
1973-10-27;null;4.2;11.4;29;null;22.3;null;null;null;
1973-10-28;null;5.8;0;31.4;null;21.7;null;null;null;
1973-10-29;null;11.3;0;36.2;null;24;null;null;null;
1973-10-30;null;3.7;20.2;32.6;null;22.4;null;null;null;
1973-10-31;null;3.8;1.5;31.5;null;22.1;null;null;null;
1973-11-01;3.3;0;null;31.4;null;20.5;93.25;84;2.333333;
1973-11-02;.5;4.3;56.7;null;null;20.5;84;67;1.666667;
1973-11-03;2.5;8.2;3;null;null;22.2;76.25;61;2.333333;
1973-11-04;3.5;9.6;0;null;null;21.8;72;49;1.666667;
1973-11-05;5.5;9.1;0;null;null;23.2;78.75;72;1;
1973-11-06;3.5;9.6;1.1;null;null;22.9;71;45;1;
1973-11-07;5;11.4;7.4;null;null;22.7;67.5;44;1;
1973-11-08;6;11.5;0;null;null;22.5;61.5;39;1.666667;
1973-11-09;3.5;2.8;0;null;null;23.8;70.25;61;2.333333;
1973-11-10;4.5;5.5;1;null;null;22.7;59;36;1;
1973-11-11;6;10.9;0;null;null;23.4;86.5;62;1;
1973-11-12;2.5;1.7;4.2;null;null;23;92.5;85;.666667;
1973-11-13;1.5;2.2;18.9;null;null;22.5;89.5;81;.666667;
1973-11-14;2;5.3;.5;null;null;23.4;81.75;60;.666667;
1973-11-15;3;7.6;8.6;null;null;22.3;81;53;1.666667;
1973-11-16;4;.5;17;null;null;22.6;97.75;93;.666667;
1973-11-17;1;5.7;35.4;null;null;22.7;77.25;54;1.333333;
1973-11-18;4.5;.4;8;null;null;22.9;89.5;76;1;
1973-11-19;1.5;1.3;25;null;null;22.7;85.25;80;.666667;
1973-11-20;2;7.7;1.1;null;null;21.1;74;49;1.666667;
1973-11-21;5.5;11.9;0;null;null;19.5;64.5;40;1;
1973-11-22;7.5;10;0;null;null;19.5;70.75;59;1;
1973-11-23;5.2;5;4.4;null;null;22;83.75;69;1;
1973-11-24;2.1;0;22.9;null;null;19.9;93.5;93;1.666667;
1973-11-25;.9;5.7;37.7;null;null;18.8;83;64;.666667;
1973-11-26;2.5;6.2;0;null;null;21.1;75;61;1.666667;
1973-11-27;3.5;5;19.1;null;null;21.7;82.25;59;1.666667;
1973-11-28;2.5;10.6;8.3;null;null;19.7;68.5;37;1;
1973-11-29;6;10.6;0;null;null;17;67;38;1;
1973-11-30;6;10.9;0;null;null;20.2;63.5;50;1.666667;
1973-12-01;5.5;7.3;0;null;null;20.1;80.25;68;2.333333;
1973-12-02;3;6.1;94.3;33.8;null;20.9;84;58;1;
1973-12-03;3;7;7.2;32.4;null;20.7;86.25;62;1;
1973-12-04;3.5;2.8;2.1;32.4;null;22.1;89.25;76;1.666667;
1973-12-05;1.5;3.1;41.5;28.8;null;22.3;88.25;72;1.333333;
1973-12-06;2;4.6;2;30.2;null;22.5;89.25;83;1.666667;
1973-12-07;2.5;3.1;1;29.6;null;22.3;88.5;80;1;
1973-12-08;2;.1;12;30;null;21.5;86;78;1;
1973-12-09;1.8;6.5;0;27;null;20.8;82.25;57;.666667;
1973-12-10;3.3;9.5;0;31.2;null;21.7;78;53;1.666667;
1973-12-11;4.4;10;11.9;33.6;null;21.7;80.25;56;1.666667;
1973-12-12;4.5;8.8;13.1;34.1;null;22;74.25;49;1;
1973-12-13;4.5;11.5;0;33.6;null;21.9;74.75;55;2.333333;
1973-12-14;5;5.8;3.4;34.8;null;21.9;84.5;75;1;
1973-12-15;2.5;7.3;0;33;null;20.9;78.25;57;2.333333;
1973-12-16;4;5.4;3.3;32;null;22.7;84.5;72;1.666667;
1973-12-17;3;7.6;1.8;32.2;null;22.7;77;57;2.333333;
1973-12-18;4.5;4.6;1.3;32.4;null;22.5;78;54;1;
1973-12-19;2;5.2;0;31.4;null;22.9;84.25;59;1;
1973-12-20;2.8;6.8;7.1;32.4;null;22.7;80.5;60;1;
1973-12-21;2.7;4.2;12.5;31.8;null;22.5;77.25;64;1;
1973-12-22;3;9.4;0;30.8;null;22.5;73.5;52;1.666667;
1973-12-23;5;8.1;7.3;34;null;22.3;75.5;55;1.666667;
1973-12-24;3.5;7;0;32.6;null;22.5;82.75;72;1.666667;
1973-12-25;3.5;7.3;7.2;31.6;null;22.3;81.5;63;1.333333;
1973-12-26;3;6;7.4;31.4;null;22.8;82.75;58;1.666667;
1973-12-27;3.5;4.3;7.8;31.8;null;22.3;80.75;63;1;
1973-12-28;3;.5;1.9;31.6;null;23.7;93;87;2.333333;
1973-12-29;1;3.9;7.3;27.2;null;21.7;85.25;81;1.666667;
