Nome: TRES LAGOAS
Codigo Estacao: 83618
Latitude: -20.794867
Longitude: -51.713519
Altitude: 323.75
Situacao: Desativada
Data Inicial: 1913-09-01
Data Final: 2010-01-03
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
1961-01-01;.6;null;null;null;null;21.9;89;65;1;
1961-01-02;1.2;null;30.8;null;null;21.7;92.5;86;1;
1961-01-03;.8;null;28.7;null;null;22.3;95.5;95;1;
1961-01-04;.5;null;44.1;null;null;22;84.5;64;.333333;
1961-01-05;1.2;null;0;null;null;22.5;92;86;.666667;
1961-01-06;1;null;1.2;null;null;22.7;86.75;78;2.333333;
1961-01-07;1.6;null;3.2;null;null;22.5;89.5;78;.666667;
1961-01-08;1.3;null;11.8;null;null;23.5;89.75;81;.666667;
1961-01-09;1.2;null;0;null;null;22.6;76.75;60;.333333;
1961-01-10;2.1;null;0;null;null;22.5;93.25;83;.666667;
1961-01-11;.5;null;50.3;null;null;21.5;75.75;62;1.333333;
1961-01-12;2.3;null;0;null;null;20.6;72;60;1.666667;
1961-01-13;15;null;0;null;null;22;72.75;62;1;
1961-01-14;2.7;null;0;null;null;21.5;73.5;59;.666667;
1961-01-15;2.8;null;0;null;null;22.5;73.5;61;.666667;
1961-01-16;3.3;null;0;null;null;23.2;78.5;70;1;
1961-01-17;2.1;null;0;null;null;22.3;74.75;69;.666667;
1961-01-18;3;null;0;null;null;23.5;70.25;53;.666667;
1961-01-19;3.2;null;0;null;null;22.3;73;51;.666667;
1961-01-20;2.8;null;2.2;null;null;23.4;78.75;52;.666667;
1961-01-21;2.4;null;21;null;null;22.4;88;77;.666667;
1961-01-22;1.4;null;13.2;null;null;21.8;74;53;.666667;
1961-01-23;2.5;null;0;null;null;24;78.75;62;1;
1961-01-24;2.3;null;0;null;null;23.4;68.75;55;.666667;
1961-01-25;2.6;null;0;null;null;23;70.75;54;.666667;
1961-01-26;3.2;null;0;null;null;21.6;69.25;54;2.333333;
1961-01-27;4.2;null;0;null;null;20;75.75;72;2.333333;
1961-01-28;2.6;null;0;null;null;19.5;84;75;2.666667;
1961-01-29;1.3;null;.6;null;null;19.5;79.25;66;.666667;
1961-01-30;1.6;null;0;null;null;21;75.5;55;.666667;
1961-01-31;1.9;null;0;null;null;20.4;74;59;.666667;
1961-02-01;2.8;null;0;null;null;21.5;63.25;43;.666667;
1961-02-02;4.3;null;0;null;null;22;75;44;2;
1961-02-03;4.1;null;16.1;null;null;21.3;72;50;.666667;
1961-02-04;2.8;null;0;null;null;22;74;53;.666667;
1961-02-05;2.8;null;0;null;null;21.6;68.25;47;1.666667;
1961-02-06;3;null;0;null;null;21.8;67.25;54;1;
1961-02-07;3.3;null;0;null;null;22;64;46;.666667;
1961-02-08;3.6;null;0;null;null;22.8;70.5;55;1.333333;
1961-02-09;3.1;null;0;null;null;22.2;79.25;48;1;
1961-02-10;2.3;null;22;null;null;22.4;81.75;66;.666667;
1961-02-11;1.9;null;0;null;null;23;84.25;85;.666667;
1961-02-12;1.5;null;19.2;null;null;22.4;90.25;79;1;
1961-02-13;.8;null;15.8;null;null;21.8;86.25;62;.666667;
1961-02-14;1.8;null;33.2;null;null;20.5;73;57;1;
1961-02-15;3.6;null;0;null;null;18.5;77.75;61;2;
1961-02-16;2.5;null;0;null;null;21;82.5;62;.666667;
1961-02-17;1.8;0;44.2;null;null;21.7;85.25;64;.666667;
1961-02-18;1.5;null;34;null;null;21.9;84.25;78;1;
1961-02-19;1.1;null;6.6;null;null;21.5;79.5;63;1.333333;
1961-02-20;2;null;1.6;null;null;21.8;80.5;63;1.666667;
1961-02-21;1.9;null;0;null;null;21.6;78;62;1.333333;
1961-02-22;2.2;null;4.6;null;null;22.8;74.25;65;1.666667;
1961-02-23;2.1;null;.8;null;null;22.6;85;72;1.333333;
1961-02-24;2;null;0;null;null;22.2;90.25;75;.666667;
1961-02-25;.6;null;96.8;null;null;22.2;89.5;83;.666667;
1961-02-26;.9;null;12.2;null;null;22.7;86.25;75;.666667;
1961-02-27;1.2;null;7;null;null;22.3;92;79;.666667;
1961-02-28;.7;null;2;null;null;22.2;87.75;73;1;
1961-03-01;1.1;null;15.6;null;null;21.8;84;74;1;
1961-03-02;1.6;null;0;null;null;21.5;82.5;73;.666667;
1961-03-03;1.1;null;0;null;null;21.8;75.25;60;.666667;
1961-03-04;1.9;null;0;null;null;22.6;87.75;73;.666667;
1961-03-05;1.6;null;11.4;null;null;22;91;76;.666667;
1961-03-06;.2;null;42.8;null;null;21.8;78.75;70;1;
1961-03-07;2.1;null;0;null;null;21.5;87.5;73;1;
1961-03-08;1.2;null;0;null;null;22.5;83;63;.666667;
1961-03-09;1.7;null;50.2;null;null;22;82;66;.666667;
1961-03-10;1.8;null;0;null;null;23;75.75;62;.666667;
1961-03-11;2.2;null;0;null;null;22.8;80.75;54;.666667;
1961-03-12;2;null;17;null;null;23.2;74.25;59;1.333333;
1961-03-13;1.5;null;93;null;null;21.4;81.25;58;.666667;
1961-03-14;1.8;null;10.4;null;null;21.7;87.5;64;.666667;
1961-03-15;1.5;null;32;null;null;22;82.5;57;.666667;
1961-03-16;1.6;null;0;null;null;23;76.25;54;1.333333;
1961-03-17;2.6;null;0;null;null;22.2;84;59;.666667;
1961-03-18;1.9;null;6.4;null;null;19;89.25;78;1;
1961-03-19;1.2;null;0;null;null;18.7;83.75;72;.666667;
1961-03-20;1.2;null;0;null;null;19.3;84;64;.666667;
1961-03-21;1.5;null;1.1;null;null;21;78.75;57;.666667;
1961-03-22;2.3;null;0;null;null;22;71;51;1;
1961-03-23;2.8;null;0;null;null;22;67.75;47;.666667;
1961-03-24;3.6;null;0;null;null;21.7;66;45;1.333333;
1961-03-25;3.7;null;0;null;null;21.1;67.5;51;.666667;
1961-03-26;3.7;null;0;null;null;22.4;67.25;48;1.333333;
1961-03-27;3.2;null;0;null;null;21;66.75;53;2.333333;
1961-03-28;4.4;null;0;null;null;17.6;71.25;53;1.666667;
1961-03-29;4.1;null;0;null;null;16.3;64.75;54;2.333333;
1961-03-30;4.5;null;0;null;null;16.2;55.5;43;1.666667;
1961-03-31;4.8;null;0;null;null;14.7;66;42;.666667;
1961-04-01;3.4;null;0;null;null;16;63.5;43;.666667;
1961-04-02;3.8;null;8.2;null;null;20.8;85.25;65;.333333;
1961-04-03;1.2;null;20.6;null;null;20.5;93.25;86;1;
1961-04-04;.4;null;49;null;null;21;83.75;75;1;
1961-04-05;2.7;null;.6;null;null;11.5;84;71;2.333333;
1961-04-06;1.5;null;16.2;null;null;19.3;91.75;81;.666667;
1961-04-07;1;null;0;null;null;19.5;78;61;1;
1961-04-08;2.3;null;0;null;null;20.5;72.5;60;.666667;
1961-04-09;2.4;null;0;null;null;21;72.75;44;.666667;
1961-04-10;3.1;null;0;null;null;21.5;68;45;.666667;
1961-04-11;2.9;null;0;null;null;21.2;72;49;.666667;
1961-04-12;2;null;0;null;null;21.5;76.25;51;.666667;
1961-04-13;2;null;0;null;null;21.5;70.5;46;.333333;
