Nome: BEBEDOURO
Codigo Estacao: 83627
Latitude: -20.95
Longitude: -48.48
Altitude: 550
Situacao: Desativada
Data Inicial: 1939-12-31
Data Final: 1966-01-31
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
1961-01-01;2;null;null;null;null;20;75.25;57;1.666667;
1961-01-02;2;null;12;null;null;17;76.75;72;1;
1961-01-03;1;null;13;null;null;17.4;81.75;71;1;
1961-01-04;1;null;10;null;null;17;79;76;1;
1961-01-05;2;null;30;null;null;19;85;77;1.666667;
1961-01-06;2;null;2;null;null;18.5;83.25;80;2.333333;
1961-01-07;2;null;7.2;null;null;17;76.5;64;1;
1961-01-08;2;null;30;null;null;20;86;71;1;
1961-01-09;2;null;4.5;null;null;19;83.5;70;1;
1961-01-10;2;null;4;null;null;19;85.75;71;1;
1961-01-11;2;null;0;null;null;20;81.25;56;1;
1961-01-12;2;null;0;null;null;20;79.25;70;2.333333;
1961-01-13;2;null;25.5;null;null;19;81.25;64;1;
1961-01-14;2;null;0;null;null;20;77.25;76;1;
1961-01-15;2;null;0;null;null;20;75.75;56;1.666667;
1961-01-16;3;null;8;null;null;21;80.25;70;1;
1961-01-17;3;null;0;null;null;20;83.25;77;1;
1961-01-18;3;null;0;null;null;19;76.75;56;1;
1961-01-19;3;null;0;null;null;20;84.5;62;1.666667;
1961-01-20;4;null;0;null;null;19;79.5;61;1;
1961-01-21;2;null;7;null;null;18;77.75;60;1;
1961-01-22;2;null;0;null;null;20;78;61;3;
1961-01-23;2;null;0;null;null;21.3;75.25;73;1;
1961-01-24;2;null;0;null;null;21;76;57;1.666667;
1961-01-25;3;null;0;null;null;20;75.75;54;2.333333;
1961-01-26;3;null;7.2;null;null;20;75.5;56;3.666667;
1961-01-27;3;null;0;null;null;18;82.25;76;3.666667;
1961-01-28;2;null;0;null;null;17;83.25;63;1.666667;
1961-01-29;2;null;2.5;null;null;18;85.75;70;2.333333;
1961-01-30;1;null;13;null;null;19;84;71;1;
1961-01-31;2;null;0;null;null;20;77;65;1.666667;
1961-02-01;3;null;0;null;null;19;77.75;60;1.666667;
1961-02-02;3;null;0;null;null;21;80.25;61;1.666667;
1961-02-03;3;null;2;null;null;20;74.5;49;1;
1961-02-04;4;null;0;null;null;21;79.5;50;2.333333;
1961-02-05;3;null;26.5;null;null;18;74;49;2.333333;
1961-02-06;2;null;0;null;null;19;81;60;1.666667;
1961-02-07;2;null;0;null;null;20.3;68.75;52;1;
1961-02-08;3;null;0;null;null;21.5;68.5;51;1;
1961-02-09;3;null;0;null;null;21;70.5;54;3;
1961-02-10;3;null;4;null;null;20;83.25;60;1;
1961-02-11;3;null;0;null;null;21;78.75;70;1.666667;
1961-02-12;2;null;2;null;null;20;83.25;76;1;
1961-02-13;1;null;74;null;null;17;88;82;1;
1961-02-14;1;null;47;null;null;18;85.75;70;1;
1961-02-15;2;null;0;null;null;18;75.5;57;1.666667;
1961-02-16;2;null;0;null;null;19;80.5;76;1.666667;
