Nome: SAO JOAO DEL REI
Codigo Estacao: 83688
Latitude: -21.3
Longitude: -44.27
Altitude: 991
Situacao: Desativada
Data Inicial: 1914-12-31
Data Final: 2006-05-31
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
1961-01-01;.9;1.7;null;25.6;21.82;18.3;80.75;67;1.333333;
1961-01-02;1.4;1.1;18.4;25.2;21.34;18.5;87.75;87;1.666667;
1961-01-03;1.5;3.5;1.7;26.9;22;19.3;80.75;70;2;
1961-01-04;.7;2.5;32;25.6;21.62;18.7;90.75;80;1;
1961-01-05;.8;0;29.2;24;21.02;18.7;88.25;78;1.666667;
1961-01-06;1;2.1;25.9;25.8;21.32;18.6;85;75;1.666667;
1961-01-07;1.4;2.7;8;28.2;21.96;18.8;84.25;62;.333333;
1961-01-08;1;2;35.4;25.8;21.26;18.7;91.75;83;.333333;
1961-01-09;1;6.8;28.7;27.7;22.34;18.4;81;59;1.333333;
1961-01-10;2;2.8;21.5;25.5;21.94;18.6;83.25;76;.333333;
1961-01-11;1.1;4.2;4.5;27.8;22.44;18.4;81.25;69;2;
1961-01-12;1.5;1;7.2;24.6;20.58;17.7;80.5;63;.666667;
1961-01-13;1.3;4.2;.3;24.2;20.64;17;77.25;75;1;
1961-01-14;1.6;7.3;10.5;27.4;20.9;16.7;79.5;60;.666667;
1961-01-15;2;8.6;11.6;28.7;20.84;14.7;72.25;54;.666667;
1961-01-16;1.6;4.8;5.1;25.6;20.48;15.8;77.75;63;.666667;
1961-01-17;1.5;10.7;.3;30.8;23.88;16.2;66.75;49;.333333;
1961-01-18;2.7;8.7;0;31.2;24.44;18;62;43;.333333;
1961-01-19;2.7;3.9;53.6;28.2;20.66;16.7;82.25;70;.666667;
1961-01-20;1.6;4.3;17.7;28.2;20.78;16.9;76.75;59;1.333333;
1961-01-21;1.3;6.3;58;29.2;22.38;16.4;80.5;58;.666667;
1961-01-22;1.5;5.8;0;29;22.42;16.7;72.75;55;.333333;
1961-01-23;2.1;1.7;0;27.6;21.8;18.8;82.5;67;1;
1961-01-24;1.6;4.2;6.4;26.4;21.72;18.6;83.25;72;.333333;
1961-01-25;1.3;4.1;2.7;26.6;22.02;18.5;79.75;58;1;
1961-01-26;1.2;0;68.1;20.6;18.18;16.4;90;92;.333333;
1961-01-27;.3;0;48.9;21.8;18.96;16.6;89.25;80;.333333;
1961-01-28;.5;1.4;17.5;23.6;20.04;16.6;89;82;1;
