Nome: OBSERVATORIO KM-47
Codigo Estacao: 83740
Latitude: -22.77
Longitude: -43.68
Altitude: 44
Situacao: Desativada
Data Inicial: 1944-12-31
Data Final: 1964-08-24
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
1961-01-01;1.2;1.3;null;30.8;26.08;22;79.5;63;1.666667;
1961-01-02;2.6;.5;.9;29.6;25.72;22;82.75;71;1.333333;
1961-01-03;2;5.7;1.3;29.6;25.92;23.6;82;71;1;
1961-01-04;1.4;null;0;29.5;25.82;22.6;83;68;0;
1961-01-05;1.5;.3;.2;28;24.96;23.4;88.5;79;.666667;
1961-01-06;1;7.5;1.8;34.6;28.08;22.6;70.75;56;2.666667;
1961-01-07;3.3;.4;0;28.6;25.72;24;86;74;3;
1961-01-08;1.2;.4;5;27.1;25.18;23.4;84.75;76;1.333333;
1961-01-09;1;4.4;0;31.2;26.28;23.2;84.5;73;1;
1961-01-10;2;7.7;.8;30.2;26.24;22.8;83;69;.666667;
1961-01-11;1.4;3.8;0;30.1;25.5;22.4;82.75;67;.666667;
1961-01-12;1.1;3.8;0;31.6;24.96;22.4;90.25;86;0;
1961-01-13;1.1;10;1.4;33.1;25.24;21.3;75.25;50;2.333333;
1961-01-14;1.6;11;22;31.2;25.54;20.8;70.75;68;1.333333;
1961-01-15;1.5;12.1;0;33.6;25.88;20.8;63.75;46;3.666667;
1961-01-16;4.6;11.4;0;34.2;28.26;23.7;55.75;48;3.666667;
1961-01-17;4.6;12.5;0;35.2;28.88;23.6;65;47;2.333333;
1961-01-18;3.8;11.2;0;37.1;29.7;26.4;67.5;52;1;
1961-01-19;3;1.4;0;32.3;26.1;23.4;81.25;73;1.333333;
1961-01-20;1.6;7.3;1.8;33.5;26.84;22.5;71.75;50;1.333333;
1961-01-21;2.4;11.9;0;34.7;27.94;24.2;65;51;.666667;
1961-01-22;3;10.2;0;34.4;27.72;23.6;70.25;51;2.333333;
1961-01-23;2.5;1.5;8.4;29;25.36;24;88;70;.666667;
1961-01-24;1.1;8.5;.6;31.2;26.64;22.6;76.25;67;1;
1961-01-25;2.4;6.5;1.4;29.7;24.36;22.3;92.5;82;2;
1961-01-26;.6;.4;90.1;26.2;22.66;21.2;88.25;68;2.333333;
1961-01-27;.4;0;3.3;23;22.14;21.1;95;91;1.333333;
1961-01-28;.4;0;57;24.8;22.8;21.6;96.25;94;.666667;
1961-01-29;.6;1.4;13.7;28.4;24.64;21.6;89.25;79;1;
1961-01-30;.8;4.2;4.8;30;25.6;22.6;90.25;86;1;
1961-01-31;1.2;.2;4.8;29.8;25.84;22.8;84.25;75;.666667;
