Nome: NOVA IGUACU
Codigo Estacao: 83787
Latitude: -22.77
Longitude: -43.45
Altitude: 20
Situacao: Desativada
Data Inicial: 1951-09-30
Data Final: 1967-12-06
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
1961-01-01;null;null;null;null;null;null;83;65;.333333;
1961-01-02;null;null;null;null;null;null;78.25;66;1.666667;
1961-01-03;null;null;null;null;null;null;84.25;77;.333333;
1961-01-04;null;null;null;null;null;null;77.75;65;0;
1961-01-05;null;null;null;null;null;null;79.5;62;0;
1961-01-06;null;null;null;null;null;null;76.25;65;.666667;
1961-01-07;null;null;null;null;null;null;80.5;70;1;
1961-01-08;null;null;null;null;null;null;89.5;85;.333333;
1961-01-09;null;null;null;null;null;null;83.75;73;.666667;
1961-01-10;null;null;null;null;null;null;80.75;74;0;
1961-01-11;null;null;null;null;null;null;80.75;66;1;
1961-01-12;null;null;null;null;null;null;82.75;71;.666667;
1961-01-13;null;null;null;null;null;null;73.75;53;.666667;
1961-01-14;null;null;null;null;null;null;75.25;60;1;
1961-01-15;null;null;null;null;null;null;55.75;41;1.666667;
1961-01-16;null;null;null;null;null;null;55.75;53;.333333;
1961-01-17;null;null;null;null;null;null;50.75;31;1;
1961-01-18;null;null;null;null;null;null;62;44;.666667;
1961-01-19;null;null;null;null;null;null;73.5;60;2.666667;
1961-01-20;null;null;null;null;null;null;72.5;51;0;
1961-01-21;null;null;null;null;null;null;69.25;56;.666667;
1961-01-22;null;null;null;null;null;null;64.5;48;.333333;
1961-01-23;null;null;null;null;null;null;88.5;72;1.666667;
1961-01-24;null;null;null;null;null;null;71.5;58;2.333333;
1961-01-25;null;null;null;null;null;null;92.5;74;.666667;
1961-01-26;null;null;null;null;null;null;86.25;67;.666667;
1961-01-27;null;null;null;null;null;null;90.5;87;.666667;
1961-01-28;null;null;null;null;null;null;95.25;91;.666667;
1961-01-29;null;null;null;null;null;null;84;73;1.666667;
1961-01-30;null;null;null;null;null;null;85.25;79;1;
1961-01-31;null;null;null;null;null;null;84.25;68;1;
1961-02-01;null;null;null;null;null;null;null;92;null;
1961-02-02;null;null;null;null;null;null;null;null;null;
1961-02-03;null;null;null;null;null;null;null;null;null;
1961-02-04;null;null;null;null;null;null;null;null;null;
1961-02-05;null;null;null;null;null;null;null;null;null;
1961-02-06;null;null;null;null;null;null;null;null;null;
1961-02-07;null;null;null;null;null;null;null;null;null;
1961-02-08;null;null;null;null;null;null;null;null;null;
1961-02-09;null;null;null;null;null;null;null;null;null;
1961-02-10;null;null;null;null;null;null;null;null;null;
1961-02-11;null;null;null;null;null;null;null;null;null;
1961-02-12;null;null;null;null;null;null;null;null;null;
1961-02-13;null;null;null;null;null;null;null;null;null;
1961-02-14;null;null;null;null;null;null;null;null;null;
1961-02-15;null;null;null;null;null;null;null;null;null;
1961-02-16;null;null;null;null;null;null;null;null;null;
1961-02-17;null;null;null;null;null;null;null;null;null;
1961-02-18;null;null;null;null;null;null;null;null;null;
1961-02-19;null;null;null;null;null;null;null;null;null;
1961-02-20;null;null;null;null;null;null;null;null;null;
1961-02-21;null;null;null;null;null;null;null;null;null;
1961-02-22;null;null;null;null;null;null;null;null;null;
1961-02-23;null;null;null;null;null;null;null;null;null;
1961-02-24;null;null;null;null;null;null;null;null;null;
1961-02-25;null;null;null;null;null;null;null;null;null;
1961-02-26;null;null;null;null;null;null;null;null;null;
1961-02-27;null;null;null;null;null;null;null;null;null;
1961-02-28;null;null;null;null;null;null;null;null;null;
1961-03-01;null;null;null;null;null;null;96.25;95;1;
1961-03-02;null;null;null;null;null;null;87.5;83;.666667;
1961-03-03;null;null;null;null;null;null;71.5;59;1;
1961-03-04;null;null;null;null;null;null;72.25;55;1;
1961-03-05;null;null;null;null;null;null;75.5;57;.666667;
1961-03-06;null;null;null;null;null;null;79;65;.333333;
