Nome: CASTRO
Codigo Estacao: 83813
Latitude: -24.78694444
Longitude: -49.99916666
Altitude: 994.68
Situacao: Fechada
Data Inicial: 1922-10-31
Data Final: 2021-07-24
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
1961-01-01;null;null;null;22.8;19.82;18.6;94.25;82;1.333333;
1961-01-02;null;null;7;27;21.5;16.8;88;73;0;
1961-01-03;null;null;.3;31;22.22;17.5;81.25;42;0;
1961-01-04;null;null;22.1;30;22.14;15.8;81.25;40;0;
1961-01-05;null;null;0;27.6;21.8;18;89;80;.666667;
1961-01-06;null;null;0;25.2;21.04;16.8;88.25;82;1.666667;
1961-01-07;null;null;2.6;24.2;18.66;13.8;89.75;77;1;
1961-01-08;null;null;0;24.6;18.5;13;81.25;69;.666667;
1961-01-09;null;null;.4;26.6;20.82;16;82.25;67;0;
1961-01-10;null;null;0;28.9;22.88;17.6;85.5;71;.666667;
1961-01-11;null;null;30.1;28.8;21.52;16.3;89.5;77;1;
1961-01-12;null;null;0;27.8;21.28;17.3;82;67;1.333333;
1961-01-13;null;null;0;28.8;21.48;17.6;82;68;0;
1961-01-14;null;null;0;30.4;23.2;18.5;80.25;58;0;
1961-01-15;null;null;0;30.6;25.42;19.8;80.75;58;0;
1961-01-16;null;null;0;29.1;23.68;18.8;86.5;82;.666667;
1961-01-17;null;null;.7;29.8;22.5;17;84;63;1;
1961-01-18;null;null;0;27.1;21.28;17.3;97.5;92;1.333333;
1961-01-19;null;null;28.2;27.6;22.1;18;88;73;0;
1961-01-20;null;null;7.3;30;23.5;19;81.5;65;0;
1961-01-21;null;null;.6;30.9;23.48;18.6;88.75;71;.333333;
1961-01-22;null;null;0;28.4;22.7;16.6;78.75;68;.666667;
1961-01-23;null;null;.3;25.8;20.38;18.2;85.25;63;.333333;
1961-01-24;null;null;.2;30.3;20.82;15.4;83.25;65;0;
1961-01-25;null;null;0;28.4;19.08;11.6;80.75;60;.333333;
1961-01-26;null;null;.2;20;16.3;14;89.75;85;3;
1961-01-27;null;null;4.2;18.1;14.78;12.5;91.5;84;2.333333;
1961-01-28;null;null;5.7;16.4;14.82;13.4;99.5;94;1.333333;
1961-01-29;null;null;8.7;23.7;18.2;13.7;89.25;69;.333333;
1961-01-30;null;null;49.4;27.6;20.06;16.1;89.5;73;.333333;
1961-01-31;null;null;4.3;27.8;20.28;12.7;88;70;0;
1961-02-01;null;null;.8;31.1;21.36;13;84.5;65;.666667;
1961-02-02;null;null;1.1;30.8;22.1;13.7;84.5;74;.666667;
1961-02-03;null;null;0;30.1;20.76;15.6;85.5;65;1;
1961-02-04;null;null;20.1;25.4;21.38;17.6;86.5;76;.666667;
1961-02-05;null;null;0;28.1;22;18;87.25;73;0;
1961-02-06;null;null;0;29.1;22.68;17;81.5;65;1;
1961-02-07;null;null;0;30.6;22.42;15.6;77;62;1.333333;
1961-02-08;null;null;0;29.7;21.08;14.7;86;65;1;
1961-02-09;null;null;14.7;25;20.38;18.4;96.75;93;2.333333;
1961-02-10;null;null;22.1;26.1;20.88;17;87;66;.666667;
1961-02-11;null;null;5.1;27.7;21.32;17.4;88.5;76;2;
1961-02-12;null;null;11.5;28.3;21.42;17.7;88.5;71;.666667;
1961-02-13;null;null;2.1;27.4;20.54;14.7;79.75;66;.666667;
1961-02-14;null;null;0;24.2;17.92;11.5;87.75;80;2.666667;
1961-02-15;null;null;1.1;21.5;17.24;14.8;91.75;85;3;
1961-02-16;null;null;1.4;23.8;18.22;14.3;90.5;79;3.666667;
1961-02-17;null;null;.3;22;20.26;16.8;81.75;83;2.333333;
1961-02-18;null;null;12.6;28.2;21.1;17;88.75;78;2.333333;
1961-02-19;null;null;.4;28.2;20.82;15.2;87;63;1.333333;
1961-02-20;null;null;1.8;29;21.68;15.7;86.5;68;1.333333;
1961-02-21;null;null;41.4;28;22.64;18.1;83.25;81;2.666667;
1961-02-22;null;null;1;31;23.76;19.5;87;78;2.333333;
1961-02-23;null;null;31.6;28;22.52;18.7;85.75;83;2.666667;
1961-02-24;null;null;3.2;24;21.36;19.1;85.75;86;1.666667;
1961-02-25;null;null;0;28.1;23.38;19.5;86;74;2.333333;
1961-02-26;null;null;.3;26.6;22.38;20.3;91;87;1.666667;
1961-02-27;null;null;27.3;27.2;21.36;19;96;91;0;
1961-02-28;null;null;4.4;20.6;16.42;11.3;93.75;90;2.666667;
1961-03-01;null;null;1.1;22.4;18.18;14.5;90;83;1.333333;
1961-03-02;null;null;1.3;23.7;17.88;13.5;87.25;72;1.333333;
1961-03-03;null;null;0;29.4;21.16;13.7;81.75;64;.333333;
1961-03-04;null;null;0;30.6;22.48;16.4;82.5;60;.333333;
1961-03-05;null;null;.1;25.8;21;17.2;84.75;70;1.666667;
1961-03-06;null;null;3.7;21.4;17.02;15.6;95.5;87;4.666667;
1961-03-07;null;null;5.3;20.5;17.56;15;94.5;90;2.333333;
1961-03-08;null;null;.3;27.2;20.62;16.6;84.25;62;1;
1961-03-09;null;null;0;29;23.06;18.6;76;65;1.333333;
1961-03-10;null;null;0;31;23.28;15.7;73.75;71;1.333333;
1961-03-11;null;null;0;30.7;22;14.8;86.75;64;2.333333;
1961-03-12;null;null;12.2;28.1;21.8;17.2;84.75;62;0;
1961-03-13;null;null;1.2;28.3;20.12;17;87.75;67;1.666667;
1961-03-14;null;null;12;28.2;20.62;16.4;87.75;62;.666667;
1961-03-15;null;null;.3;28.2;20.86;17.4;85.5;58;.666667;
1961-03-16;null;null;1.3;28.8;21.44;15.8;86.5;62;.333333;
1961-03-17;null;null;7.1;26.1;20.9;18;88.5;75;.333333;
1961-03-18;null;null;20.3;21.4;17.14;15.8;99;90;2;
1961-03-19;null;null;71.4;17.8;15.5;13.8;96.75;92;2;
1961-03-20;null;null;2;24;18.82;15.2;93.5;82;.333333;
1961-03-21;null;null;10.3;28;20.98;15.2;87.5;66;0;
1961-03-22;null;null;.2;27.4;20.14;15.8;87.75;65;.666667;
1961-03-23;null;null;21.7;29.4;19.9;16;88;60;1.333333;
1961-03-24;null;null;19.1;26.7;20.64;15.8;88.75;67;1;
1961-03-25;null;null;1.2;29.4;22.26;16.4;86.5;63;.333333;
1961-03-26;null;null;0;27.3;20.98;15.3;82;67;1.333333;
1961-03-27;null;null;.4;20.2;15.08;13.3;88.75;77;3.333333;
1961-03-28;null;null;.2;20.4;14.5;10.8;82.75;68;3.333333;
1961-03-29;null;null;0;20;14.58;9.8;90.25;73;4.333333;
1961-03-30;null;null;.9;21.9;15.64;11;85.5;67;3.333333;
1961-03-31;null;null;.3;25.4;17.14;12.8;81.5;64;1;
1961-04-01;null;null;.2;25.3;17.62;13.8;84.25;64;2.333333;
1961-04-02;null;null;.2;23.6;16.86;9.3;89.5;77;1.666667;
1961-04-03;null;null;.2;23.7;18.98;11.9;88.75;83;0;
1961-04-04;null;null;32;24.2;18.76;16.2;94.25;84;3;
1961-04-05;null;null;36.1;24.8;18.14;15;94.25;83;1;
1961-04-06;null;null;1.7;24.1;18.36;14.6;91.75;79;1;
