Nome: FOZ DO IGUACU
Codigo Estacao: 83826
Latitude: -25.55
Longitude: -54.57
Altitude: 154
Situacao: Desativada
Data Inicial: 1937-12-31
Data Final: 1981-04-30
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
1961-01-01;null;null;null;33.9;25.76;21.6;82;62;1;
1961-01-02;null;null;0;36.1;27.9;20.6;69.25;48;.666667;
1961-01-03;null;null;0;37.4;27.34;21.6;75.5;43;1;
1961-01-04;null;null;30.4;32.3;23.56;18.6;81.5;36;1.333333;
1961-01-05;null;null;0;34.7;25.62;18.1;81.5;59;1;
1961-01-06;null;null;31.5;28.9;22.54;18.4;86.75;71;1;
1961-01-07;null;null;0;33.4;24.24;18.9;82;56;1;
1961-01-08;null;null;0;31.6;25.86;20;80.25;66;1;
1961-01-09;null;null;0;33.1;26.64;20.6;78.75;61;2.666667;
1961-01-10;null;null;0;31.3;23.9;20.3;88.75;74;.666667;
1961-01-11;null;null;20.9;33.9;25.2;19.1;81.75;58;.666667;
1961-01-12;null;null;0;35.3;26.6;20.6;76.25;50;1.333333;
1961-01-13;null;null;0;35.4;27.26;21.2;71.5;45;1;
1961-01-14;null;null;0;34.2;24.92;18.4;81.75;56;1;
1961-01-15;null;null;0;36.6;28.7;22.7;72.5;53;.666667;
1961-01-16;null;null;0;36.9;28.4;23;76.5;48;1.666667;
1961-01-17;null;null;0;35.3;27.64;22.6;77.25;51;2;
1961-01-18;null;null;1.1;35.3;27.08;21.9;81.5;63;1.333333;
1961-01-19;null;null;24.4;33.9;26.56;22.4;80.75;58;1.333333;
1961-01-20;null;null;0;36.4;28.16;22.2;77.75;50;1.666667;
1961-01-21;null;null;0;36.9;27.2;23.3;82;50;1.333333;
1961-01-22;null;null;7.9;35.9;28.74;22.4;69.25;54;1;
1961-01-23;null;null;0;36.7;27.38;22.6;78.5;49;.666667;
1961-01-24;null;null;0;36.6;27.42;21.8;78.25;49;1;
1961-01-25;null;null;0;36.4;26.4;19.9;67.5;45;1.333333;
1961-01-26;null;null;0;32.1;24.26;21;72;52;1.333333;
1961-01-27;null;null;0;25.6;20.68;18;84.75;77;2.333333;
1961-01-28;null;null;0;28.8;21.06;16.2;84.75;56;1.666667;
1961-01-29;null;null;0;31.6;23.72;16.8;80.75;55;1.333333;
1961-01-30;null;null;0;34.4;24.14;17;68.5;42;1.333333;
1961-01-31;null;null;0;36.2;25.62;17.4;72.25;35;1.333333;
1961-02-01;null;null;0;36.8;25.74;19.4;75.75;42;1;
1961-02-02;null;null;0;28.8;24.44;21.9;84.75;67;2;
1961-02-03;null;null;0;34.9;25.6;19.8;79;56;1;
1961-02-04;null;null;0;33.1;25.66;21.7;76.25;51;1.333333;
1961-02-05;null;null;0;33.8;25.16;20.2;75.25;42;1;
1961-02-06;null;null;0;30.4;23.44;20;89.25;69;1.333333;
1961-02-07;null;null;30.8;31.7;24.3;18.3;83.75;65;3.333333;
1961-02-08;null;null;0;32.3;24.76;21.3;85;56;1;
1961-02-09;null;null;10.2;32.6;24.74;20.2;85;54;1;
1961-02-10;null;null;12.6;34.8;26.8;21.6;85.25;63;1.666667;
1961-02-11;null;null;0;31.2;25.26;22.5;89;74;1;
1961-02-12;null;null;11;31.1;24.9;21.2;76.75;61;1.666667;
1961-02-13;null;null;0;33.8;24.38;16.8;72.75;44;1.333333;
1961-02-14;null;null;0;35.6;25.38;19.3;72.5;43;1.333333;
1961-02-15;null;null;0;33.7;24.88;19.8;77.25;49;1;
1961-02-16;null;null;0;31.1;23.9;18.6;74.5;66;1.333333;
1961-02-17;null;null;0;32.6;24.98;19.8;79;58;.666667;
1961-02-18;null;null;0;33.4;24.8;20.5;81.25;59;1;
1961-02-19;null;null;3.4;34.7;25;19.4;78.75;57;1;
1961-02-20;null;null;0;34;25.2;20;83.75;56;1.666667;
1961-02-21;null;null;0;35.7;26.56;20.9;77.75;49;1;
1961-02-22;null;null;0;31.8;25.46;22.2;80;44;1;
1961-02-23;null;null;0;32.4;25.58;21.1;82.75;77;1;
1961-02-24;null;null;0;32.8;25.16;21.1;85;76;1;
1961-02-25;null;null;0;36.7;26.02;21.1;76.5;45;1.666667;
1961-02-26;null;null;14.3;32;25.46;23.2;91.25;74;1.666667;
1961-02-27;null;null;8;30.1;24.9;22.4;90.25;79;2.333333;
1961-02-28;null;null;0;28.9;23.58;20.6;89.25;84;1.333333;
1961-03-01;null;null;4.1;28.9;24.5;21;85;70;1.333333;
1961-03-02;null;null;0;32.3;25.74;20.9;82.75;61;1.333333;
1961-03-03;null;null;0;34.4;25.96;19.8;79.5;57;1;
1961-03-04;null;null;0;32.8;24.68;20.3;83;57;2.333333;
1961-03-05;null;null;14.3;29.7;24.42;21.3;86;80;2.666667;
1961-03-06;null;null;4.4;24.2;21.12;19.4;96;87;1.333333;
1961-03-07;null;null;8.3;26.9;22.22;16.9;89.25;77;1;
1961-03-08;null;null;0;32.7;25.5;19.9;74;65;1;
1961-03-09;null;null;0;33.9;25.84;20.6;84.75;67;1;
1961-03-10;null;null;0;33.5;25.96;21.2;84.75;61;1.333333;
1961-03-11;null;null;0;31.6;25.2;22.8;91.75;72;1.666667;
1961-03-12;null;null;20.6;31.8;25.3;20.9;88.5;72;1.333333;
1961-03-13;null;null;38.8;26;22.08;20.4;98.75;94;1;
1961-03-14;null;null;18.8;24.7;21.4;17.8;95.5;92;1;
1961-03-15;null;null;0;30.4;24.42;19.2;91;79;1;
1961-03-16;null;null;0;31.4;25.9;21.3;87.75;73;1.666667;
