Nome: GUARAPUAVA
Codigo Estacao: 83834
Latitude: -25.4
Longitude: -51.46999999
Altitude: 1.13
Situacao: Desativada
Data Inicial: 1909-12-31
Data Final: 1988-12-31
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
1961-01-01;.5;2;8.2;20.8;19.12;17.2;89;85;2;
1961-01-02;null;null;null;null;null;null;null;91;null;
1961-01-03;null;null;null;null;null;null;null;null;null;
1961-01-04;null;null;null;null;null;null;null;null;null;
1961-01-05;null;null;null;null;null;null;null;null;null;
1961-01-06;null;null;null;null;null;null;null;null;null;
1961-01-07;null;null;null;null;null;null;null;null;null;
1961-01-08;null;null;null;null;null;null;null;null;null;
1961-01-09;null;null;null;null;null;null;null;null;null;
1961-01-10;null;null;null;null;null;null;null;null;null;
1961-01-11;null;null;null;null;null;null;null;null;null;
1961-01-12;null;null;null;null;null;null;null;null;null;
1961-01-13;null;null;null;null;null;null;null;null;null;
1961-01-14;null;null;null;null;null;null;null;null;null;
1961-01-15;null;null;null;null;null;null;null;null;null;
1961-01-16;null;null;null;null;null;null;null;null;null;
1961-01-17;null;null;null;null;null;null;null;null;null;
1961-01-18;null;null;null;null;null;null;null;null;null;
1961-01-19;null;null;null;null;null;null;null;null;null;
1961-01-20;null;null;null;null;null;null;null;null;null;
1961-01-21;null;null;null;null;null;null;null;null;null;
1961-01-22;null;null;null;null;null;null;null;null;null;
1961-01-23;null;null;null;null;null;null;null;null;null;
1961-01-24;null;null;null;null;null;null;null;null;null;
1961-01-25;null;null;null;null;null;null;null;null;null;
1961-01-26;null;null;null;null;null;null;null;null;null;
1961-01-27;null;null;null;null;null;null;null;null;null;
1961-01-28;null;null;null;null;null;null;null;null;null;
1961-01-29;null;null;null;null;null;null;null;null;null;
1961-01-30;null;null;null;null;null;null;null;null;null;
1961-01-31;null;8.3;0;26.2;20.64;13.6;72.5;65;2;
1961-02-01;4;12.8;2.8;28.4;22.2;15.8;67;52;3;
1961-02-02;4;5.9;0;27.4;20.56;17.2;86.25;71;2;
1961-02-03;1.6;4.3;22.7;27;20.64;16;79;63;3;
1961-02-04;1.9;.9;9;23.8;19.6;17.4;86;78;2;
1961-02-05;1;5.6;21.8;26.4;19.96;16.8;82.25;60;2.666667;
1961-02-06;1.9;4.4;15.6;25;20.84;17.2;79;75;0;
1961-02-07;1.6;5.9;1;26.4;21.08;17.4;81.75;73;2.666667;
1961-02-08;2.2;2.9;3;25.2;20.48;17;85.5;80;1.666667;
1961-02-09;1.8;2.2;12;23;19.44;17.6;89.75;81;2.666667;
1961-02-10;1.8;4.1;26;26.2;20.52;17;84.25;64;2;
1961-02-11;1.4;.9;18;23.6;19.12;16.2;91;83;1.666667;
1961-02-12;2;12.5;.5;26.6;20.64;14.4;68.5;45;1;
1961-02-13;2.2;11.6;0;27.2;20.76;15;65.75;44;2.666667;
1961-02-14;4.6;9.7;0;24.8;18.16;14.6;78.25;63;6.333333;
1961-02-15;3;6.6;0;23.6;17.76;14.2;78.25;59;6.333333;
1961-02-16;3;6.8;0;21.8;17.36;14;80;70;8.333333;
1961-02-17;2;5;0;25.8;18.96;15.6;83.75;67;5;
1961-02-18;2.5;5.1;.5;24;19.12;16.4;89.25;80;0;
1961-02-19;1.2;7.9;11.8;25.4;19.36;14.8;86.5;77;1.666667;
1961-02-20;1.5;9.8;1.8;26.6;20.68;16.2;81.25;62;3;
1961-02-21;1.8;3.2;0;26;20.48;17.4;87.5;77;1.333333;
1961-02-22;1.4;5.5;.4;26.4;21.2;18;82.25;66;1.333333;
1961-02-23;1.6;1.4;0;26;20.96;17.8;83;68;2.333333;
1961-02-24;1.2;3.9;0;26.6;21.2;18.2;86.25;71;1.333333;
1961-02-25;1.4;3.5;0;24.8;20.88;18;91;87;2.333333;
1961-02-26;.9;4.6;10.6;25.6;21.2;18.4;88.75;77;3.333333;
1961-02-27;1.2;1.1;27.2;24.6;20.12;18;93.5;82;.333333;
1961-02-28;.9;0;71.3;19.2;16.36;14.6;89.75;83;8.333333;
1961-03-01;1.4;.3;0;21.6;17.2;13.6;85.25;75;4.333333;
1961-03-02;1.2;9.8;0;26;19.12;14.6;77.25;63;2.666667;
1961-03-03;3;9.8;0;28.4;19.88;14;72;41;1.666667;
1961-03-04;3.3;4.5;0;27.2;21.56;16.2;74.5;56;2;
1961-03-05;2.4;0;2.2;23.2;19.2;17.6;84.25;76;4.333333;
1961-03-06;1.3;0;6;18.2;15.2;14;90.25;84;10.333333;
1961-03-07;1.4;.4;3.2;20.4;16.6;13;87.5;81;9.333333;
1961-03-08;1.6;4.6;0;23.8;19.32;15.4;80;70;3.666667;
1961-03-09;1.8;5.6;0;26.6;21.08;16.6;81.25;65;3.333333;
1961-03-10;2;9.1;0;28;21.72;17;73.5;54;3.333333;
1961-03-11;2.7;1.2;0;25.8;20.2;17.4;88.5;76;2.666667;
1961-03-12;1.8;4.9;10.7;25.2;21.04;16.8;82.5;68;2.666667;
1961-03-13;1.8;0;4.4;23;18.32;15.4;95.5;88;2;
1961-03-14;.6;.3;43.2;22.2;18.84;15.6;93.75;94;1.666667;
1961-03-15;.5;7;10.2;25;21;17.6;84.5;68;2;
1961-03-16;1.5;1.6;.5;26;21;18;85;63;5.666667;
1961-03-17;2.2;.2;29.9;22.8;18.16;16.2;90.5;77;1.666667;
1961-03-18;.6;0;8.3;17.2;14.96;13.8;93.75;92;4.333333;
1961-03-19;.5;0;29.5;18.8;15.24;12;87.5;79;5;
1961-03-20;1.2;0;1.3;18.6;16.24;14.6;94.75;90;3.333333;
1961-03-21;.3;9.8;12.3;25.2;17.4;12.2;64;37;2;
1961-03-22;3.5;3.9;0;26.6;19.36;13.8;83.75;60;4.333333;
1961-03-23;1.7;5.7;0;27.4;20.32;16;84.25;68;3.666667;
1961-03-24;1.3;5.7;1.2;28;20.96;17;80.25;56;3.666667;
1961-03-25;2.5;6.1;0;27;20.88;17.6;78.5;53;3.666667;
1961-03-26;4;5.6;1.4;26;19.96;14.2;70.25;60;2.666667;
1961-03-27;3.1;0;0;19.2;14.24;12.4;83.75;75;10;
1961-03-28;2.7;10.1;0;19.4;13.84;9.8;72.5;58;8.666667;
1961-03-29;3.7;10.5;0;20.6;14.88;10.8;75.25;57;6.333333;
1961-03-30;2.7;7.5;0;21.6;14.88;9.2;70.5;46;5;
1961-03-31;2.8;9.5;0;22.2;15.96;11.8;69.75;51;5.666667;
1961-04-01;3.6;7.2;0;23.8;17.28;11.6;null;73;1.333333;
1961-04-02;3.2;1;null;22.8;17.6;14.6;null;null;3.333333;
1961-04-03;1.4;0;null;18.6;16.04;14.2;null;null;5;
1961-04-04;.3;2.8;null;23;18.04;14.4;null;null;2.7;
1961-04-05;1.5;4.1;null;23.6;17.96;14.4;null;null;1.333333;
1961-04-06;1.5;2.3;null;23;17.2;13.6;null;null;2.666667;
1961-04-07;2.5;6.3;null;21.6;16.72;14;null;null;5.666667;
1961-04-08;1.6;4.7;null;24.8;18.6;14.8;null;null;2.666667;
1961-04-09;1.6;7.4;null;26.2;19.52;13.8;null;null;.333333;
