Nome: CUNHA
Codigo Estacao: 83849
Latitude: -23.12
Longitude: -45.13
Altitude: 967
Situacao: Desativada
Data Inicial: 1927-12-31
Data Final: 1967-02-28
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
1961-01-01;2.1;null;null;27;21.76;18.5;86;67;.333333;
1961-01-02;1.8;null;11.4;25.1;20.84;18.1;91;83;0;
1961-01-03;1;null;14.6;27.6;21.4;18.5;78;57;2.333333;
1961-01-04;2.3;null;0;27.6;21.38;17.9;82;67;2.333333;
1961-01-05;1.5;null;0;25.5;20.9;18.2;86.5;83;1;
1961-01-06;1.9;null;4;26;22.26;17.3;79;73;0;
1961-01-07;2.1;null;1.8;26.5;21;18.5;82.75;76;2;
1961-01-08;2;null;0;24.2;20.5;17.1;85.25;82;1.333333;
1961-01-09;1.8;null;0;27.4;21.88;18.3;85.25;81;2.666667;
1961-01-10;2.4;null;0;28.6;22.32;18.6;78.25;66;2;
1961-01-11;2.9;null;0;27;20.56;15.5;73.75;60;4;
1961-01-12;3.4;null;0;27.1;21.02;16.8;76.25;61;6.666667;
1961-01-13;3.4;null;0;29.4;21.26;15.5;74;62;3.333333;
1961-01-14;3.4;null;0;26;20.68;16.1;78.25;62;2;
1961-01-15;2.5;null;12.5;28.6;21.5;15.8;71;53;1;
1961-01-16;2.8;null;25.4;28.6;21.98;15.5;68;50;2;
1961-01-17;4.4;null;0;29.3;23.14;17.8;63.75;47;2;
1961-01-18;4.5;null;0;30.5;22.06;17.8;76.75;57;2;
1961-01-19;3.2;null;15;28.2;20.48;17.2;83;49;.333333;
1961-01-20;1.6;null;0;25.4;21.16;16.9;81.5;76;1;
1961-01-21;2.3;null;1.1;27.3;21.4;16.3;80.5;77;1.666667;
1961-01-22;2.7;null;14;29.1;22.28;17.1;78.75;70;2.333333;
1961-01-23;2.7;null;1;25.3;20.96;18.9;85.5;77;1;
1961-01-24;1.5;null;0;28.3;21.04;15.9;79.75;67;3.333333;
1961-01-25;3.1;null;0;24.5;20.76;17.5;84.75;78;1.666667;
1961-01-26;1.7;null;27.7;21;17.9;16.1;75.5;73;5;
1961-01-27;2.3;null;3.9;21;17.34;14.9;89;77;.333333;
1961-01-28;1.6;null;1.2;22;18.58;16.1;85;74;.333333;
1961-01-29;1.6;null;0;24.5;19.36;16.1;88.5;77;0;
1961-01-30;1.1;null;1.6;27.6;20.94;17.7;82;61;.333333;
1961-01-31;2.4;null;0;28.6;21.34;17.1;81;70;1.666667;
