Nome: IRAI
Codigo Estacao: 83881
Latitude: -27.189451
Longitude: -53.253338
Altitude: 255.39
Situacao: Desativada
Data Inicial: 1935-05-31
Data Final: 2018-07-31
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
1961-01-01;2.9;9.2;null;35.4;25.64;18.8;78.75;50;1.333333;
1961-01-02;4.4;8.7;0;35.2;26.4;19.8;81;53;1;
1961-01-03;3.1;6;0;36.8;25;20;79.75;46;1.666667;
1961-01-04;3.7;8.4;2.7;33;23.72;18;80;49;1;
1961-01-05;2.7;6.7;0;36.4;25.64;17.2;70.75;44;2.333333;
1961-01-06;4.3;3.2;98;28.4;22.04;18.6;92.75;81;.666667;
1961-01-07;1.3;10.9;2;33;23.08;16.6;79;60;1;
1961-01-08;4;11.8;0;34.8;24.88;17.4;79.75;57;1.333333;
1961-01-09;3.7;11.3;0;35.6;26.48;19.2;80.75;52;1.333333;
1961-01-10;3.5;0;0;29;22.52;18;91;78;1.333333;
1961-01-11;1.8;10.5;32;34.4;24.2;17.4;83;58;1.333333;
1961-01-12;2.2;12;0;36.8;25.68;18.6;76.25;51;1.333333;
1961-01-13;4.4;11.1;0;36;26.5;18.5;79.25;51;1.333333;
1961-01-14;4.1;6.2;0;36;27;20.4;75.5;46;1;
1961-01-15;4.2;9.4;0;36.6;26.92;20.4;76.75;44;.666667;
1961-01-16;3.8;7.5;0;37;27.64;20.6;81.25;54;1;
1961-01-17;3.6;3.4;0;34.6;25.6;20.4;88.25;65;2.333333;
1961-01-18;2.1;10.9;18;35;26.44;19;76.5;56;2;
1961-01-19;4;1;0;35.8;27.32;21;76.5;56;1;
