Datas,"EVAPORACAO DO PICHE, DIARIA(mm)","INSOLACAO TOTAL, DIARIO(h)","PRECIPITACAO TOTAL, DIARIO(mm)","TEMPERATURA MAXIMA, DIARIA(°C)","TEMPERATURA MEDIA COMPENSADA, DIARIA(°C)","TEMPERATURA MINIMA, DIARIA(°C)","UMIDADE RELATIVA DO AR, MEDIA DIARIA(%)","UMIDADE RELATIVA DO AR, MINIMA DIARIA(%)","VENTO, VELOCIDADE MEDIA DIARIA(m/s)",Unnamed: 10,"EVAPREF, DIARIA(mm)"
1961-01-01,1.8,,,26.0,21.8,18.0,90.0,87.0,0.0,,4.36681471921
1961-01-02,0.7,,3.5,29.5,24.5,19.0,77.25,70.0,0.0,,5.06920710182
1961-01-03,1.7,,0.0,29.0,24.7,19.0,80.0,77.0,0.333333,,4.96894150749
1961-01-04,3.3,,0.0,28.0,23.4,20.0,86.5,77.0,0.0,,4.53044871223
1961-01-05,2.0,,8.0,28.0,24.2,20.0,86.25,73.0,0.0,,4.52438177778
1961-01-06,2.0,,3.0,27.0,23.6,21.0,90.5,84.0,0.0,,3.99860245502
1961-01-07,1.5,,2.5,26.0,22.24,19.0,75.25,71.0,0.333333,,4.07453703462
1961-01-08,4.5,,0.0,27.0,22.2,19.0,76.25,59.0,0.0,,4.32069673873
1961-01-09,3.5,,0.0,28.0,23.8,18.0,78.75,73.0,0.666667,,4.8377731972
1961-01-10,2.5,,4.2,31.0,24.84,21.0,92.0,83.0,0.0,,5.29643787076
1961-01-11,1.0,,0.0,29.5,24.3,20.0,79.75,70.0,0.0,,4.87877783751
1961-01-12,3.5,,1.7,30.0,24.2,20.0,75.25,71.0,0.0,,4.96281464619
1961-01-13,3.0,,6.7,29.0,24.6,20.0,81.75,75.0,0.0,,4.74062756176
1961-01-14,2.7,,0.0,29.0,24.2,20.0,79.75,76.0,0.0,,4.71215470037
1961-01-15,2.3,,0.0,28.5,23.9,19.0,84.25,80.0,0.333333,,4.77957890345
1961-01-16,2.0,,0.0,30.0,25.4,19.0,77.0,64.0,0.0,,5.12255684599
1961-01-17,1.5,,0.0,33.5,26.3,22.0,90.25,84.0,0.0,,5.82244863136
1961-01-18,3.5,,1.5,29.0,24.4,22.0,88.75,77.0,0.0,,4.34889652949
1961-01-19,0.7,,0.0,30.0,25.4,21.0,86.25,77.0,0.0,,4.85114474959
1961-01-20,3.8,,2.0,31.0,25.1,21.0,88.5,84.0,0.0,,5.17476357116
1961-01-21,3.0,,0.0,30.0,25.2,21.0,90.0,84.0,0.0,,4.87381721725
1961-01-22,3.0,,0.0,29.0,24.0,20.0,84.5,80.0,0.0,,4.69600010621
1961-01-23,2.0,,10.0,27.5,23.1,18.0,77.5,68.0,0.0,,4.54360786619
1961-01-24,3.5,,0.0,30.0,23.4,18.0,87.5,77.0,0.0,,5.3304132827
1961-01-25,3.5,,0.0,30.0,23.4,18.0,79.5,69.0,0.0,,5.2150538214
1961-01-26,5.0,,3.0,25.0,21.5,17.0,88.0,83.0,0.666667,,4.02985923968
1961-01-27,3.0,,2.0,29.0,23.3,17.0,88.25,84.0,0.0,,5.17556287917
1961-01-28,1.0,,8.0,28.0,23.0,18.0,90.25,88.0,0.0,,4.75658788935
1961-01-29,2.0,,4.0,28.0,22.4,17.0,87.0,91.0,0.0,,4.86738172825
1961-01-30,0.5,,25.6,30.0,22.7,17.0,83.5,83.0,0.0,,5.34038272399
1961-01-31,2.0,,6.0,31.0,23.6,18.0,83.5,76.0,0.0,,5.45504828162
1961-02-01,2.5,,0.0,30.0,24.0,17.0,91.5,91.0,0.0,,5.41422429259
1961-02-02,2.0,,0.0,29.0,25.0,20.0,91.0,88.0,0.0,,4.63566831729
1961-02-03,4.0,,36.0,28.0,23.9,19.0,88.25,84.0,0.0,,4.48742300938
1961-02-04,3.0,,2.0,28.0,24.2,20.0,89.75,84.0,0.0,,4.3010146361
1961-02-05,3.2,,2.5,30.0,24.3,20.0,87.25,76.0,0.0,,4.84164603596
1961-02-06,1.8,,0.0,29.0,24.4,20.0,92.0,84.0,0.0,,4.5889427464
1961-02-07,1.4,,10.5,30.0,25.4,20.0,90.0,84.0,0.0,,4.84164044402
1961-02-08,1.0,,0.0,29.0,24.4,20.0,85.75,69.0,0.333333,,4.48360807632
1961-02-09,1.5,,3.8,28.5,24.2,20.0,84.25,84.0,0.0,,4.32172264246
1961-02-10,1.5,,4.0,28.0,23.9,20.0,88.25,83.0,0.0,,4.20161123382
1961-02-11,2.5,,1.0,28.5,23.2,20.0,91.0,91.0,0.0,,4.35599433794
1961-02-12,2.5,,2.8,29.0,23.9,20.0,90.0,91.0,0.0,,4.47278603105
1961-02-13,2.0,,0.0,29.5,23.1,19.0,87.5,77.0,0.0,,4.73253843788
1961-02-14,2.0,,0.0,27.0,23.2,20.0,85.0,83.0,1.0,,3.83271143457
1961-02-15,4.0,,15.0,27.0,23.0,19.0,83.25,76.0,0.666667,,3.99686969772
1961-02-16,5.0,,7.0,26.4,22.88,20.0,81.5,69.0,1.0,,3.67333054408
1961-02-17,4.0,,10.2,24.5,22.02,20.0,91.5,83.0,0.666667,,3.01695096661
1961-02-18,1.5,,46.8,27.4,23.04,21.0,92.25,76.0,0.0,,3.72695228188
1961-02-19,1.0,,4.0,29.0,23.8,20.0,91.5,84.0,0.0,,4.36047649907
1961-02-20,1.5,,15.2,29.0,24.72,21.0,85.75,80.0,0.333333,,4.10452081438
1961-02-21,2.0,,24.0,29.0,24.5,22.0,91.0,77.0,0.0,,3.93642842856
1961-02-22,1.0,,4.0,30.0,25.44,22.0,91.5,80.0,0.333333,,4.18657412918
1961-02-23,1.4,,11.4,29.5,24.7,22.0,91.25,91.0,0.0,,4.05110209805
1961-02-24,0.6,,26.6,31.0,25.6,22.0,91.0,84.0,0.0,,4.46546690349
1961-02-25,1.8,,0.0,31.0,26.12,23.0,92.75,85.0,0.0,,4.27381748922
1961-02-26,1.7,,0.0,35.0,26.9,23.0,90.25,81.0,0.666667,,5.32893510532
1961-02-27,1.5,,54.2,29.0,23.84,22.0,85.5,84.0,1.0,,3.80532124688
1961-02-28,3.6,,3.0,25.5,22.2,19.0,82.75,71.0,0.666667,,3.39080634101
1961-03-01,2.4,,0.0,24.5,20.3,17.0,84.0,71.0,0.0,,3.42938500526
1961-03-02,3.0,,0.0,25.5,21.58,16.0,84.25,72.0,0.0,,3.7872906757
1961-03-03,1.5,,0.0,29.0,22.3,17.0,84.0,63.0,0.333333,,4.42964477728
1961-03-04,3.0,,0.0,30.0,25.0,20.0,87.5,74.0,0.333333,,4.2810960006
1961-03-05,2.9,,0.0,27.0,22.8,19.0,90.25,86.0,1.0,,3.61403151564
1961-03-06,0.6,,21.0,23.0,19.8,17.0,90.75,86.0,1.333333,,2.91043522758
1961-03-07,2.0,,10.2,24.8,22.46,18.0,93.25,86.0,0.0,,3.28479421499
1961-03-08,1.2,,3.9,29.0,24.1,19.0,84.25,72.0,0.0,,4.05295194045
1961-03-09,1.8,,0.0,33.0,25.1,19.0,83.25,71.0,0.333333,,4.9690222712
1961-03-10,2.4,,0.0,32.0,25.8,21.0,87.25,81.0,0.0,,4.49621925355
1961-03-11,2.1,,0.0,30.0,25.48,23.0,89.25,83.0,0.0,,3.63990902158
1961-03-12,1.0,,3.5,32.0,25.2,21.0,86.0,74.0,0.333333,,4.42296013716
1961-03-13,1.9,,0.0,31.0,24.2,19.0,91.75,89.0,0.0,,4.48141478249
1961-03-14,1.0,,15.0,27.5,22.3,18.0,88.75,76.0,0.0,,3.72979775422
1961-03-15,3.4,,0.0,30.0,24.2,18.0,86.25,74.0,0.333333,,4.22713993684
1961-03-16,2.1,,0.0,30.0,25.1,21.0,93.5,86.0,0.333333,,3.85860503892
1961-03-17,1.5,,0.0,30.0,22.02,17.0,89.25,80.0,0.666667,,4.25848171936
1961-03-18,2.2,,17.5,20.0,17.52,15.0,88.5,85.0,0.0,,2.41023590109
1961-03-19,0.8,,9.4,24.0,19.32,15.4,94.25,89.0,0.0,,3.21716132694
1961-03-20,1.5,,6.0,23.0,20.5,16.0,97.75,91.0,0.0,,2.92532136742
1961-03-21,0.5,,41.0,30.0,21.32,17.0,85.75,77.0,0.0,,4.14640205521
1961-03-22,3.0,,0.0,28.5,21.6,15.0,87.0,72.0,0.333333,,3.98989343045
1961-03-23,2.2,,0.0,30.0,23.8,17.0,90.75,84.0,0.0,,4.14638673561
1961-03-24,0.8,,0.0,30.0,24.2,19.0,89.0,76.0,0.333333,,3.86712940774
1961-03-25,2.0,,2.8,30.0,23.3,20.0,90.75,85.0,0.666667,,3.70998975488
1961-03-26,1.2,,10.0,28.0,21.8,17.0,81.75,68.0,1.666667,,3.66331085458
1961-03-27,2.8,,0.0,24.0,20.2,16.0,61.5,53.0,2.333333,,3.59241358144
1961-03-28,2.0,,3.0,24.0,19.76,15.0,76.25,64.0,0.0,,2.8950897493
1961-03-29,5.5,,0.0,24.0,20.0,16.0,76.0,68.0,0.333333,,2.82912945221
1961-03-30,3.0,,4.0,27.0,19.8,14.8,85.0,59.0,0.0,,3.46596024582
1961-03-31,2.0,,2.0,27.0,20.3,15.0,87.5,73.0,0.333333,,3.43298029806
1961-04-01,2.0,,7.0,27.0,21.1,16.0,89.5,73.0,0.333333,,3.3276792078
1961-04-02,1.9,,0.0,24.0,19.7,16.0,94.0,91.0,0.0,,2.79812145817
1961-04-03,0.8,,0.0,27.0,21.8,16.0,90.0,87.0,0.0,,3.29295423515
1961-04-04,0.8,,7.5,31.0,23.12,19.0,88.75,78.0,0.0,,3.74038427258
1961-04-05,1.5,,0.0,29.0,21.3,17.0,86.0,67.0,0.0,,3.46718046576
1961-04-06,1.5,,0.0,27.0,21.5,16.0,80.5,71.0,0.666667,,3.18330088808
1961-04-07,3.0,,0.0,26.0,19.46,14.8,82.75,67.0,0.0,,3.02833953559
1961-04-08,3.5,,2.0,24.0,20.84,16.0,89.0,94.0,0.0,,2.61358781453
1961-04-09,1.0,,2.4,28.0,22.8,18.0,80.5,73.0,0.333333,,3.06381389341
1961-04-10,2.0,,0.0,28.0,22.9,19.0,85.25,79.0,0.0,,2.93894154222
1961-04-11,2.7,,0.0,29.0,23.8,19.0,87.5,77.0,0.333333,,3.12647549296
1961-04-12,1.3,,1.0,31.0,23.7,17.0,83.75,70.0,0.0,,3.56457631551
1961-04-13,1.0,,0.0,29.0,23.64,19.0,87.5,70.0,0.0,,3.06036865776
1961-04-14,1.5,,0.0,27.0,22.66,18.8,90.0,83.0,0.0,,2.71355031774
1961-04-15,1.6,,14.0,24.0,21.0,20.0,90.25,91.0,0.0,,1.96021775818
1961-04-16,1.4,,26.0,27.0,22.4,18.0,90.25,86.0,0.0,,2.74227733868
1961-04-17,1.4,,0.0,29.0,24.1,20.0,90.0,81.0,0.0,,2.87652082455
1961-04-18,0.6,,45.0,29.0,23.32,21.0,91.5,85.0,0.0,,2.75830209528
1961-04-19,2.0,,3.0,24.0,19.5,16.0,76.25,66.0,1.0,,2.46719135817
1961-04-20,3.0,,0.0,24.0,18.4,14.0,80.75,66.0,0.0,,2.4058588498
1961-04-21,2.0,,0.0,27.0,21.26,14.8,74.5,68.0,0.0,,2.67302148009
1961-04-22,1.0,,8.0,25.0,21.0,16.0,88.5,74.0,0.0,,2.42032318737
1961-04-23,0.8,,9.5,29.0,21.8,17.0,85.5,83.0,0.0,,2.90020086681
1961-04-24,1.7,,0.0,29.0,20.52,14.0,84.0,79.0,0.666667,,3.06910094291
1961-04-25,4.0,,0.0,24.0,18.32,15.0,84.75,75.0,0.0,,2.2475539114
1961-04-26,1.5,,27.0,24.0,17.36,15.0,91.25,79.0,0.0,,2.27374569711
1961-04-27,0.5,,5.5,26.0,16.84,12.0,86.0,68.0,0.0,,2.63223758822
1961-04-28,2.1,,0.0,27.0,17.1,11.0,84.5,70.0,0.0,,2.72527911425
1961-04-29,3.2,,0.0,24.0,17.92,13.0,86.5,67.0,0.333333,,2.29600655615
1961-04-30,1.6,,0.0,27.6,18.52,13.0,74.75,54.0,0.0,,2.57326022581
1961-05-01,3.1,,0.0,24.8,17.16,10.0,80.0,60.0,0.0,,2.38851942666
1961-05-02,1.5,,1.0,22.0,18.0,14.0,95.25,90.0,0.0,,1.96923437631
1961-05-03,1.5,,50.0,22.0,18.4,16.0,92.5,95.0,0.0,,1.78441202352
1961-05-04,0.5,,29.0,23.0,19.76,16.0,91.0,86.0,0.666667,,1.8924448387
1961-05-05,1.0,,29.5,27.0,20.36,16.0,88.5,75.0,0.0,,2.38010438284
1961-05-06,1.0,,0.0,28.0,20.48,14.8,82.25,72.0,0.333333,,2.52187953088
1961-05-07,1.5,,0.0,24.8,21.16,17.0,80.5,83.0,0.0,,1.92265441257
1961-05-08,1.5,,0.0,27.0,20.7,17.0,85.0,64.0,0.0,,2.21900071326
1961-05-09,2.0,,0.0,25.0,18.28,12.6,87.75,67.0,0.0,,2.19081085061
1961-05-10,1.5,,0.0,25.0,18.56,11.4,82.25,71.0,0.0,,2.15698925806
