Nome: SAO JOAQUIM
Codigo Estacao: 83920
Latitude: -28.275639
Longitude: -49.93464
Altitude: 1400.07
Situacao: Desativada
Data Inicial: 1954-07-31
Data Final: 2017-05-30
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
1961-01-01;null;null;null;22.4;17.3;15;84.75;72;2;
1961-01-02;4.3;null;0;26.3;18.36;12.1;76;49;1;
1961-01-03;6.5;null;0;26.6;18.92;15.4;83.75;64;1.666667;
1961-01-04;4.5;null;18.5;23;16.64;13.5;87.25;77;1.666667;
1961-01-05;3.5;null;0;25.1;17.92;12.6;76.5;52;1;
1961-01-06;5.9;null;0;17.6;15.18;13.8;95.5;87;1;
1961-01-07;1.1;null;28.4;24;15.08;11;77.75;49;1;
1961-01-08;3.3;null;0;25.7;16.94;10.4;78.25;49;1;
1961-01-09;5.2;null;0;27.1;17.76;11.8;79.25;51;1;
1961-01-10;5;null;0;23.3;18.22;14.9;80.25;76;1;
1961-01-11;3.1;null;0;24.2;17.18;12.6;82;70;2.333333;
1961-01-12;4.9;null;0;27.6;18.96;12.6;68.5;41;1;
1961-01-13;6.4;null;0;26;19;14.4;79.25;56;1.666667;
1961-01-14;6;null;0;26.6;19.26;14.5;70;45;1.666667;
1961-01-15;5.7;null;0;27.5;20.18;15.4;77.25;53;2.333333;
1961-01-16;8.7;null;6.3;28;20.78;16.4;86.75;59;1;
1961-01-17;5.6;null;5.1;25.3;19.58;16.6;84.5;63;3.333333;
1961-01-18;4;null;21.2;20.1;17.62;16;96;96;1.666667;
1961-01-19;1.4;null;36;26;18.74;15.3;86.25;64;1.333333;
1961-01-20;3.1;null;0;27.8;19.82;13.8;78.5;45;1.666667;
1961-01-21;5.7;null;0;24.8;19.24;13.6;86;70;1;
1961-01-22;3.5;null;0;22.8;16.74;13.6;86;74;2.666667;
1961-01-23;2.7;null;0;24.2;16.32;10.9;83.75;59;1;
1961-01-24;4.4;null;0;27;17.7;13.2;75.25;33;2.333333;
1961-01-25;7.3;null;0;23.2;14.94;11;78.25;55;1.333333;
