Nome: LAGUNA
Codigo Estacao: 83924
Latitude: -28.48
Longitude: -48.8
Altitude: 30
Situacao: Desativada
Data Inicial: 1916-12-31
Data Final: 1989-12-31
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
1961-01-01;3;0;null;26;23.88;22.6;92;89;.333333;
1961-01-02;2;6.1;3.6;27.2;23.48;21.6;88.25;76;.333333;
1961-01-03;2.7;8.3;1.2;28;24.4;21.2;80;69;.666667;
1961-01-04;2.1;4.6;9.4;27;22.48;18.2;84.75;75;3.333333;
1961-01-05;1.9;4.2;9.8;25.2;22.56;19.8;92.25;89;3.333333;
1961-01-06;2.4;0;1.8;25;22.6;21;91.25;84;4.666667;
1961-01-07;2;11.4;18.2;25.2;21.36;18;71.75;67;2;
1961-01-08;2.6;11.4;0;26.8;22.92;19.8;75.25;60;3.666667;
1961-01-09;3.6;11.8;0;27.4;23.68;20.2;82.25;74;2.666667;
1961-01-10;2.7;4.4;0;28.4;24.4;21.8;81.25;74;5;
1961-01-11;2.5;3;.8;27;23.56;21.2;85.75;82;4;
1961-01-12;1.9;11;.8;28.2;23.48;19;86;77;1.666667;
1961-01-13;2.6;11.9;0;27;24;21.8;86.5;80;6.333333;
1961-01-14;3;12.1;0;26.6;23.56;21.8;85.5;79;6.333333;
1961-01-15;2.4;10.5;0;27.2;23.72;21;86.5;78;7;
1961-01-16;2.7;10;0;27.6;23.92;21.8;90.5;82;6.666667;
1961-01-17;1.8;4.8;0;29.2;25.4;22;85.5;78;5.333333;
1961-01-18;2.4;0;1.4;26.8;23.8;22.2;95.25;90;1.333333;
1961-01-19;.8;7.1;8.6;28.6;24.84;22.6;89.25;77;.666667;
1961-01-20;1.4;12.1;0;29.2;25.48;22.4;86.5;76;3.333333;
1961-01-21;3;5.7;0;29.8;25.92;23;76.25;75;2.333333;
1961-01-22;2.4;0;22;25.8;22.8;21.2;94.75;73;4;
1961-01-23;1.4;7.2;11.8;26;22.84;19.2;72.75;69;1.333333;
1961-01-24;3.7;12.3;0;28.8;24.68;20.2;75.75;61;.666667;
1961-01-25;3.9;5.7;0;28.4;23.48;20.8;90.5;81;4;
1961-01-26;2.3;2.4;40.4;23.8;21.64;17.8;81;84;2.333333;
1961-01-27;3;9.7;2;26.4;22.04;17.6;68.75;60;2.666667;
1961-01-28;2;2.1;2.4;26;21.52;18;80.75;67;1;
1961-01-29;1.3;2.8;0;25.6;22.64;19.6;81.75;75;.333333;
1961-01-30;2;11.5;1.4;27.2;23.64;19.2;76.5;69;.666667;
1961-01-31;3.2;10.5;0;30.8;25.16;20.6;68.5;60;.666667;
1961-02-01;3.4;8.8;0;30.6;25.44;21.8;82;74;4;
1961-02-02;2.4;3.7;0;29.2;25.16;23;85;80;1.333333;
1961-02-03;1.8;0;1.2;26.2;24.24;22.4;84;78;1;
1961-02-04;2.8;6.9;.8;28;24.68;21.2;78.25;70;1.333333;
1961-02-05;3.5;6.8;0;28.4;24.96;22.6;76;65;1;
1961-02-06;2.2;6;1.2;29.4;25.36;22.2;86;82;2.333333;
1961-02-07;2.2;6.4;2.2;31.4;26.16;23.6;81.25;65;.666667;
1961-02-08;2.6;6.3;11;29;24.8;22;88.75;82;2;
1961-02-09;2;2.5;0;27.4;24.44;21.2;73.5;62;.666667;
1961-02-10;2.4;8.1;2;27;24.08;21.8;79.25;74;4;
1961-02-11;2.7;4.5;1.8;31.4;24.84;21.6;82.25;71;2.666667;
1961-02-12;3;12;0;30.2;24.76;20.6;61.75;37;1;
1961-02-13;3.4;4.9;0;31.8;25.36;20.2;69.5;58;3.333333;
1961-02-14;4;3;0;26.8;23.48;21.4;61.25;49;3;
1961-02-15;3.3;4.7;0;28.2;24.16;21.6;68.75;56;3.666667;
1961-02-16;3.4;9.4;1;26.8;23.8;21;82.25;68;3.666667;
1961-02-17;2.2;4.9;16.4;27;23.24;19.8;83.5;79;3.666667;
1961-02-18;2;1.1;3.2;25.4;23.32;21.8;89;83;3;
1961-02-19;3.2;6.3;0;29.2;24.28;21;86;80;1.333333;
1961-02-20;2.8;8.3;0;26.6;23.48;21.8;89.75;84;6.333333;
1961-02-21;3;8.6;0;25.8;23.16;20.8;89.25;81;6.666667;
1961-02-22;2;4.8;0;27.4;23.44;21.2;90.5;85;4.666667;
1961-02-23;1.8;7.8;0;29;25;22;86.5;76;1.666667;
1961-02-24;2.4;3.7;.8;29.8;25.28;22.8;89;80;.666667;
1961-02-25;2.3;10.1;1.6;29.4;25.24;22.4;91.5;84;.666667;
1961-02-26;3;.7;0;29.8;25.16;23.2;90.25;87;1;
1961-02-27;1.8;0;1.6;23.8;22.76;21.8;85;91;5.666667;
