Nome: SANTA MARIA
Codigo Estacao: 83936
Latitude: -29.72472221
Longitude: -53.72055554
Altitude: 103.1
Situacao: Operante
Data Inicial: 1911-12-31
Data Final: 2023-08-01
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
1961-01-01;1.1;7.7;null;31.9;25.86;18.1;73;63;1;
1961-01-02;2.7;6;0;34;27.82;23.5;74.25;62;.666667;
1961-01-03;2.6;7.8;0;31.6;24.16;20.1;66.25;51;5;
1961-01-04;3.2;9.2;.1;31.4;24.48;17.4;58.25;43;1.333333;
1961-01-05;3.9;6.4;0;32.7;23.3;16.4;73;50;2.333333;
1961-01-06;2.4;4.6;51.9;27.4;22.42;18.1;77.75;70;2;
1961-01-07;1.9;9.2;.1;29;22.34;14.6;57.75;45;3;
1961-01-08;3.2;9.1;0;33.4;25.42;15.2;65.5;52;1;
1961-01-09;3.2;9;0;35.8;28.62;20.6;60.25;44;2.333333;
1961-01-10;5;.8;24.6;31;24.04;20;87.5;58;.666667;
1961-01-11;1;9.2;2.3;29.4;23.18;17.3;62.75;51;3;
1961-01-12;3.3;9.1;0;34.2;25.96;16;69.75;56;2.333333;
1961-01-13;2.3;9.2;0;36.4;29.44;21.7;56;44;4.333333;
1961-01-14;5.7;6.7;0;34.4;30.06;26.1;58.25;47;4;
1961-01-15;4.2;5.1;0;35.9;29.82;25.4;68;49;3.333333;
1961-01-16;3;4.3;0;36.2;29.5;23.6;71;52;2;
1961-01-17;4.4;2.4;0;33;25.54;20.7;84.75;62;3.333333;
1961-01-18;1.4;5.2;27.9;28.6;24.04;20;78;65;4.333333;
1961-01-19;1.9;8.4;0;33.2;26.82;19.6;75.75;63;3.666667;
1961-01-20;2.3;9.4;0;36.2;29.3;22.7;69.5;50;1.333333;
1961-01-21;3.1;4.4;0;32.7;27.48;24.9;74;66;3;
1961-01-22;2.5;2.8;0;27.9;23.34;19.6;73.25;65;4.333333;
1961-01-23;2.4;8.8;0;31.8;23.42;15.3;64.75;44;1.666667;
1961-01-24;3.4;8.7;0;33.6;24.62;16;66.5;39;3;
1961-01-25;4.1;1.1;0;26.6;21.36;19;70;65;4.333333;
1961-01-26;2.4;7.8;0;26.4;20.34;14.4;64.5;55;5.666667;
1961-01-27;3;8.9;0;28.6;21.92;15.2;62;47;5;
1961-01-28;3.6;8.9;0;30.4;22.78;14.7;55.25;37;2.333333;
1961-01-29;3.8;8.1;0;31.6;24.64;16.6;63.5;48;1;
1961-01-30;3.9;7.4;0;34.4;25.96;18.4;58;38;1.666667;
1961-01-31;3.9;7.1;0;35.6;27.7;20.4;57.75;41;1;
1961-02-01;5.2;3.1;0;35.4;24.64;20.2;75.25;57;2;
1961-02-02;2.2;4.7;21.1;29.2;24.08;18.4;74.75;59;2.666667;
1961-02-03;3;8.1;0;31;25.24;20.3;68;55;5;
1961-02-04;2.9;8.3;0;31.3;24.62;19.1;60.75;50;4.333333;
